QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE531_POS_01.raw,PREC:mE531_POS_02.raw,PREC:mE531_POS_03.raw,PREC:mE531_POS_04.raw,PREC:mE531_POS_05.raw,SUMFA:mE531_POS_01.raw,SUMFA:mE531_POS_02.raw,SUMFA:mE531_POS_03.raw,SUMFA:mE531_POS_04.raw,SUMFA:mE531_POS_05.raw,MASSFRAG1,FRAG1:mE531_POS_01.raw,FRAG1:mE531_POS_02.raw,FRAG1:mE531_POS_03.raw,FRAG1:mE531_POS_04.raw,FRAG1:mE531_POS_05.raw,OH,MASSFRAG2,FRAG2:mE531_POS_01.raw,FRAG2:mE531_POS_02.raw,FRAG2:mE531_POS_03.raw,FRAG2:mE531_POS_04.raw,FRAG2:mE531_POS_05.raw,FA1,MASSFA1,FA1INTENS:mE531_POS_01.raw,FA1INTENS:mE531_POS_02.raw,FA1INTENS:mE531_POS_03.raw,FA1INTENS:mE531_POS_04.raw,FA1INTENS:mE531_POS_05.raw,FA2,MASSFA2,FA2INTENS:mE531_POS_01.raw,FA2INTENS:mE531_POS_02.raw,FA2INTENS:mE531_POS_03.raw,FA2INTENS:mE531_POS_04.raw,FA2INTENS:mE531_POS_05.raw,POS
CholEsterPosMS1MS2,0.78ppm,H80 C43 O2 N1 ,CE,16,0,CE 16:0,Keine,642.6189,0,0,0,8383.8,0,5584.4,9065.7,18054.5,14397.8,3438.9,369.3517,5584.4,9065.7,18054.5,14397.8,3438.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.31ppm,H76 C45 O2 N1 ,CE,18,4,CE 18:4,Keine,662.5869,0,0,0,8371.4,0,0,0,0,27224.2,0,369.3514,0,0,0,27224.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.56ppm,H78 C45 O2 N1 ,CE,18,3,CE 18:3,Keine,664.6023,0,0,0,59664.9,0,0,0,0,69120.5,0,369.3515,0,0,0,69120.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.01ppm,H80 C45 O2 N1 ,CE,18,2,CE 18:2,Keine,666.6184,0,4141.2,422115.4,234462.5,1276.2,4490.2,11996.2,198877.4,102758,0,369.3515,4490.2,11996.2,198877.4,102758,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-1.36ppm,H82 C45 O2 N1 ,CE,18,1,CE 18:1,Keine,668.6331,1876.2,0,-1.7,200197.7,0,6786.3,12021.8,60438.3,135080.9,0,369.3496,6786.3,12021.8,60438.3,135080.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.81ppm,H78 C47 O2 N1 ,CE,20,5,CE 20:5,Keine,688.6021,0,0,0,75175.6,0,0,0,0,89482.8,0,369.3515,0,0,0,89482.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.35ppm,H80 C47 O2 N1 ,CE,20,4,CE 20:4,Keine,690.6181,0,0,639304.2,193263.2,0,3854.4,25115.6,285340.2,96303.1,0,369.3514,3854.4,25115.6,285340.2,96303.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.33ppm,H82 C47 O2 N1 ,CE,20,3,CE 20:3,Keine,692.6342,0,0,0,64884.8,0,0,0,-1.6,64526.3,0,369.3522,0,0,-1.6,64526.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-0.51ppm,H80 C49 O2 N1 ,CE,22,6,CE 22:6,Keine,714.618,0,0,3862.5,0,0,0,4813.6,30468,5204.1,0,369.3524,0,4813.6,30468,5204.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,0.15ppm,H82 C49 O2 N1 ,CE,22,5,CE 22:5,Keine,716.6341,0,0,0,11228.5,0,0,0,0,38813.5,0,369.3519,0,0,0,38813.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
CholEsterPosMS1MS2,-5.51ppm,H88 C55 O2 N1 ,CE,28,8,CE 28:8,Keine,794.6766,0,4913.1,0,0,0,0,41276.6,35575.6,17164.2,0,369.3517,0,41276.6,35575.6,17164.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,diHexCer2OHPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,HexCer2OHPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HexCer2OHPosMS1MS2,-0.49ppm,H78 C40 O8 N1 ,HexCer,34,1,HexCer 34:1;2,HexCer 18:1/16:0,700.5718,16587.9,4173.9,0,35000.4,17114.5,0,20350.4,5749.9,45556.1,0,264.2689,0,20350.4,5749.9,41746,0,2,282.2795,0,0,0,3810,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,1.56ppm,H80 C42 O8 N1 ,HexCer,36,2,HexCer 36:2;2,HexCer 18:1/18:1,726.589,0,25131.3,0,0,0,28401.6,40643.7,4639.8,22761,61712.1,264.2686,28401.6,37790.9,4639.8,22761,57645.8,2,282.2799,0,2852.8,0,0,4066.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-0.50ppm,H82 C42 O8 N1 ,HexCer,36,1,HexCer 36:1;2,HexCer 18:1/18:0,728.6031,20069.3,1319208.4,1688.3,4579.4,13449.1,0,225320.8,0,0,0,264.2686,0,213743.2,0,0,0,2,282.2791,0,11577.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-0.50ppm,H82 C42 O8 N1 ,HexCer,36,1,HexCer 36:1;2,HexCer 20:1/16:0,728.6031,20069.3,1319208.4,1688.3,4579.4,13449.1,0,64090.6,0,4753.6,0,292.3,0,56640,0,4753.6,0,2,310.3116,0,7450.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-0.86ppm,H82 C44 O8 N1 ,HexCer,38,3,HexCer 38:3;2,HexCer 20:0/18:3,752.6028,2493.2,0,0,0,0,0,74905.7,32726.4,5503,0,294.3155,0,64943.3,32726.4,5503,0,2,312.3243,0,9962.4,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-1.85ppm,H86 C44 O8 N1 ,HexCer,38,1,HexCer 38:1;2,HexCer 18:1/20:0,756.6334,109376.8,301410.1,2092.3,4614.4,47386.5,0,105178.5,0,0,0,264.2687,0,97066,0,0,0,2,282.2819,0,8112.5,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-0.14ppm,H90 C46 O8 N1 ,HexCer,40,1,HexCer 40:1;2,HexCer 18:1/22:0,784.666,8001.9,1857778.9,2809.9,0,3446.4,16526.2,506838.3,0,36883.8,34974.9,264.2684,16526.2,468099.6,0,36883.8,34974.9,2,282.2798,0,38738.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-0.54ppm,H90 C48 O8 N1 ,HexCer,42,3,HexCer 42:3;2,HexCer 18:1/24:2,808.6657,21048.7,1117459.7,0,0,0,53307.4,334415.1,20963.2,55345.5,117420.2,264.2687,48698.9,304928.1,20963.2,45436.6,111083.5,2,282.2793,4608.5,29487,0,9908.9,6336.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-0.24ppm,H92 C48 O8 N1 ,HexCer,42,2,HexCer 42:2;2,HexCer 18:1/24:1,810.6815,10556.4,16670543.2,0,43201.8,0,0,4450996.1,0,31092.6,-1.7,264.2686,0,4067022.2,0,31092.6,-1.7,2,282.2795,0,383973.9,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,0.22ppm,H94 C48 O8 N1 ,HexCer,42,1,HexCer 42:1;2,HexCer 18:1/24:0,812.6976,14560.8,997348.8,9825.9,0,3123.8,0,-1.7,31967.2,39133.2,0,264.2687,0,-1.7,31967.2,26633.2,0,2,282.2791,0,-1.7,0,12500,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,-4.40ppm,H96 C48 O8 N1 ,HexCer,42,0,HexCer 42:0;2,HexCer 18:1/24:0,814.7095,-1.8,-1.8,0,0,0,0,469681,0,-1.8,3671,264.2684,0,446232,0,-1.8,3671,2,282.2796,0,23449,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
HexCer2OHPosMS1MS2,0.97ppm,H100 C50 O8 N1 ,HexCer,44,0,HexCer 44:0;2,HexCer 18:1/26:0,842.7452,598902.5,250935.2,348353.5,538679.1,762868.2,0,47857.6,0,0,0,264.2684,0,42232.4,0,0,0,2,282.2766,0,5625.2,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCOPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOPosMS1MS2,-0.39ppm,H73 C36 N1 O7 P1 ,PCO-,28,1,PCO- 28:1,Keine,662.5117,0,0,0,15521.4,0,16171.9,61431.1,61387.4,170627.7,3756.2,184.0734,16171.9,61431.1,61387.4,170627.7,3756.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.29ppm,H75 C36 N1 O7 P1 ,PCO-,28,0,PCO- 28:0,Keine,664.5274,0,0,0,134571.1,0,8216,87385.6,95040.5,339619.1,6862.8,184.0732,8216,87385.6,95040.5,339619.1,6862.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PCOPosMS1MS2,-3.89ppm,H71 C38 N1 O7 P1 ,PCO-,30,4,PCO- 30:4,Keine,684.4936,58700.6,73273.9,14198.2,63402.4,98665.9,5957.2,22711.8,31936.4,27121.1,4062.9,184.0733,5957.2,22711.8,31936.4,27121.1,4062.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.50ppm,H75 C38 N1 O7 P1 ,PCO-,30,2,PCO- 30:2,Keine,688.5272,0,0,0,3668.4,0,20901.1,67529,73286.1,271670,0,184.0734,20901.1,67529,73286.1,271670,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.51ppm,H77 C38 N1 O7 P1 ,PCO-,30,1,PCO- 30:1,Keine,690.5429,0,0,0,1385017.2,0,22027.9,53886.6,391966.6,1729169.6,0,184.0734,22027.9,53886.6,391966.6,1729169.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PCOPosMS1MS2,-0.06ppm,H79 C38 N1 O7 P1 ,PCO-,30,0,PCO- 30:0,Keine,692.5588,0,0,0,1542595.9,0,10606.4,101746.1,68315,2435129.9,3114,184.0732,10606.4,101746.1,68315,2435129.9,3114,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PCOPosMS1MS2,-4.42ppm,H75 C40 N1 O7 P1 ,PCO-,32,4,PCO- 32:4,Keine,712.5244,0,0,1825.5,44002.6,0,10733.1,37106.6,38042.4,134288.4,5115.4,184.0734,10733.1,37106.6,38042.4,134288.4,5115.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
