QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,SPECIE,MASS,PREC:mE531_POS_01.raw,PREC:mE531_POS_02.raw,PREC:mE531_POS_03.raw,PREC:mE531_POS_04.raw,PREC:mE531_POS_05.raw,SUMFA:mE531_POS_01.raw,SUMFA:mE531_POS_02.raw,SUMFA:mE531_POS_03.raw,SUMFA:mE531_POS_04.raw,SUMFA:mE531_POS_05.raw,MASSFRAG1,FRAG1:mE531_POS_01.raw,FRAG1:mE531_POS_02.raw,FRAG1:mE531_POS_03.raw,FRAG1:mE531_POS_04.raw,FRAG1:mE531_POS_05.raw,MASSFRAG2,FRAG2:mE531_POS_01.raw,FRAG2:mE531_POS_02.raw,FRAG2:mE531_POS_03.raw,FRAG2:mE531_POS_04.raw,FRAG2:mE531_POS_05.raw,FA1,MASSFA1,FA1INTENS:mE531_POS_01.raw,FA1INTENS:mE531_POS_02.raw,FA1INTENS:mE531_POS_03.raw,FA1INTENS:mE531_POS_04.raw,FA1INTENS:mE531_POS_05.raw,FA2,MASSFA2,FA2INTENS:mE531_POS_01.raw,FA2INTENS:mE531_POS_02.raw,FA2INTENS:mE531_POS_03.raw,FA2INTENS:mE531_POS_04.raw,FA2INTENS:mE531_POS_05.raw,POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISCerPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCerPosMS2,-0.42ppm,H60 C30 O3 N1 ,Cer,30,1,2,isCer 30:1;2,,482.4566,3359199.4,3163358.5,1051152.8,2583317.1,6155212.7,2395353.2,1978679.8,885721.2,2469705.7,6240486.2,264.2686,2144605.4,1763499.6,789244.5,2202396.8,5535791.6,282.279,250747.8,215180.1,96476.7,267308.8,704694.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISDAGPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISDAGPosMS2,-0.29ppm,H56 C27 O5 N1 ,DAG,24,0,None, isDAG 24:0,isDAG 12:0/12:0,474.4152,2892561.6,3497094.8,1095869.7,2293774.7,4384652.2,1775735.8,1795320.3,780885.1,2035500.4,3605648.6,None, None, None, None, None, None, None, None, None, None, None, None, 12:0,217.2042,1775735.8,1795320.3,780885.1,2035500.4,3605648.6,12:0,217.2042,1775735.8,1795320.3,780885.1,2035500.4,3605648.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPCPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPCPosMS2,-0.47ppm,H43 C20 P1 O7 N1 ,LPC,12,0,None, isLPC 12:0,Keine,440.277,6451160.2,11803838.3,4005175.7,5933168.2,7932450.7,2997796,4915310.2,2321071.9,3931124.2,5049474.9,184.0734,2997796,4915310.2,2321071.9,3931124.2,5049474.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPCPosMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPCPosMS2O,-0.47ppm,H43 C20 P1 O7 N1 ,LPC,12,0,None, isLPCO- 12:0,Keine,440.277,6451160.2,11803838.3,4005175.7,5933168.2,7932450.7,2997796,4915310.2,2321071.9,3931124.2,5049474.9,184.0734,2997796,4915310.2,2321071.9,3931124.2,5049474.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,Cer2OHPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer2OHPosMS1MS2,0.13ppm,H64 C32 O3 N1 ,Cer,32,1,2,Cer 32:1;2,Cer 18:1/14:0,510.4881,1908.6,6796.7,3238.7,33595.7,2788.5,0,2451.4,0,23491.2,-1.4,264.2688,0,2451.4,0,20864.9,-1.4,282.2803,0,0,0,2626.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,1.99ppm,H64 C34 O3 N1 ,Cer,34,3,2,Cer 34:3;2,Cer 18:1/16:2,534.4891,0,0,334.3,0,24.2,23756.8,5693.5,0,27765.7,47224.7,264.2685,21511.5,5693.5,0,25034.2,43199.5,282.2791,2245.3,0,0,2731.5,4025.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.51ppm,H68 C34 O3 N1 ,Cer,34,1,2,Cer 34:1;2,Cer 18:1/16:0,538.5191,9881.9,27744.6,41001,185899.6,1478.6,28366.9,27203.9,39294.1,187789.2,9267.3,264.2688,24925.6,23941,35099.6,158076.3,2290.9,282.2784,3441.3,3262.9,4194.5,29712.8,6976.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.30ppm,H70 C36 O3 N1 ,Cer,36,2,2,Cer 36:2;2,Cer 18:2/18:0,564.5352,630.3,521465.5,0,655.2,0,0,164436.1,0,0,0,262.2528,0,147037.6,0,0,0,280.2637,0,17398.5,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.13ppm,H72 C36 O3 N1 ,Cer,36,1,2,Cer 36:1;2,Cer 18:1/18:0,566.5506,1357.1,1628580.2,18497.8,27077.9,1855.3,0,623573.3,11605.7,21724.6,4081.2,264.2688,0,550248.5,8951.8,17009.4,0,282.2785,0,73324.7,2653.9,4715.2,4081.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.86ppm,H74 C38 O3 N1 ,Cer,38,2,2,Cer 38:2;2,Cer 18:1/20:1,592.5658,1559.3,27339.5,0,5313.7,7221.8,7892.4,12418.3,0,4175.4,13794.4,264.2689,5569.4,10048.7,0,4175.4,13794.4,282.2812,2323,2369.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-1.16ppm,H76 C38 O3 N1 ,Cer,38,1,2,Cer 38:1;2,Cer 20:1/18:0,594.5813,13201.5,238091.7,8860.9,14391.2,3547.3,2737.6,62032.4,0,3587.7,11044.5,292.2998,0,53129,0,0,0,310.3105,2737.6,8903.4,0,3587.7,11044.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-3.23ppm,H78 C40 O3 N1 ,Cer,40,2,2,Cer 40:2;2,Cer 18:1/22:1,620.5956,29491.8,102764.7,4288.7,13886.8,26504.1,4108.7,73458.8,2529.3,22534.5,3462.8,264.2692,0,61878.5,2529.3,7243.6,0,282.2798,4108.7,11580.3,0,15290.9,3462.8,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.64ppm,H80 C40 O3 N1 ,Cer,40,1,2,Cer 40:1;2,Cer 18:1/22:0,622.6129,-1.6,10970,63264,11266.6,-1.6,6715.8,12008.4,49931,16115.8,0,264.2676,6715.8,12008.4,45445.8,16115.8,0,282.2802,0,0,4485.2,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
