NAME,ERROR,MASS,SPECIE,MODE,LENGTH,DB,OH,PREC_01,PREC_02,PREC_03,PREC_04,PREC_05,MASSFRAG1,FRAG1_01,FRAG1_02,FRAG1_03,FRAG1_04,FRAG1_05,MASSFRAG2,FRAG2_01,FRAG2_02,FRAG2_03,FRAG2_04,FRAG2_05,FA1INTENS_01,FA1INTENS_02,FA1INTENS_03,FA1INTENS_04,FA1INTENS_05,FA2INTENS_01,FA2INTENS_02,FA2INTENS_03,FA2INTENS_04,FA2INTENS_05,MASSNLS,NLS_01,NLS_02,NLS_03,NLS_04,NLS_05,FAOINTENS_01,FAOINTENS_02,FAOINTENS_03,FAOINTENS_04,FAOINTENS_05,QUAN_SCAN,SPECIE.GLOBAL,SPECIE.ALL
PA 32:0,1.2,647.4665,PA 16:0-16:0,NEG,32,0,0,115138.7,40216,0,0,0,152.995,90957.6,58712.6,25239.8,21044.5,8584.6,0,0,0,0,0,0,174044,111105.7,42806.9,36138.7,29024.6,174044,111105.7,42806.9,36138.7,29024.6,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-16:0|PA 14:0-18:0
PA 34:2,0.6,671.4661,PA 16:1-18:1,NEG,34,2,0,25400.9,12913.5,0,7042.7,0,152.9949,53661.6,35044.5,6136.1,9752.7,1407.5,0,0,0,0,0,0,20022,9763.7,53165.8,10399.4,0,18024.6,14100.4,15390.4,11517.5,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:1-18:1|PA 16:0-18:2
PA 34:1,0.5,673.4817,PA 16:1-18:0,NEG,34,1,0,871737.6,524983.9,1635.1,0,0,152.995,2221.6,-1.6,480.6,-1.6,0,0,0,0,0,0,0,-1.6,-1.6,36689.3,8191.7,0,2286.6,-1.6,13370.7,11892.1,14751,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:1-18:0|PA 16:0-18:1
PA 34:0,-3.1,675.4949,PA 16:0-18:0,NEG,34,0,0,21790.6,0,0,0,0,152.995,45543.4,45035.6,9615.9,14904.8,4370.6,0,0,0,0,0,0,108255.3,65158.7,207530.2,67297.7,19133,43856.1,35038.2,21918.1,18383.4,24284.3,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-18:0
PA 36:4,2.2,695.4673,PA 18:2-18:2,NEG,36,4,0,34371.1,13805.1,8597,393.6,0,152.9948,87547.2,96753.2,58050.2,47752.2,3136,0,0,0,0,0,0,21892.6,14494.9,55977.6,23529.5,0,21892.6,14494.9,55977.6,23529.5,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:2-18:2|PA 16:0-20:4|PA 18:1-18:3
isPA 24:0,1.2,535.3412,isPA 12:0/12:0,NEG,24,0,0,3462208.5,4549286.1,5204216.7,4858887,3804065.7,152.9949,973176.3,1210960.6,1182124.2,803717.1,695505.1,0,0,0,0,0,0,2749652.1,3484089.2,3381536.7,2366995.4,1963327,2749652.1,3484089.2,3381536.7,2366995.4,1963327,0,0,0,0,0,0,0,0,0,0,0,PREC,none,isPA 12:0/12:0
