QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE504_NEG_01.raw,PREC:mE504_NEG_02.raw,PREC:mE504_NEG_03.raw,PREC:mE504_NEG_04.raw,PREC:mE504_NEG_05.raw,SUMFA:mE504_NEG_01.raw,SUMFA:mE504_NEG_02.raw,SUMFA:mE504_NEG_03.raw,SUMFA:mE504_NEG_04.raw,SUMFA:mE504_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE504_NEG_01.raw,FA1INTENS:mE504_NEG_02.raw,FA1INTENS:mE504_NEG_03.raw,FA1INTENS:mE504_NEG_04.raw,FA1INTENS:mE504_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE504_NEG_01.raw,FA2INTENS:mE504_NEG_02.raw,FA2INTENS:mE504_NEG_03.raw,FA2INTENS:mE504_NEG_04.raw,FA2INTENS:mE504_NEG_05.raw,MASSFRAG1,FRAG1:mE504_NEG_01.raw,FRAG1:mE504_NEG_02.raw,FRAG1:mE504_NEG_03.raw,FRAG1:mE504_NEG_04.raw,FRAG1:mE504_NEG_05.raw,MASSFRAG2,FRAG2:mE504_NEG_01.raw,FRAG2:mE504_NEG_02.raw,FRAG2:mE504_NEG_03.raw,FRAG2:mE504_NEG_04.raw,FRAG2:mE504_NEG_05.raw,MASSNLS,NLS:mE504_NEG_01.raw,NLS:mE504_NEG_02.raw,NLS:mE504_NEG_03.raw,NLS:mE504_NEG_04.raw,NLS:mE504_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE504_NEG_01.raw,FAOINTENS:mE504_NEG_02.raw,FAOINTENS:mE504_NEG_03.raw,FAOINTENS:mE504_NEG_04.raw,FAOINTENS:mE504_NEG_05.raw,NEG
NEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPANegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPANegMS2,H52 C27 O8 P1 ,1.2,PA,24,0,isPA 24:0,isPA 12:0/12:0,535.3412,3462208.5,4549286.1,5204216.7,4858887,3804065.7,5499304.2,6968178.5,6763073.4,4733990.8,3926654,12:00,199.1698,2749652.1,3484089.2,3381536.7,2366995.4,1963327,12:00,199.1698,2749652.1,3484089.2,3381536.7,2366995.4,1963327,152.9949,973176.3,1210960.6,1182124.2,803717.1,695505.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPANegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPANegMS2O,H52 C27 O8 P1 ,1.2,PA,24,0,isPAO- 24:0,isPAO- 12:0/12:0,535.3412,3462208.5,4549286.1,5204216.7,4858887,3804065.7,5499304.2,6968178.5,6763073.4,4733990.8,3926654,12:00,199.1698,2749652.1,3484089.2,3381536.7,2366995.4,1963327,12:00,199.1698,2749652.1,3484089.2,3381536.7,2366995.4,1963327,152.9949,973176.3,1210960.6,1182124.2,803717.1,695505.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPENegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPENegMS2,H57 C29 P1 O8 N1 ,1.4,PE,24,0,isPE 24:0,isPE 12:0/12:0,578.3835,4673632.4,3041692,3293964.4,3068548,7178305.2,10916088.3,6978330.3,6481665.1,4614979.7,11020929.6,12:00,199.1698,5458044.1,3489165.2,3240832.5,2307489.8,5510464.8,12:00,199.1698,5458044.1,3489165.2,3240832.5,2307489.8,5510464.8,196.0376,104716,83686.9,63425.1,38138.2,87870,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPENegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPENegMS2O,H57 C29 P1 O8 N1 ,1.4,PE,24,0,isPEO- 24:0,isPEO- 12:0/12:0,578.3835,4673632.4,3041692,3293964.4,3068548,7178305.2,10916088.3,6978330.3,6481665.1,4614979.7,11020929.6,12:00,199.1698,5458044.1,3489165.2,3240832.5,2307489.8,5510464.8,12:00,199.1698,5458044.1,3489165.2,3240832.5,2307489.8,5510464.8,196.0376,104716,83686.9,63425.1,38138.2,87870,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPGNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPGNegMS2,H58 C30 O10 P1 ,1.4,PG,24,0,isPG 24:0,isPG 12:0/12:0,609.3782,6695354,4324584.2,4180292.7,4043037,8994586.4,12333041,8210198,6468331.1,4766714.7,10864614.5,12:00,199.1698,6166520.5,4105099,3234165.6,2383357.4,5432307.2,12:00,199.1698,6166520.5,4105099,3234165.6,2383357.4,5432307.2,152.995,480694.3,354021.8,245634.1,177146.3,384197.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPGNegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPGNegMS2O,H58 C30 O10 P1 ,1.4,PG,24,0,isPGO- 24:0,isPGO- 12:0/12:0,609.3782,6695354,4324584.2,4180292.7,4043037,8994586.4,12333041,8210198,6468331.1,4766714.7,10864614.5,12:00,199.1698,6166520.5,4105099,3234165.6,2383357.4,5432307.2,12:00,199.1698,6166520.5,4105099,3234165.6,2383357.4,5432307.2,152.995,480694.3,354021.8,245634.1,177146.3,384197.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
