QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE504_NEG_01.raw,PREC:mE504_NEG_02.raw,PREC:mE504_NEG_03.raw,PREC:mE504_NEG_04.raw,PREC:mE504_NEG_05.raw,SUMFA:mE504_NEG_01.raw,SUMFA:mE504_NEG_02.raw,SUMFA:mE504_NEG_03.raw,SUMFA:mE504_NEG_04.raw,SUMFA:mE504_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE504_NEG_01.raw,FA1INTENS:mE504_NEG_02.raw,FA1INTENS:mE504_NEG_03.raw,FA1INTENS:mE504_NEG_04.raw,FA1INTENS:mE504_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE504_NEG_01.raw,FA2INTENS:mE504_NEG_02.raw,FA2INTENS:mE504_NEG_03.raw,FA2INTENS:mE504_NEG_04.raw,FA2INTENS:mE504_NEG_05.raw,MASSFRAG1,FRAG1:mE504_NEG_01.raw,FRAG1:mE504_NEG_02.raw,FRAG1:mE504_NEG_03.raw,FRAG1:mE504_NEG_04.raw,FRAG1:mE504_NEG_05.raw,MASSFRAG2,FRAG2:mE504_NEG_01.raw,FRAG2:mE504_NEG_02.raw,FRAG2:mE504_NEG_03.raw,FRAG2:mE504_NEG_04.raw,FRAG2:mE504_NEG_05.raw,MASSNLS,NLS:mE504_NEG_01.raw,NLS:mE504_NEG_02.raw,NLS:mE504_NEG_03.raw,NLS:mE504_NEG_04.raw,NLS:mE504_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE504_NEG_01.raw,FAOINTENS:mE504_NEG_02.raw,FAOINTENS:mE504_NEG_03.raw,FAOINTENS:mE504_NEG_04.raw,FAOINTENS:mE504_NEG_05.raw,NEG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPINegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPINegMS2,H46 C25 O13 P1 ,1.4,PI,16,0,isPI 16:0,isPI 8:0/8:0,585.269,6999807.5,5392894.1,5459398.9,5285929.2,6968966.3,6752059.5,4733851.4,3785649.5,2742340.8,3560999.6,8:00,143.1068,3376029.7,2366925.7,1892824.8,1371170.4,1780499.8,8:00,143.1068,3376029.7,2366925.7,1892824.8,1371170.4,1780499.8,152.9949,475961.9,365839.6,265339.1,192438.3,238551.7,241.0117,967746.1,679783.8,538171,392594,518859.1,None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPINegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPINegMS2O,H46 C25 O13 P1 ,1.4,PI,16,0,isPIO- 16:0,isPIO- 8:0/8:0,585.269,6999807.5,5392894.1,5459398.9,5285929.2,6968966.3,6752059.5,4733851.4,3785649.5,2742340.8,3560999.6,8:00,143.1068,3376029.7,2366925.7,1892824.8,1371170.4,1780499.8,8:00,143.1068,3376029.7,2366925.7,1892824.8,1371170.4,1780499.8,152.9949,475961.9,365839.6,265339.1,192438.3,238551.7,241.0117,967746.1,679783.8,538171,392594,518859.1,None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPSNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPSNegMS2,H57 C30 P1 O10 N1 ,1.5,PS,24,0,isPS 24:0,isPS 12:0 / 12:0,622.3735,4959986.5,4274582.7,4220089.9,4166176.3,6724724.4,6335643,5099300.3,4266492.6,3164491.4,5297808.7,12:00,199.1698,3167821.5,2549650.1,2133246.3,1582245.7,2648904.4,12:00,199.1698,3167821.5,2549650.1,2133246.3,1582245.7,2648904.4,,1113580,897850.1,751709.1,564338.2,879631.1,None, None, None, None, None, None,87.0327,1155972.1,934652.4,770985.2,590698,968883.2,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPSNegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPSNegMS2O,H57 C30 P1 O10 N1 ,1.5,PS,24,0,isPSO- 24:0,isPSO- 12:0 / 12:0,622.3735,4959986.5,4274582.7,4220089.9,4166176.3,6724724.4,6335643,5099300.3,4266492.6,3164491.4,5297808.7,12:00,199.1698,3167821.5,2549650.1,2133246.3,1582245.7,2648904.4,12:00,199.1698,3167821.5,2549650.1,2133246.3,1582245.7,2648904.4,,1113580,897850.1,751709.1,564338.2,879631.1,None, None, None, None, None, None,87.0327,1155972.1,934652.4,770985.2,590698,968883.2,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PANegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANegMS2,H56 C29 O8 P1 ,1,PA,26,0,PA 26:0,PA 12:0-14:0,563.3724,2098.8,0,0,0,803.6,15711.6,14572.2,15649.5,7310.9,15115.5,12:00,199.17,12104.5,10247.7,5184.5,3940.7,12753.9,14:00,227.2017,3607.1,4324.5,10465,3370.2,2361.6,152.9949,86329.4,69025.2,46559,39948.1,50283.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H56 C33 O8 P1 ,-2.4,PA,30,4,PA 30:4,PA 14:3-16:1,611.3704,0,0,0,1443.9,0,25606,16690.7,43412.9,32129.9,5518.3,14:03,221.1554,2588.8,2660.1,0,0,2268.1,16:01,253.2173,23017.2,14030.6,43412.9,32129.9,3250.2,152.9949,-1.5,-1.5,-1.5,-1.5,-1.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H56 C35 O8 P1 ,-5.1,PA,32,6,PA 32:6,PA 14:3-18:3,635.3686,0,3599.5,0,0,0,5958.3,0,3420.2,3400.2,0,14:03,221.1545,5958.3,0,0,0,0,18:03,277.2172,0,0,3420.2,3400.2,0,152.995,38489.6,42158.7,13428.6,10386.9,3150.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H60 C35 O8 P1 ,-0.9,PA,32,4,PA 32:4,PA 14:3-18:1,639.4025,0,0,1281.2,0,0,73496.6,62682.3,118084,103533.8,18854.5,14:03,221.1551,5352.7,0,0,0,0,18:01,281.2484,68143.9,62682.3,118084,103533.8,18854.5,152.9951,23981.5,22547.7,9890.8,9728.5,2675.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H60 C35 O8 P1 ,-0.9,PA,32,4,PA 32:4,PA 12:0-20:4,639.4025,0,0,1281.2,0,0,8650.1,2905.4,16702.2,11343.6,-1.5,12:00,199.1698,5229.2,2905.4,13770.6,8469,-1.5,20:04,303.2327,3420.9,0,2931.7,2874.6,0,152.9951,23981.5,22547.7,9890.8,9728.5,2675.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H62 C35 O8 P1 ,2,PA,32,3,PA 32:3,PA 14:3-18:0,641.4201,2415.1,0,1186.2,0,3222.4,304437.5,241514.8,126314.3,142258.1,229695.9,14:03,221.1539,3010.7,3182.8,2968,0,0,18:00,283.2645,301426.8,238332,123346.3,142258.1,229695.9,152.995,32849.7,32187.5,16128.7,12315.8,5266.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C35 O8 P1 ,1.2,PA,32,0,PA 32:0,PA 16:0-16:0,647.4665,115138.7,40216,0,0,0,348088,222211.3,85613.7,72277.3,58049.3,16:00,255.2329,174044,111105.7,42806.9,36138.7,29024.6,16:00,255.2329,174044,111105.7,42806.9,36138.7,29024.6,152.995,90957.6,58712.6,25239.8,21044.5,8584.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C35 O8 P1 ,1.2,PA,32,0,PA 32:0,PA 14:0-18:0,647.4665,115138.7,40216,0,0,0,21087.3,16255.5,31336.9,12591.7,9054.9,14:00,227.2011,3186.3,2873.8,14884.5,4228.1,0,18:00,283.2639,17901,13381.6,16452.4,8363.6,9054.9,152.995,90957.6,58712.6,25239.8,21044.5,8584.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H58 C37 O8 P1 ,-4.4,PA,34,7,PA 34:7,PA 14:3-20:4,661.3846,0,7781.4,2810.2,8880.4,9904.6,10616.3,2774.7,10181.6,12251,0,14:03,221.1551,2479.8,0,0,0,0,20:04,303.234,8136.5,2774.7,10181.6,12251,0,152.9951,23186.8,17158.2,8386.7,9048.2,2804.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H66 C37 O8 P1 ,-5.6,PA,34,3,PA 34:3,PA 14:3-20:0,669.4464,0,1659.8,0,0,3012.4,11074.9,0,3664.8,3810.3,6602.1,14:03,221.1537,5303.5,0,3664.8,3810.3,0,20:00,311.2962,5771.4,0,0,0,6602.1,152.995,98754.8,147277.2,104965.4,75862.7,6969.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H66 C37 O8 P1 ,-5.6,PA,34,3,PA 34:3,PA 16:1-18:2,669.4464,0,1659.8,0,0,3012.4,6563.6,8828,42593.9,18039.9,0,16:01,253.2173,4809.7,5641.6,32251.6,9274.5,0,18:02,279.233,1753.9,3186.4,10342.4,8765.3,0,152.995,98754.8,147277.2,104965.4,75862.7,6969.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C37 O8 P1 ,0.6,PA,34,2,PA 34:2,PA 16:1-18:1,671.4661,25400.9,12913.5,0,7042.7,0,38046.6,23864,68556.2,21916.9,0,16:01,253.217,20022,9763.7,53165.8,10399.4,0,18:01,281.2487,18024.6,14100.4,15390.4,11517.5,0,152.9949,53661.6,35044.5,6136.1,9752.7,1407.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C37 O8 P1 ,0.6,PA,34,2,PA 34:2,PA 16:0-18:2,671.4661,25400.9,12913.5,0,7042.7,0,252255.2,189135.6,223852.9,122014.2,47295.8,16:00,255.2329,214496.5,163185.9,204601,103743.6,47295.8,18:02,279.2328,37758.7,25949.7,19251.9,18270.6,0,152.9949,53661.6,35044.5,6136.1,9752.7,1407.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C37 O8 P1 ,0.5,PA,34,1,PA 34:1,PA 16:1-18:0,673.4817,871737.6,524983.9,1635.1,0,0,2285,-3.2,50060,20083.7,14751,16:01,253.217,-1.6,-1.6,36689.3,8191.7,0,18:00,283.2642,2286.6,-1.6,13370.7,11892.1,14751,152.995,2221.6,-1.6,480.6,-1.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C37 O8 P1 ,0.5,PA,34,1,PA 34:1,PA 16:0-18:1,673.4817,871737.6,524983.9,1635.1,0,0,840603.8,501145.2,306896.7,124452.2,27868.1,16:00,255.2329,810591.8,476830,279705.7,102250.7,27868.1,18:01,281.2484,30012,24315.2,27191.1,22201.5,0,152.995,2221.6,-1.6,480.6,-1.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C37 O8 P1 ,-3.1,PA,34,0,PA 34:0,PA 16:0-18:0,675.4949,21790.6,0,0,0,0,152111.5,100196.9,229448.3,85681.1,43417.3,16:00,255.2329,108255.3,65158.7,207530.2,67297.7,19133,18:00,283.2642,43856.1,35038.2,21918.1,18383.4,24284.3,152.995,45543.4,45035.6,9615.9,14904.8,4370.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H66 C39 O8 P1 ,-4.9,PA,36,5,PA 36:5,PA 16:1-20:4,693.4467,0,4472.3,-1.6,9525.6,1798.3,7556.8,5909.6,36320.5,7177.4,0,16:01,253.2172,3810.8,4633.6,33434.4,7177.4,0,20:04,303.2324,3746,1276,2886.1,0,0,152.9949,22597.3,21842.7,-1.6,-1.6,2617.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C39 O8 P1 ,2.2,PA,36,4,PA 36:4,PA 18:2-18:2,695.4673,34371.1,13805.1,8597,393.6,0,43785.2,28989.8,111955.2,47059,0,18:02,279.2331,21892.6,14494.9,55977.6,23529.5,0,18:02,279.2331,21892.6,14494.9,55977.6,23529.5,0,152.9948,87547.2,96753.2,58050.2,47752.2,3136,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C39 O8 P1 ,2.2,PA,36,4,PA 36:4,PA 16:0-20:4,695.4673,34371.1,13805.1,8597,393.6,0,171205.9,114151.8,211712,76859.1,24685.8,16:00,255.2329,148356.1,96788.1,208775.5,73519.3,24685.8,20:04,303.233,22849.8,17363.7,2936.5,3339.9,0,152.9948,87547.2,96753.2,58050.2,47752.2,3136,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C39 O8 P1 ,2.2,PA,36,4,PA 36:4,PA 18:1-18:3,695.4673,34371.1,13805.1,8597,393.6,0,119075.6,110271.1,178314.9,137729.9,5448.9,18:01,281.2487,119075.6,110271.1,170128.9,134508.1,5448.9,18:03,277.2177,0,0,8186,3221.7,0,152.9948,87547.2,96753.2,58050.2,47752.2,3136,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C39 O8 P1 ,1.5,PA,36,3,PA 36:3,PA 18:2-18:1,697.4824,410470.6,208358.6,231245.1,216845.1,0,317178,230784,302518.4,160247,2788.3,18:02,279.233,277428.2,201011.5,214375,121699.1,0,18:01,281.2489,39749.8,29772.6,88143.4,38547.8,2788.3,152.9949,23556.8,20268.5,5501.4,6455.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C39 O8 P1 ,1.5,PA,36,3,PA 36:3,PA 20:3-16:0,697.4824,410470.6,208358.6,231245.1,216845.1,0,178344.4,128578,153344.2,91450,19924.6,20:03,305.2458,4037.3,0,0,0,0,16:00,255.2329,174307.1,128578,153344.2,91450,19924.6,152.9949,23556.8,20268.5,5501.4,6455.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C39 O8 P1 ,1.5,PA,36,3,PA 36:3,PA 18:0-18:3,697.4824,410470.6,208358.6,231245.1,216845.1,0,44237.3,37964.3,34412.1,19734.5,19077.8,18:00,283.2644,42908.4,37964.3,30522.8,19734.5,19077.8,18:03,277.2175,1328.9,0,3889.2,0,0,152.9949,23556.8,20268.5,5501.4,6455.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C39 O8 P1 ,-0.8,PA,36,2,PA 36:2,PA 18:0-18:2,699.4965,345303.8,180921.1,5248.9,55559.8,0,148681.3,156432.7,177697.5,102416.8,50565.8,18:00,283.2643,143931.3,150302.5,118799.1,79400.4,50565.8,18:02,279.233,4750,6130.2,58898.4,23016.4,0,152.995,11684.2,12701.4,11416.3,15171.2,2993.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C39 O8 P1 ,-0.8,PA,36,2,PA 36:2,PA 18:1-18:1,699.4965,345303.8,180921.1,5248.9,55559.8,0,490828.2,351626,433669,197939.4,8668.2,18:01,281.2486,245414.1,175813,216834.5,98969.7,4334.1,18:01,281.2486,245414.1,175813,216834.5,98969.7,4334.1,152.995,11684.2,12701.4,11416.3,15171.2,2993.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H74 C39 O8 P1 ,3,PA,36,1,PA 36:1,PA 18:0-18:1,701.5148,-1.6,-1.6,0,0,0,142009.1,83079.3,274948.5,73991.2,19075.5,18:00,283.2643,142010.7,83080.9,166415,47759.3,19067.2,18:01,281.2491,-1.6,-1.6,108533.5,26232,8.3,152.9949,48873.9,47432,47054.3,54404.1,8453.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C41 O8 P1 ,1.6,PA,38,6,PA 38:6,PA 16:0-22:6,719.4669,12992,0,0,0,0,-3.3,-1.6,67903.5,25879.4,16639.7,16:00,255.2328,-1.6,-1.6,67903.5,25879.4,16639.7,22:06,327.2323,-1.6,0,0,0,0,152.9951,58019.6,50229.3,14990.9,16002,3626.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H68 C41 O8 P1 ,1.6,PA,38,6,PA 38:6,PA 20:4-18:2,719.4669,12992,0,0,0,0,36899.1,33643,42014.2,10150.6,0,20:04,303.2332,24902.6,25382,4654.3,1894.8,0,18:02,279.2329,11996.5,8261,37360,8255.8,0,152.9951,58019.6,50229.3,14990.9,16002,3626.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C41 O8 P1 ,1.8,PA,38,5,PA 38:5,PA 20:3-18:2,721.4827,121566.3,69706.7,136859.8,79897.3,0,21126.6,15770.6,41836.5,21906,0,20:03,305.2487,4162.3,0,0,0,0,18:02,279.2331,16964.3,15770.6,41836.5,21906,0,152.9949,68351.5,59885,11419.9,13883.6,2701.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C41 O8 P1 ,1.8,PA,38,5,PA 38:5,PA 20:5-18:0,721.4827,121566.3,69706.7,136859.8,79897.3,0,52130.5,37553.6,92230.7,28916.1,13296.5,20:05,301.2165,-1.6,-1.6,0,0,0,18:00,283.2644,52132.2,37555.3,92230.7,28916.1,13296.5,152.9949,68351.5,59885,11419.9,13883.6,2701.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H70 C41 O8 P1 ,1.8,PA,38,5,PA 38:5,PA 18:1-20:4,721.4827,121566.3,69706.7,136859.8,79897.3,0,118379.7,89256,136177.9,58867.4,0,18:01,281.2486,51362,41786.1,86180.9,25519.8,0,20:04,303.2329,67017.7,47469.9,49997,33347.7,0,152.9949,68351.5,59885,11419.9,13883.6,2701.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C41 O8 P1 ,1.2,PA,38,4,PA 38:4,PA 20:3-18:1,723.4979,118942.4,134492.7,13987.9,23893,0,56278.5,45838.7,56026.3,29041.4,0,20:03,305.2473,16319,11701.9,9324.5,4612.9,0,18:01,281.2487,39959.4,34136.9,46701.8,24428.5,0,152.995,98827.3,102137.3,23094.1,19726.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C41 O8 P1 ,1.2,PA,38,4,PA 38:4,PA 16:0-22:4,723.4979,118942.4,134492.7,13987.9,23893,0,44664.5,31221.7,117956.2,54387.4,21889.2,16:00,255.2329,44664.5,29215.2,117956.2,54387.4,21889.2,22:04,331.2663,0,2006.5,0,0,0,152.995,98827.3,102137.3,23094.1,19726.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,H72 C41 O8 P1 ,1.2,PA,38,4,PA 38:4,PA 20:1-18:3,723.4979,118942.4,134492.7,13987.9,23893,0,3765.9,3057.6,3588.5,3356.2,0,20:01,309.2807,0,3057.6,3588.5,3356.2,0,18:03,277.2167,3765.9,0,0,0,0,152.995,98827.3,102137.3,23094.1,19726.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
