QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE504_POS_01.raw,PREC:mE504_POS_02.raw,PREC:mE504_POS_03.raw,PREC:mE504_POS_04.raw,PREC:mE504_POS_05.raw,SUMFA:mE504_POS_01.raw,SUMFA:mE504_POS_02.raw,SUMFA:mE504_POS_03.raw,SUMFA:mE504_POS_04.raw,SUMFA:mE504_POS_05.raw,MASSFRAG1,FRAG1:mE504_POS_01.raw,FRAG1:mE504_POS_02.raw,FRAG1:mE504_POS_03.raw,FRAG1:mE504_POS_04.raw,FRAG1:mE504_POS_05.raw,OH,MASSFRAG2,FRAG2:mE504_POS_01.raw,FRAG2:mE504_POS_02.raw,FRAG2:mE504_POS_03.raw,FRAG2:mE504_POS_04.raw,FRAG2:mE504_POS_05.raw,POS
POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISCEPOSMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCEPOSMS2,-0.07ppm,H71 C42 D7 O2 N1 ,CE,15,0,isCE 15:0,Keine,635.6466,3302604.7,2919669.1,2148665.2,984475.6,7454085.1,1147173.6,1114891.8,687598.3,440639.3,3143701.7,376.3958,1147173.6,1114891.8,687598.3,440639.3,3143701.7,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISHexCerPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISHexCerPosMS2,0.01ppm,H70 C36 O8 N1 ,HexCer,30,1,isHexCer 30:1;2,,644.5096,8703758.7,5985000.1,9562036.8,7189309,23614166.1,6271291,4591499.5,6512949.1,4496112.2,15132736.8,264.2687,5718293.7,4207521.1,5951323.6,4112918.3,13839585.2,2,282.2791,552997.3,383978.4,561625.5,383193.8,1293151.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPCPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPCPosMS2,0.14ppm,H89 C44 P1 O6 N1 ,PC,36,2,isPC 36:2,Keine,758.6423,19986323.4,4182142.3,22698080,20178845.3,39807048.5,402221583.7,395263934.9,444224936.8,502112580.1,4624562.4,184.0736,402221583.7,395263934.9,444224936.8,502112580.1,4624562.4,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPCPosMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
