QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,SPECIE,MASS,PREC:mE504_POS_01.raw,PREC:mE504_POS_02.raw,PREC:mE504_POS_03.raw,PREC:mE504_POS_04.raw,PREC:mE504_POS_05.raw,SUMFA:mE504_POS_01.raw,SUMFA:mE504_POS_02.raw,SUMFA:mE504_POS_03.raw,SUMFA:mE504_POS_04.raw,SUMFA:mE504_POS_05.raw,MASSFRAG1,FRAG1:mE504_POS_01.raw,FRAG1:mE504_POS_02.raw,FRAG1:mE504_POS_03.raw,FRAG1:mE504_POS_04.raw,FRAG1:mE504_POS_05.raw,MASSFRAG2,FRAG2:mE504_POS_01.raw,FRAG2:mE504_POS_02.raw,FRAG2:mE504_POS_03.raw,FRAG2:mE504_POS_04.raw,FRAG2:mE504_POS_05.raw,FA1,MASSFA1,FA1INTENS:mE504_POS_01.raw,FA1INTENS:mE504_POS_02.raw,FA1INTENS:mE504_POS_03.raw,FA1INTENS:mE504_POS_04.raw,FA1INTENS:mE504_POS_05.raw,FA2,MASSFA2,FA2INTENS:mE504_POS_01.raw,FA2INTENS:mE504_POS_02.raw,FA2INTENS:mE504_POS_03.raw,FA2INTENS:mE504_POS_04.raw,FA2INTENS:mE504_POS_05.raw,POS
POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISCerPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISCerPosMS2,0.08ppm,H60 C30 O3 N1 ,Cer,30,1,2,isCer 30:1;2,,482.4568,7961386.4,8200763.6,8785153.5,6672897.4,14599050.3,5537378.5,5123434.6,5109927,3830112.6,11363909.2,264.2686,4925712.5,4535987.8,4523709,3406187.9,10114731.6,282.2791,611666.1,587446.8,586218,423924.7,1249177.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISDAGPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISDAGPosMS2,0.22ppm,H56 C27 O5 N1 ,DAG,24,0,None, isDAG 24:0,isDAG 12:0/12:0,474.4154,3775226.2,3535933.3,3256858.6,2362309.8,5824520,1886804.8,1640209.6,1369033,987731.7,3087979.3,None, None, None, None, None, None, None, None, None, None, None, None, 12:0,217.2043,1886804.8,1640209.6,1369033,987731.7,3087979.3,12:00,217.2043,1886804.8,1640209.6,1369033,987731.7,3087979.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPCPosMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPCPosMS2,-0.27ppm,H39 C18 P1 O7 N1 ,LPC,10,0,None, isLPC 10:0,Keine,412.2458,14528242,10988753.8,16269637.8,12178823.7,26920037.5,4012457.9,2493400.1,3424815.5,2622067.8,7229238.4,184.0734,4012457.9,2493400.1,3424815.5,2622067.8,7229238.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
