QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,SPECIE,MASS,PREC:mE504_POS_01.raw,PREC:mE504_POS_02.raw,PREC:mE504_POS_03.raw,PREC:mE504_POS_04.raw,PREC:mE504_POS_05.raw,SUMFA:mE504_POS_01.raw,SUMFA:mE504_POS_02.raw,SUMFA:mE504_POS_03.raw,SUMFA:mE504_POS_04.raw,SUMFA:mE504_POS_05.raw,MASSFRAG1,FRAG1:mE504_POS_01.raw,FRAG1:mE504_POS_02.raw,FRAG1:mE504_POS_03.raw,FRAG1:mE504_POS_04.raw,FRAG1:mE504_POS_05.raw,MASSFRAG2,FRAG2:mE504_POS_01.raw,FRAG2:mE504_POS_02.raw,FRAG2:mE504_POS_03.raw,FRAG2:mE504_POS_04.raw,FRAG2:mE504_POS_05.raw,FA1,MASSFA1,FA1INTENS:mE504_POS_01.raw,FA1INTENS:mE504_POS_02.raw,FA1INTENS:mE504_POS_03.raw,FA1INTENS:mE504_POS_04.raw,FA1INTENS:mE504_POS_05.raw,FA2,MASSFA2,FA2INTENS:mE504_POS_01.raw,FA2INTENS:mE504_POS_02.raw,FA2INTENS:mE504_POS_03.raw,FA2INTENS:mE504_POS_04.raw,FA2INTENS:mE504_POS_05.raw,POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPCPosMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPCPosMS2O,-0.27ppm,H39 C18 P1 O7 N1 ,LPC,10,0,None, isLPCO- 10:0,Keine,412.2458,14528242,10988753.8,16269637.8,12178823.7,26920037.5,4012457.9,2493400.1,3424815.5,2622067.8,7229238.4,184.0734,4012457.9,2493400.1,3424815.5,2622067.8,7229238.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,Cer2OHPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer2OHPosMS1MS2,-1.26ppm,H64 C32 O3 N1 ,Cer,32,1,2,Cer 32:1;2,Cer 18:1/14:0,510.4874,1932.3,0,0,0,2228.5,11241.7,7989.2,0,3550.7,6235.5,264.2676,3412.9,5538.2,0,3550.7,0,282.2789,7828.8,2451,0,0,6235.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.17ppm,H66 C34 O3 N1 ,Cer,34,2,2,Cer 34:2;2,Cer 18:2/16:0,536.5036,5526.3,10542.8,0,0,3460.5,7062.1,4307.6,0,0,2582.3,262.2527,3808.7,4307.6,0,0,0,280.2625,3253.4,0,0,0,2582.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.17ppm,H66 C34 O3 N1 ,Cer,34,2,2,Cer 34:2;2,Cer 18:1/16:1,536.5036,5526.3,10542.8,0,0,3460.5,47617,40107.4,4636.5,10435,11699.1,264.2687,41521.2,36401.8,4636.5,10435,11699.1,282.2792,6095.8,3705.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.20ppm,H68 C34 O3 N1 ,Cer,34,1,2,Cer 34:1;2,Cer 18:1/16:0,538.5193,503326.1,620913.7,3995.2,38399,2053.4,395056.3,352672.7,90799.9,98730.8,97438.8,264.2685,308579.6,290395.8,61749.6,72270.6,40872.4,282.277,86476.7,62276.9,29050.3,26460.3,56566.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.00ppm,H70 C34 O3 N1 ,Cer,34,0,2,Cer 34:0;2,Cer 18:0/16:0,540.535,12044.9,21384,0,4429.4,6240.6,15186.7,12068.2,0,2427.8,2552.5,266.2816,-1.4,-1.4,0,0,0,284.2945,15188.1,12069.7,0,2427.8,2552.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.14ppm,H68 C36 O3 N1 ,Cer,36,3,2,Cer 36:3;2,Cer 18:1/18:2,562.5193,254435.3,0,0,0,0,1256171.7,1455942.4,2414517.2,1676804,2595373.5,264.2686,1251627.9,1447247.5,2414517.2,1669410.4,2591817.4,282.2802,4543.8,8694.9,0,7393.6,3556.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.02ppm,H72 C36 O3 N1 ,Cer,36,1,2,Cer 36:1;2,Cer 18:1/18:0,566.5507,172523.1,209492.3,9472.5,3164.8,13317.8,213439.1,162874,64641.1,39000.7,59446.6,264.2686,144146.5,119295,42470.8,21268.9,1763.8,282.278,69292.6,43579,22170.3,17731.9,57682.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.15ppm,H74 C36 O3 N1 ,Cer,36,0,2,Cer 36:0;2,Cer 18:0/18:0,568.5664,111534.5,152288.6,0,0,0,42325.3,43245.1,0,0,0,266.2842,309.2,3765.8,0,0,0,284.2948,42016,39479.3,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.05ppm,H76 C38 O3 N1 ,Cer,38,1,2,Cer 38:1;2,Cer 18:1/20:0,594.5819,51506.6,91577.7,0,0,0,104838.2,118166,25175.8,19664.2,15193.9,264.2685,89557.8,102887.2,20846.3,19664.2,12547.2,282.2795,15280.3,15278.7,4329.6,0,2646.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.73ppm,H78 C38 O3 N1 ,Cer,38,0,2,Cer 38:0;2,Cer 18:0/20:0,596.5981,1344,664.7,0,0,1801.4,8270.9,9732.9,0,0,0,266.2831,-1.5,-1.5,0,0,0,284.2944,8272.4,9734.4,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.87ppm,H78 C40 O3 N1 ,Cer,40,2,2,Cer 40:2;2,Cer 18:2/22:0,620.5971,15546.9,35445.9,0,0,3229.1,43979.9,39134.5,3424.6,3553.9,0,262.253,38971.8,34550.2,3424.6,3553.9,0,280.2636,5008.1,4584.3,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.87ppm,H78 C40 O3 N1 ,Cer,40,2,2,Cer 40:2;2,Cer 18:1/22:1,620.5971,15546.9,35445.9,0,0,3229.1,62059.2,54607,17401.7,11096.4,0,264.2687,57839.8,48152.7,13371.2,11096.4,0,282.2794,4219.4,6454.4,4030.5,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.18ppm,H80 C40 O3 N1 ,Cer,40,1,2,Cer 40:1;2,Cer 18:1/22:0,622.6134,689890.6,832711.6,19788.7,21784.2,0,520065,571471.1,90509.4,105246.7,11050,264.2687,453388.4,501810.1,81984,91108.4,7742.3,282.2788,66676.6,69661,8525.4,14138.4,3307.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.49ppm,H82 C40 O3 N1 ,Cer,40,0,2,Cer 40:0;2,Cer 18:0/22:0,624.6292,25192.5,108188.1,0,0,7344.9,33831.4,32014.3,0,4888.6,0,266.2817,-1.6,-1.6,0,0,0,284.2946,33833,32015.9,0,4888.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.27ppm,H80 C42 O3 N1 ,Cer,42,3,2,Cer 42:3;2,Cer 18:2/24:1,646.6131,200153.3,272176.4,0,0,0,99417.4,70789,11681.9,5977.6,0,262.2527,87898.6,65622,11681.9,5977.6,0,280.264,11518.8,5167.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.27ppm,H80 C42 O3 N1 ,Cer,42,3,2,Cer 42:3;2,Cer 18:1/24:2,646.6131,200153.3,272176.4,0,0,0,471924.2,382704.4,322682.4,224050,551904.2,264.2686,424006,346231.6,294786.4,204388.7,505448.2,282.279,47918.2,36472.8,27896,19661.3,46456.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.35ppm,H82 C42 O3 N1 ,Cer,42,2,2,Cer 42:2;2,Cer 18:1/24:1,648.6291,1496103.5,1547675.6,357201.7,350770,62567.8,915493.9,974296.6,335958,328908,-1.6,264.2685,815105.4,850314.6,297342.8,287277.7,-1.6,282.2791,100388.5,123982,38615.2,41630.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.35ppm,H82 C42 O3 N1 ,Cer,42,2,2,Cer 42:2;2,Cer 18:2/24:0,648.6291,1496103.5,1547675.6,357201.7,350770,62567.8,194146.7,184001.4,0,21595.6,0,262.2532,172827.2,158069.6,0,7676.9,0,280.2632,21319.5,25931.8,0,13918.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.27ppm,H84 C42 O3 N1 ,Cer,42,1,2,Cer 42:1;2,Cer 18:0/24:1,650.6447,1325497.1,1610893.7,113043.2,112754.1,0,49015.3,46995.6,0,0,0,266.2824,-1.6,-1.6,0,0,0,284.2948,49016.9,46997.2,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.27ppm,H84 C42 O3 N1 ,Cer,42,1,2,Cer 42:1;2,Cer 18:1/24:0,650.6447,1325497.1,1610893.7,113043.2,112754.1,0,1048529.4,958540.4,234639.5,207335.6,28071.1,264.2687,915711.2,834739.9,203033.2,179947.5,15123.7,282.2791,132818.2,123800.5,31606.3,27388.1,12947.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,0.35ppm,H86 C42 O3 N1 ,Cer,42,0,2,Cer 42:0;2,Cer 18:0/24:0,652.6605,170194.9,294284.1,0,0,9900.2,63432.5,72657.1,2991.1,3377.5,3496.7,266.2817,222.2,1664,0,-1.6,0,284.2945,63210.3,70993.1,2991.1,3379.1,3496.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-1.95ppm,H84 C44 O3 N1 ,Cer,44,3,2,Cer 44:3;2,Cer 18:2/26:1,674.6433,0,8204.3,0,0,0,10227.3,8914.6,0,0,0,262.2529,10227.3,5332.8,0,0,0,280.264,0,3581.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,2.51ppm,H86 C44 O3 N1 ,Cer,44,2,2,Cer 44:2;2,Cer 18:1/26:1,676.6619,6719.6,12307.7,0,4069.6,25333,46019.2,43377.3,10761.4,10558.6,12958.6,264.269,31915.9,27648.2,6127.5,5826.4,5180.5,282.2791,14103.3,15729.2,4633.9,4732.2,7778.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,2.51ppm,H86 C44 O3 N1 ,Cer,44,2,2,Cer 44:2;2,Cer 18:2/26:0,676.6619,6719.6,12307.7,0,4069.6,25333,23115.8,19328.5,4131.4,10899.6,6561,262.2543,18715.6,12919.7,0,4936.1,0,280.2644,4400.2,6408.8,4131.4,5963.5,6561,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.43ppm,H88 C44 O3 N1 ,Cer,44,1,2,Cer 44:1;2,Cer 18:1/26:0,678.6756,36014.5,48006.3,0,0,0,149930.9,150858.7,22322.2,22878.9,12458.3,264.2691,134039.3,129045,19276.6,22878.9,12458.3,282.2798,15891.7,21813.7,3045.6,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-0.43ppm,H88 C44 O3 N1 ,Cer,44,1,2,Cer 44:1;2,Cer 20:1/24:0,678.6756,36014.5,48006.3,0,0,0,0,4334,9859.3,5060.2,0,292.301,0,4334,3609.4,5060.2,0,310.3097,0,0,6249.8,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
Cer2OHPosMS1MS2,-1.88ppm,H92 C46 O3 N1 ,Cer,46,1,2,Cer 46:1;2,Cer 18:1/28:0,706.7058,0,0,0,0,10298.9,169773.5,121811.6,177261.6,123582.2,413558.9,264.2685,159457.7,109717.5,168357.2,115743.4,388409.8,282.2787,10315.8,12094,8904.4,7838.8,25149.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,DAGPosMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAGPosMS1MS2,0.16ppm,H64 C31 O5 N1 ,DAG,28,0,None, DAG 28:0,DAG 14:0-14:0,530.478,19198.5,13724.1,0,7696.5,196949.6,0,3243.5,0,2368.9,4672.8,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2355,0,3243.5,0,2368.9,4672.8,14:00,245.2355,0,3243.5,0,2368.9,4672.8,
DAGPosMS1MS2,-0.26ppm,H66 C33 O5 N1 ,DAG,30,1,None, DAG 30:1,DAG 14:0-16:1,556.4934,2257.4,6235.9,0,0,14532.8,4280.9,0,3040.6,2577.8,3011.4,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2326,4280.9,0,0,0,3011.4,16:01,271.2528,0,0,3040.6,2577.8,0,
DAGPosMS1MS2,0.44ppm,H68 C33 O5 N1 ,DAG,30,0,None, DAG 30:0,DAG 16:0-14:0,558.5094,154209.9,96970.9,17900.2,23934.8,228626.6,25474.6,35095.2,15448.5,24643.6,40745.6,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2668,12689.9,18102.3,6551.2,12614.7,19432.1,14:00,245.236,12784.7,16992.9,8897.2,12028.9,21313.5,
DAGPosMS1MS2,-1.24ppm,H68 C35 O5 N1 ,DAG,32,2,None, DAG 32:2,DAG 16:1-16:1,582.5085,0,1937.4,0,0,5296.3,3022.9,2806.8,4646.9,8235.6,3760.2,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,271.2494,3022.9,2806.8,4646.9,8235.6,3760.2,16:01,271.2494,3022.9,2806.8,4646.9,8235.6,3760.2,
DAGPosMS1MS2,-1.24ppm,H68 C35 O5 N1 ,DAG,32,2,None, DAG 32:2,DAG 14:0-18:2,582.5085,0,1937.4,0,0,5296.3,0,4685.3,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2351,0,2507.9,0,0,0,18:02,297.2669,0,2177.4,0,0,0,
DAGPosMS1MS2,0.22ppm,H70 C35 O5 N1 ,DAG,32,1,None, DAG 32:1,DAG 16:0-16:1,584.525,12126.5,59831.5,3510.4,4067.4,46856.6,26017.7,26890.4,19605.1,27570.6,18019.6,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.266,10501.9,11193.2,6406.5,9702,5089.2,16:01,271.2513,15515.8,15697.2,13198.6,17868.6,12930.4,
DAGPosMS1MS2,0.22ppm,H70 C35 O5 N1 ,DAG,32,1,None, DAG 32:1,DAG 14:0-18:1,584.525,12126.5,59831.5,3510.4,4067.4,46856.6,8161.1,3664,7462.7,8398,3341.2,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2359,4350.7,0,3728.1,3593.3,3341.2,18:01,299.2826,3810.3,3664,3734.6,4804.7,0,
DAGPosMS1MS2,0.06ppm,H72 C35 O5 N1 ,DAG,32,0,None, DAG 32:0,DAG 14:0-18:0,586.5405,536420.3,746702.4,509030.3,462175.5,845223.2,7223.7,22323,6532.6,0,10440.5,None, None, None, None, None, None, None, None, None, None, None, None, 14:0,245.2348,3050.1,12476.7,3229.8,0,4403.6,18:00,301.2982,4173.6,9846.3,3302.7,0,6037,
DAGPosMS1MS2,0.06ppm,H72 C35 O5 N1 ,DAG,32,0,None, DAG 32:0,DAG 16:0-16:0,586.5405,536420.3,746702.4,509030.3,462175.5,845223.2,151123.3,233671.5,149795.8,127941.5,219974.5,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.267,151123.3,233671.5,149795.8,127941.5,219974.5,16:00,273.267,151123.3,233671.5,149795.8,127941.5,219974.5,
DAGPosMS1MS2,-0.42ppm,H70 C37 O5 N1 ,DAG,34,3,None, DAG 34:3,DAG 18:2-16:1,608.5246,5135.8,4294.5,18525,21351.7,0,30068.9,24002.8,66970,43961.8,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.2661,14743.9,12018.8,31824.7,19780,0,16:01,271.251,15325,11984,35145.3,24181.8,0,
DAGPosMS1MS2,-0.42ppm,H70 C37 O5 N1 ,DAG,34,3,None, DAG 34:3,DAG 16:0-18:3,608.5246,5135.8,4294.5,18525,21351.7,0,4847.5,7754.6,3371.9,9065.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2659,0,3431.6,0,4333.7,0,18:03,295.2505,4847.5,4323.1,3371.9,4731.7,0,
DAGPosMS1MS2,0.27ppm,H72 C37 O5 N1 ,DAG,34,2,None, DAG 34:2,DAG 18:1-16:1,610.5407,297763.2,429349.6,557578.7,603805.6,298950.4,38687.1,33265.7,67979.2,66043.4,10930.6,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2822,14936.5,16755,32224.7,31818.6,3302.5,16:01,271.2509,23750.6,16510.7,35754.5,34224.8,7628.1,
DAGPosMS1MS2,0.27ppm,H72 C37 O5 N1 ,DAG,34,2,None, DAG 34:2,DAG 18:2-16:0,610.5407,297763.2,429349.6,557578.7,603805.6,298950.4,180366.2,173930,208455.5,258007.7,98827.1,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.267,101610.8,96702.2,114077.8,142851.7,56119.6,16:00,273.2671,78755.5,77227.8,94377.7,115155.9,42707.5,
DAGPosMS1MS2,0.26ppm,H74 C37 O5 N1 ,DAG,34,1,None, DAG 34:1,DAG 18:0-16:1,612.5563,595957,912012,434357.9,533728.2,395598.5,1460.9,3037.8,4288.8,3301.8,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2956,0,3037.8,4288.8,3301.8,0,16:01,271.2544,1460.9,0,-1.6,-1.6,0,
DAGPosMS1MS2,0.26ppm,H74 C37 O5 N1 ,DAG,34,1,None, DAG 34:1,DAG 16:0-18:1,612.5563,595957,912012,434357.9,533728.2,395598.5,210686.6,201602.6,189735,188406.5,107090.8,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2668,95018.2,91681.2,86265.9,85764.6,52003.2,18:01,299.283,115668.5,109921.4,103469.2,102642,55087.5,
DAGPosMS1MS2,0.22ppm,H76 C37 O5 N1 ,DAG,34,0,None, DAG 34:0,DAG 16:0-18:0,614.5719,476999.1,726550.3,235882.2,262658.1,734526.2,161836.7,300948.2,134491.3,124578.2,226224.9,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.267,79557.8,148630.7,63827.6,56763.1,107602.5,18:00,301.2984,82278.9,152317.5,70663.7,67815.1,118622.4,
DAGPosMS1MS2,2.18ppm,H70 C39 O5 N1 ,DAG,36,5,None, DAG 36:5,DAG 18:2-18:3,632.5262,0,2284.4,4289.3,13029.8,34724.9,8648.8,9327.7,26968.9,26542.3,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.2671,3252.8,2937.9,6592.5,8886.5,0,18:03,295.2526,5395.9,6389.8,20376.4,17655.8,0,
DAGPosMS1MS2,-0.19ppm,H72 C39 O5 N1 ,DAG,36,4,None, DAG 36:4,DAG 18:1-18:3,634.5404,244627.9,344352.9,766813.1,733861.2,70602.8,25667.1,28026,50300.5,45309.4,379955.4,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.282,8148.8,12292.5,18899.6,16310.6,379955.4,18:03,295.2513,17518.3,15733.5,31401,28998.8,0,
DAGPosMS1MS2,-0.19ppm,H72 C39 O5 N1 ,DAG,36,4,None, DAG 36:4,DAG 16:0-20:4,634.5404,244627.9,344352.9,766813.1,733861.2,70602.8,62207.6,76272.6,42819.4,64472.9,48781.9,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2665,7024.2,6923.5,4210.7,7989.7,12252.9,20:04,321.2668,55183.3,69349.1,38608.7,56483.3,36529,
DAGPosMS1MS2,-0.19ppm,H72 C39 O5 N1 ,DAG,36,4,None, DAG 36:4,DAG 18:2-18:2,634.5404,244627.9,344352.9,766813.1,733861.2,70602.8,68248.4,78821.6,223486.6,202254.1,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.2667,68248.4,78821.6,223486.6,202254.1,0,18:02,297.2667,68248.4,78821.6,223486.6,202254.1,0,
DAGPosMS1MS2,0.21ppm,H74 C39 O5 N1 ,DAG,36,3,None, DAG 36:3,DAG 16:0-20:3,636.5563,544186.6,448603,1411424,1142067.5,10058.4,21384.8,17068.7,4519.6,17968.9,5189.3,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,273.2661,5056.9,4980.2,0,4020.3,0,20:03,323.2822,16327.9,12088.5,4519.6,13948.7,5189.3,
DAGPosMS1MS2,0.21ppm,H74 C39 O5 N1 ,DAG,36,3,None, DAG 36:3,DAG 18:0-18:3,636.5563,544186.6,448603,1411424,1142067.5,10058.4,0,0,0,979.2,18791.9,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.3006,0,0,0,0,18791.9,18:03,295.2493,0,0,0,979.2,0,
DAGPosMS1MS2,0.21ppm,H74 C39 O5 N1 ,DAG,36,3,None, DAG 36:3,DAG 18:2-18:1,636.5563,544186.6,448603,1411424,1142067.5,10058.4,300765.9,216677.2,702645.1,568856.2,18866.6,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.267,164142.6,114856.3,360471.1,290505.4,18866.6,18:01,299.2832,136623.3,101820.9,342174,278350.8,-1.6,
DAGPosMS1MS2,0.36ppm,H76 C39 O5 N1 ,DAG,36,2,None, DAG 36:2,DAG 18:1-18:1,638.572,309983.8,368117.2,787080.4,716570.7,171611.8,229122.5,175582.5,529635,447599.2,30986.3,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2826,229122.5,175582.5,529635,447599.2,30986.3,18:01,299.2826,229122.5,175582.5,529635,447599.2,30986.3,
DAGPosMS1MS2,0.36ppm,H76 C39 O5 N1 ,DAG,36,2,None, DAG 36:2,DAG 18:0-18:2,638.572,309983.8,368117.2,787080.4,716570.7,171611.8,26311.9,45614.5,37889.7,69562.6,55286.8,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.2983,18948.9,28798.1,34158.1,48142.5,24323.1,18:02,297.2679,7363,16816.5,3731.6,21420.2,30963.7,
DAGPosMS1MS2,0.41ppm,H78 C39 O5 N1 ,DAG,36,1,None, DAG 36:1,DAG 18:1-18:0,640.5877,1227831.7,2676965.4,470474,367084.8,607524,23127.9,35503.2,37317.3,30682.1,29530.7,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,299.2846,-1.6,11000.4,-1.6,-1.6,12365.4,18:00,301.2982,23129.5,24502.8,37318.9,30683.7,17165.4,
DAGPosMS1MS2,4.43ppm,H80 C39 O5 N1 ,DAG,36,0,None, DAG 36:0,DAG 18:0-18:0,642.6059,213610.3,357171.8,6890,6618.4,475660.6,106032.9,188384.8,51986.3,61266.2,101077.2,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,301.3012,106032.9,188384.8,51986.3,61266.2,101077.2,18:00,301.3012,106032.9,188384.8,51986.3,61266.2,101077.2,
DAGPosMS1MS2,-0.57ppm,H72 C41 O5 N1 ,DAG,38,6,None, DAG 38:6,DAG 18:2-20:4,658.5401,18854,18929.6,293600.6,157449.8,2842.2,35941.5,35224.2,145401.1,112041.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,297.266,5781.3,4932.6,16548.5,11728.3,0,20:04,321.2665,30160.2,30291.6,128852.6,100313.1,0,
