QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE504_NEG_01.raw,PREC:mE504_NEG_02.raw,PREC:mE504_NEG_03.raw,PREC:mE504_NEG_04.raw,PREC:mE504_NEG_05.raw,SUMFA:mE504_NEG_01.raw,SUMFA:mE504_NEG_02.raw,SUMFA:mE504_NEG_03.raw,SUMFA:mE504_NEG_04.raw,SUMFA:mE504_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE504_NEG_01.raw,FA1INTENS:mE504_NEG_02.raw,FA1INTENS:mE504_NEG_03.raw,FA1INTENS:mE504_NEG_04.raw,FA1INTENS:mE504_NEG_05.raw,MASSFRAG1,FRAG1:mE504_NEG_01.raw,FRAG1:mE504_NEG_02.raw,FRAG1:mE504_NEG_03.raw,FRAG1:mE504_NEG_04.raw,FRAG1:mE504_NEG_05.raw,MASSFRAG2,FRAG2:mE504_NEG_01.raw,FRAG2:mE504_NEG_02.raw,FRAG2:mE504_NEG_03.raw,FRAG2:mE504_NEG_04.raw,FRAG2:mE504_NEG_05.raw,MASSNLS,NLS:mE504_NEG_01.raw,NLS:mE504_NEG_02.raw,NLS:mE504_NEG_03.raw,NLS:mE504_NEG_04.raw,NLS:mE504_NEG_05.raw,NEG
ISLPENegMS2,H37 C18 P1 O7 N1 ,1.6,LPE,13,0,isLPE 13:0,isLPE 13:0,410.232,3265281.6,5029218.1,5575079.7,5023070.2,9700166.6,9637012.5,6571223.4,5231451.8,3672200.9,6540357,13:00,213.1856,9637012.5,6571223.4,5231451.8,3672200.9,6540357,196.0374,810872.8,566372.8,457665.2,299205.7,553096.5,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPENegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPENegMS2O,H37 C18 P1 O7 N1 ,1.6,LPE,13,0,isLPEO- 13:0,isLPEO- 13:0,410.232,3265281.6,5029218.1,5575079.7,5023070.2,9700166.6,9637012.5,6571223.4,5231451.8,3672200.9,6540357,13:00,213.1856,9637012.5,6571223.4,5231451.8,3672200.9,6540357,196.0374,810872.8,566372.8,457665.2,299205.7,553096.5,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPGNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPGNegMS2,H44 C23 O9 P1 ,1.7,LPG,17,1,isLPG 17:1,isLPG 17:1,495.2737,4133935.3,6089558.8,5638195.4,5147164.8,9190685.5,8196480.7,5181519.6,3499739.3,2681132.5,4638420.7,17:01,267.233,8196480.7,5181519.6,3499739.3,2681132.5,4638420.7,,1691342.7,1038590.4,734524.9,546712.1,939324.2,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPGNegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPGNegMS2O,H44 C23 O9 P1 ,1.7,LPG,17,1,isLPGO- 17:1,isLPGO- 17:1,495.2737,4133935.3,6089558.8,5638195.4,5147164.8,9190685.5,8196480.7,5181519.6,3499739.3,2681132.5,4638420.7,17:01,267.233,8196480.7,5181519.6,3499739.3,2681132.5,4638420.7,,1691342.7,1038590.4,734524.9,546712.1,939324.2,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPINegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPINegMS2,H42 C22 O12 P1 ,1.7,LPI,13,0,isLPI 13:0,isLPI 13:0,529.2428,2470863.6,3972072.3,3800485.5,3239428.7,5271401.3,1969497.3,1558173.8,1036355.1,778640.3,1151817.3,13:00,213.1856,1969497.3,1558173.8,1036355.1,778640.3,1151817.3,152.9949,1335361.5,1032631.9,706979.2,510605.8,808015.6,241.0117,787288.5,629611.9,430992,322580.9,481646.3,None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPINegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPINegMS2O,H42 C22 O12 P1 ,1.7,LPI,13,0,isLPIO- 13:0,isLPIO- 13:0,529.2428,2470863.6,3972072.3,3800485.5,3239428.7,5271401.3,1969497.3,1558173.8,1036355.1,778640.3,1151817.3,13:00,213.1856,1969497.3,1558173.8,1036355.1,778640.3,1151817.3,152.9949,1335361.5,1032631.9,706979.2,510605.8,808015.6,241.0117,787288.5,629611.9,430992,322580.9,481646.3,None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPSNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPSNegMS2,H43 C23 P1 O9 N1 ,1.5,LPS,17,1,isLPS 17:1,isLPS 17:1,508.2688,1660285.6,3128717.7,3197312.7,2888762.3,4330667.6,86350.9,86931.6,56896.8,50209.4,65721.5,17:01,267.2329,86350.9,86931.6,56896.8,50209.4,65721.5,,3639942.3,3535673.3,2566408.4,2003297.3,2713976,None, None, None, None, None, None,87.0326,1552831.1,1522860.5,1104591.5,837431.7,1135778.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPSNegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPSNegMS2O,H43 C23 P1 O9 N1 ,1.5,LPS,17,1,isLPSO- 17:1,isLPSO- 17:1,508.2688,1660285.6,3128717.7,3197312.7,2888762.3,4330667.6,86350.9,86931.6,56896.8,50209.4,65721.5,17:01,267.2329,86350.9,86931.6,56896.8,50209.4,65721.5,,3639942.3,3535673.3,2566408.4,2003297.3,2713976,None, None, None, None, None, None,87.0326,1552831.1,1522860.5,1104591.5,837431.7,1135778.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPAONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPAONegMS2,H34 C21 O6 P1 ,3.7,LPAO-,18,5,LPAO- 18:5 ,LPAO- 18:5 ,413.2114,326.3,0,0,0,721.2,326.3,0,0,0,721.2,None, None, None, None, None, None, None,152.995,46445.4,42017.3,2454.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H36 C21 O6 P1 ,1.8,LPAO-,18,4,LPAO- 18:4 ,LPAO- 18:4 ,415.2262,2217.5,0,790.7,954.1,533.8,2217.5,0,790.7,954.1,533.8,None, None, None, None, None, None, None,152.9948,1197562.8,1730362.8,2069.2,1885.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H38 C21 O6 P1 ,3.8,LPAO-,18,3,LPAO- 18:3 ,LPAO- 18:3 ,417.2427,10371.1,16715.6,2421.9,1982.9,1810,10371.1,16715.6,2421.9,1982.9,1810,None, None, None, None, None, None, None,152.9949,466256.8,758441.3,2136.5,3217.4,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H40 C21 O6 P1 ,2.4,LPAO-,18,2,LPAO- 18:2 ,LPAO- 18:2 ,419.2578,76297.8,90810.9,26453.1,22204.2,1331,76297.8,90810.9,26453.1,22204.2,1331,None, None, None, None, None, None, None,152.9948,151734.4,150897.4,2821.5,1858.7,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H42 C21 O6 P1 ,2.2,LPAO-,18,1,LPAO- 18:1 ,LPAO- 18:1 ,421.2734,2285.8,1279.9,8294.4,8426.6,7053.2,2285.8,1279.9,8294.4,8426.6,7053.2,None, None, None, None, None, None, None,152.9949,208330.3,201231.3,126557.4,98044.2,50719.3,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H44 C21 O6 P1 ,3.4,LPAO-,18,0,LPAO- 18:0 ,LPAO- 18:0 ,423.2895,675.9,6117.3,2305.4,9578.4,34536.3,675.9,6117.3,2305.4,9578.4,34536.3,None, None, None, None, None, None, None,152.9949,3024483.4,4574583.8,3661032.1,2910231.9,1519745.1,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H36 C23 O6 P1 ,3.4,LPAO-,20,6,LPAO- 20:6 ,LPAO- 20:6 ,439.227,3869.7,5855.3,0,0,0,3869.7,5855.3,0,0,0,None, None, None, None, None, None, None,152.9949,-1.3,3989,-1.3,-1.3,8248.8,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H38 C23 O6 P1 ,5.4,LPAO-,20,5,LPAO- 20:5 ,LPAO- 20:5 ,441.2435,1252.6,296,982.5,485.2,0,1252.6,296,982.5,485.2,0,None, None, None, None, None, None, None,152.9949,14861.8,20095.1,-1.3,30,-1.3,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H40 C23 O6 P1 ,3.5,LPAO-,20,4,LPAO- 20:4 ,LPAO- 20:4 ,443.2583,3067,2009,5856,11079.7,293.8,3067,2009,5856,11079.7,293.8,None, None, None, None, None, None, None,152.9951,76703.9,59706.9,2262,2641.7,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H42 C23 O6 P1 ,1.7,LPAO-,20,3,LPAO- 20:3 ,LPAO- 20:3 ,445.2732,2200.9,187.6,158.8,1196.8,0,2200.9,187.6,158.8,1196.8,0,None, None, None, None, None, None, None,152.9949,56226.3,65758.6,41687.3,22528.8,26918,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H44 C23 O6 P1 ,1.6,LPAO-,20,2,LPAO- 20:2 ,LPAO- 20:2 ,447.2888,13277.2,4336.1,2802.6,3540.6,0,13277.2,4336.1,2802.6,3540.6,0,None, None, None, None, None, None, None,152.995,36874,32410.3,4729,2312.6,3968.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H46 C23 O6 P1 ,2.4,LPAO-,20,1,LPAO- 20:1 ,LPAO- 20:1 ,449.3048,1822.2,1437.4,1575.4,1640.4,645.6,1822.2,1437.4,1575.4,1640.4,645.6,None, None, None, None, None, None, None,152.995,64074.2,39824.8,14912.7,9327,3923.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H48 C23 O6 P1 ,-0.4,LPAO-,20,0,LPAO- 20:0 ,LPAO- 20:0 ,451.3192,1060.5,331.7,0,483.2,0,1060.5,331.7,0,483.2,0,None, None, None, None, None, None, None,152.9949,43277.4,39055.9,18098.9,11283.6,4188.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H40 C25 O6 P1 ,5.2,LPAO-,22,6,LPAO- 22:6 ,LPAO- 22:6 ,467.2592,6.6,0,0,0,0,6.6,0,0,0,0,None, None, None, None, None, None, None,152.9949,105881.7,43636.3,60979.6,55624.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H44 C25 O6 P1 ,-0.3,LPAO-,22,4,LPAO- 22:4 ,LPAO- 22:4 ,471.288,0,0,529.6,0,0,0,0,529.6,0,0,None, None, None, None, None, None, None,152.995,15290.7,11042.3,6115.9,4549.2,2151,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H46 C25 O6 P1 ,4.1,LPAO-,22,3,LPAO- 22:3 ,LPAO- 22:3 ,473.3057,0,881.1,455,1310.9,3683.9,0,881.1,455,1310.9,3683.9,None, None, None, None, None, None, None,152.9949,39113.9,25430.3,12310,7979.9,2375.9,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H48 C25 O6 P1 ,4.2,LPAO-,22,2,LPAO- 22:2 ,LPAO- 22:2 ,475.3214,4633.6,4806.3,984.5,2594.3,22128.1,4633.6,4806.3,984.5,2594.3,22128.1,None, None, None, None, None, None, None,152.9949,18774.2,12873,5061.8,4205.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H50 C25 O6 P1 ,3.5,LPAO-,22,1,LPAO- 22:1 ,LPAO- 22:1 ,477.3367,16851.2,23680.4,993.7,0,2581.5,16851.2,23680.4,993.7,0,2581.5,None, None, None, None, None, None, None,152.995,9324.9,6256.3,2834.8,-1.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H46 C27 O6 P1 ,2.5,LPAO-,24,5,LPAO- 24:5 ,LPAO- 24:5 ,497.305,250.5,0,0,0,0,250.5,0,0,0,0,None, None, None, None, None, None, None,152.9949,-1.4,3509.3,-1.4,-1.4,-1.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H48 C27 O6 P1 ,2.2,LPAO-,24,4,LPAO- 24:4 ,LPAO- 24:4 ,499.3205,1280,0,1747.2,1743,0,1280,0,1747.2,1743,0,None, None, None, None, None, None, None,152.9951,14172.3,14566.5,8071.2,7590.1,1981.6,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H50 C27 O6 P1 ,2.4,LPAO-,24,3,LPAO- 24:3 ,LPAO- 24:3 ,501.3362,1302.8,0,997.2,696.7,0,1302.8,0,997.2,696.7,0,None, None, None, None, None, None, None,152.9951,6030.1,5700,4163.3,3443,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H52 C27 O6 P1 ,-0.1,LPAO-,24,2,LPAO- 24:2 ,LPAO- 24:2 ,503.3506,1802.9,0,553.6,0,0,1802.9,0,553.6,0,0,None, None, None, None, None, None, None,152.9949,19138.4,31631.5,28969.6,19794.6,13032.3,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H56 C27 O6 P1 ,-1.9,LPAO-,24,0,LPAO- 24:0 ,LPAO- 24:0 ,507.381,0,298.5,0,0,0,0,298.5,0,0,0,None, None, None, None, None, None, None,152.9949,56266.4,54082.8,46458.2,32930.4,12347.1,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPANegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPANegMS2,H36 C19 O7 P1 ,2.4,LPA,16,1,LPA 16:1,LPA 16:1,407.2214,20353.2,14629.6,46540,61173,6416.2,2422.7,2155,7280.4,2522.7,0,16:01,253.2169,2422.7,2155,7280.4,2522.7,0,,21858.1,-1.3,46132.7,45301.7,2005.8,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H38 C19 O7 P1 ,1.7,LPA,16,0,LPA 16:0,LPA 16:0,409.2368,707839.1,740018.9,1354172.6,1443969.6,2812.6,123326.6,85744.9,58538.3,53767.2,24155,16:00,255.2329,123326.6,85744.9,58538.3,53767.2,24155,,1946690.8,1108123.9,1290135.8,1085092.9,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H36 C21 O7 P1 ,-2.1,LPA,18,3,LPA 18:3,LPA 18:3,431.2195,29430.8,23290.7,69966.1,48797.8,49812,0,0,1958.2,0,0,18:03,277.2193,0,0,1958.2,0,0,,236854.3,150939.1,78258.3,44037.7,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H38 C21 O7 P1 ,1.7,LPA,18,2,LPA 18:2,LPA 18:2,433.2368,117437.9,150755.2,549284,644337.2,2270.4,9227.3,4422.3,16097.2,12872.5,0,18:02,279.2329,9227.3,4422.3,16097.2,12872.5,0,,391798.1,278694.3,550581,488061.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H40 C21 O7 P1 ,1.6,LPA,18,1,LPA 18:1,LPA 18:1,435.2524,314948.3,134947.7,807495.4,874263.5,129410.6,18298.6,13953.9,19971.5,14852.2,0,18:01,281.2489,18298.6,13953.9,19971.5,14852.2,0,,400630.2,256858,370369.8,319784.4,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H42 C21 O7 P1 ,1.2,LPA,18,0,LPA 18:0,LPA 18:0,437.2679,505937.1,477053.9,619670.3,555202.3,714.1,138115.9,106717,38667.7,45334.2,33336.7,18:00,283.2643,138115.9,106717,38667.7,45334.2,33336.7,,1417370.9,675269.3,609515.4,427429.4,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H38 C23 O7 P1 ,1.4,LPA,20,4,LPA 20:4,LPA 20:4,457.2367,48034.8,61555.5,315312,324870,0,0,2481.8,3301.2,2408.5,0,20:04,303.2331,0,2481.8,3301.2,2408.5,0,,200147.2,132214.3,374220.7,280393,2124.5,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPEONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPEONegMS2,H41 C19 N1 O6 P1 ,-2.7,LPEO-,14,0,LPEO- 14:0,LPEO- 14:0,410.2666,0,458,0,420.5,0,0,458,0,420.5,0,None, None, None, None, None, None, None,196.0374,810872.8,566372.8,457665.2,299205.7,553096.5,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H39 C21 N1 O6 P1 ,-2,LPEO-,16,3,LPEO- 16:3,LPEO- 16:3,432.2512,3857.2,3658.4,0,0,342.9,3857.2,3658.4,0,0,342.9,None, None, None, None, None, None, None,196.0375,181232.3,76588.5,63821.5,30115.7,110484.7,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H41 C21 N1 O6 P1 ,0.3,LPEO-,16,2,LPEO- 16:2,LPEO- 16:2,434.2678,1971.3,935.2,0,1853.8,0,1971.3,935.2,0,1853.8,0,None, None, None, None, None, None, None,196.0378,3281.7,2116.4,0,0,1722.9,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H43 C21 N1 O6 P1 ,1.8,LPEO-,16,1,LPEO- 16:1,LPEO- 16:1,436.2841,16506.8,15772.5,10892.1,32764.5,1158.8,16506.8,15772.5,10892.1,32764.5,1158.8,None, None, None, None, None, None, None,196.0373,19830.6,15679.4,5653.4,5629.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H37 C23 N1 O6 P1 ,4.4,LPEO-,18,6,LPEO- 18:6,LPEO- 18:6,454.2384,0,5319.2,6229.2,6793.3,13325.2,0,5319.2,6229.2,6793.3,13325.2,None, None, None, None, None, None, None,196.0377,-1.3,-1.3,0,-1.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H41 C23 N1 O6 P1 ,-4.7,LPEO-,18,4,LPEO- 18:4,LPEO- 18:4,458.2655,859.4,0,0,0,0,859.4,0,0,0,0,None, None, None, None, None, None, None,196.0377,12542.1,2746.2,0,2636.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H43 C23 N1 O6 P1 ,-1.5,LPEO-,18,3,LPEO- 18:3,LPEO- 18:3,460.2827,606.9,483,0,0,0,606.9,483,0,0,0,None, None, None, None, None, None, None,196.0376,2946.8,0,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H45 C23 N1 O6 P1 ,2,LPEO-,18,2,LPEO- 18:2,LPEO- 18:2,462.2999,6737.2,9291.3,0,1060.6,0,6737.2,9291.3,0,1060.6,0,None, None, None, None, None, None, None,196.0374,9935.6,4388.9,2456.3,2947,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H47 C23 N1 O6 P1 ,1.6,LPEO-,18,1,LPEO- 18:1,LPEO- 18:1,464.3154,17194.2,30931.9,2725.3,7057.5,532.1,17194.2,30931.9,2725.3,7057.5,532.1,None, None, None, None, None, None, None,196.0373,15953.4,8651,2594.9,3563.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H49 C23 N1 O6 P1 ,1,LPEO-,18,0,LPEO- 18:0,LPEO- 18:0,466.3307,341.5,-1.3,0,0,0,341.5,-1.3,0,0,0,None, None, None, None, None, None, None,196.0366,2564.2,0,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H39 C25 N1 O6 P1 ,5.7,LPEO-,20,7,LPEO- 20:7,LPEO- 20:7,480.2548,0,0,0,428,311.2,0,0,0,428,311.2,None, None, None, None, None, None, None,196.0375,165970.1,138950.4,63059.2,83405.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H49 C25 N1 O6 P1 ,0.6,LPEO-,20,2,LPEO- 20:2,LPEO- 20:2,490.3306,0,0,418.4,0,0,0,0,418.4,0,0,None, None, None, None, None, None, None,196.0374,37736,25306.5,24046.6,13800.4,40703.8,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H51 C25 N1 O6 P1 ,-1.5,LPEO-,20,1,LPEO- 20:1,LPEO- 20:1,492.3452,3783.5,3802,2385.2,778.2,3760.4,3783.5,3802,2385.2,778.2,3760.4,None, None, None, None, None, None, None,196.0374,17498.9,9708.8,8026.7,8251.2,10857.7,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H53 C25 N1 O6 P1 ,1.3,LPEO-,20,0,LPEO- 20:0,LPEO- 20:0,494.3622,-1.4,-1.4,0,0,0,-1.4,-1.4,0,0,0,None, None, None, None, None, None, None,196.0374,11761.7,14797.1,11202.6,5219.5,25614.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H45 C27 N1 O6 P1 ,1.9,LPEO-,22,6,LPEO- 22:6,LPEO- 22:6,510.3,0,0,0,638.8,0,0,0,0,638.8,0,None, None, None, None, None, None, None,196.0376,-1.4,-1.4,-1.4,-1.4,-1.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H49 C27 N1 O6 P1 ,-0.9,LPEO-,22,4,LPEO- 22:4,LPEO- 22:4,514.3298,1050.3,0,0,0,0,1050.3,0,0,0,0,None, None, None, None, None, None, None,196.0371,5371.8,3409.6,0,2889.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H55 C27 N1 O6 P1 ,-0.8,LPEO-,22,1,LPEO- 22:1,LPEO- 22:1,520.3768,5244.9,496.5,0,580.9,5628.1,5244.9,496.5,0,580.9,5628.1,None, None, None, None, None, None, None,196.0371,2100.9,2647.4,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H49 C29 N1 O6 P1 ,-0.5,LPEO-,24,6,LPEO- 24:6,LPEO- 24:6,538.33,0,0,0,688.6,436.9,0,0,0,688.6,436.9,None, None, None, None, None, None, None,196.0376,10924.5,7046.7,3971.9,2697.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H53 C29 N1 O6 P1 ,3.1,LPEO-,24,4,LPEO- 24:4,LPEO- 24:4,542.3633,416.9,0,0,0,0,416.9,0,0,0,0,None, None, None, None, None, None, None,196.0372,5246.9,3657,0,2335.5,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H59 C29 N1 O6 P1 ,2.4,LPEO-,24,1,LPEO- 24:1,LPEO- 24:1,548.4099,9580,0,0,0,0,9580,0,0,0,0,None, None, None, None, None, None, None,196.0374,18109.9,9157.2,3808.7,2511.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H61 C29 N1 O6 P1 ,-5.4,LPEO-,24,0,LPEO- 24:0,LPEO- 24:0,550.4212,0,0,6058.7,1364.1,492,0,0,6058.7,1364.1,492,None, None, None, None, None, None, None,196.0376,56745.2,41217.9,26383.2,17874.9,0,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPENegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
