mol%,HCC202 cells,HCC202 cells,SUM149 cells,SUM149 cells,CAL51 cells,CAL51 cells,HCC38 cells,HCC38 cells,MDA MB 157  cells,MDA MB 157  cells,HCC202 CM,HCC202 CM,SUM149 CM,SUM149 CM,CAL51 CM,CAL51 CM,HCC38 CM,HCC38 CM,MDA MB 157  CM,MDA MB 157  CM
LPA 16:1,0,0,0,0,0.003328923,0.003174231,0,0,0.001077743,0.001409045,0,0,0,0,0.00385117,0,0,0,0,0
LPA 16:0,0.085253267,0.081431096,0.012552585,0.011819565,0.005227315,0.004785363,0.004024618,0.003582613,0.002396313,0.002183604,0.054337984,0.065448735,0,0,0,0,0,0,0.004405468,0.004664583
LPA 18:1,0.113678939,0.112085719,0.081775558,0.071598721,0.009694393,0.010436162,0.006669338,0.006959136,0.009818896,0.008971798,0.079200985,0.097351575,0,0,0,0,0,0,0,0
LPA 18:0,0.395559439,0.404287957,0.055561618,0.056412259,0.001611708,0.001333349,0.002429493,0.002954639,0.001933888,0.001931053,0.107424223,0.126217685,0.005137844,0.015084879,0.004573539,0.00353483,0,0.001340006,0.00450609,0.004446646
LPI O-14:0,0,0,0,0,0,0,0,0,0,0,0,0,0.007349332,0.017373974,0.026883719,0.034653149,0.021422048,0.028760231,0,0.001392589
LPI O-16:0,0,0,0,0,0.002508091,0.002364362,0.005035282,0.001821749,0,0.001430476,0,0,0,0,0,0,0,0,0,0
LPI O-18:1,0,0,0,0,0,0,0.001888816,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:0,0,0,0,0,0,0,0.005356871,0.005546988,0,0,0,0,0,0,0,0,0,0,0,0
LPI 16:1,0,0,0,0,0,0,0,0,0.046770888,0.047863106,0,0,0,0,0,0,0,0,0,0
LPI 16:0,0.041168623,0.034954569,0.043968788,0.041128851,0.029666936,0.028806645,0.013256206,0.013955275,0.037233267,0.038425864,0,0,0,0,0,0,0,0,0.029170027,0.028863389
LPI 18:2,0,0,0,0,0,0,0,0,0.026814804,0.027302351,0,0,0,0,0,0,0,0,0,0
LPI 18:1,0.093902093,0.089199854,0.126115357,0.1291272,0.075791268,0.074513731,0.039690005,0.040349853,0.110528015,0.110429204,0.031589013,0,0.048937376,0.1241192,0.135030572,0.105917319,0,0,0.02888209,0.027108673
LPI 18:0,0.205430249,0.186331154,0.590825828,0.591615685,0.162396487,0.162243437,0.376744241,0.389808476,0.232947173,0.212971009,0.062306697,0,0.095323089,0.165005609,0.058389477,0,0.031977546,0.065728958,0.132761725,0.129502985
LPI 20:4,0,0.003086395,0.022235165,0.01997202,0.023973188,0.024172516,0.036487072,0.036565125,0.097915754,0.09614889,0,0,0,0,0,0,0,0,0.00832529,0.006407976
LPI 22:6,0,0,0,0,0,0,0,0,0.012156133,0.011972956,0,0,0,0,0,0,0,0,0,0
LPI 22:5,0,0,0,0,0,0,0.025136621,0.009529542,0.006145933,0.006002499,0,0,0,0,0,0,0,0,0,0
LPI 22:4,0,0,0,0,0,0,0.006223577,0,0,0,0,0,0,0,0,0,0,0,0,0
