mol%,HCC202 cells,HCC202 cells,SUM149 cells,SUM149 cells,CAL51 cells,CAL51 cells,HCC38 cells,HCC38 cells,MDA MB 157  cells,MDA MB 157  cells,HCC202 CM,HCC202 CM,SUM149 CM,SUM149 CM,CAL51 CM,CAL51 CM,HCC38 CM,HCC38 CM,MDA MB 157  CM,MDA MB 157  CM
LPS O-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS O-18:2,0,0,0,0,0,0,0,0.001474766,0,0,0,0,0,0,0,0,0,0,0.001112995,0.007077494
LPS 18:1,0.022409551,0.022531213,0.027600477,0.02757586,0.025116853,0.024695075,0.009708925,0.010359929,0.015005418,0.014497766,0,0,0,0,0,0,0,0,0.017373688,0.018777212
LPS 18:0,0.033936448,0.034677015,0.03744645,0.037094793,0.025293783,0.025538636,0.021861841,0.022891124,0.034881006,0.034436182,0.014089828,0.016677721,0,0,0,0,0,0,0.115910554,0.118359542
PA 28:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 30:1,0,0,0,0,0.007526887,0.007814485,0.013316218,0,0,0.0053419,0,0,0,0,0,0,0,0,0,0
PA 30:0,0,0,0.001184406,0,0.011029642,0.010942584,0.00566989,0.005793268,0.003219783,0.002839987,0,0,0,0,0,0,0,0,0.002059763,0.00196967
PA 32:2,0,0,0.001104772,0.005350889,0.014228079,0.01366195,0,0,0.003473949,0.004958391,0.002258039,0.002880862,0,0,0,0,0,0,0.001753451,0.001415096
PA 32:1,0.037332946,0.036062356,0.063282852,0.064905788,0.037902605,0.037844295,0.058574637,0.019152103,0.020723642,0.021847171,0.012307418,0.013298551,0,0,0,0,0,0,0.01428445,0.013772302
PA 32:0,0.009723184,0.011127254,0.005194766,0.007511216,0.012443804,0.012089244,0.01959244,0.020143825,0.009479242,0.010200321,0.004776654,0.005285373,0,0,0,0,0,0,0.003607045,0.003334095
PA 34:2,0.060544564,0.06100275,0.097612229,0.094841748,0.038672838,0.036892612,0.013855121,0.014012457,0.012148667,0.013361601,0.02646636,0.029775602,0,0,0,0,0,0,0.007700943,0.007308223
PA 34:1,0.094471652,0.092445928,0.117461891,0.11775209,0.040688963,0.040657631,0.060856986,0.062613016,0.024169707,0.024796226,0.049090059,0.052883439,0.003883302,0.023024411,0.009891995,0.008853774,0.027982401,0.02633361,0.020487414,0.019758517
PA 34:0,0,0.001171935,0,0,0,0,0.011066635,0.012836943,0,0,0,0,0,0,0,0,0,0,0,0
PA 36:4,0.005451531,0.004541678,0,0,0.006007612,0.005618328,0.00800052,0.007378902,0,0,0.00726715,0.009106489,0,0,0,0,0,0,0,0
PA 36:3,0.016786372,0.013420097,0.012939935,0.006971215,0.013701554,0.013516633,0.007620149,0.007223312,0,0,0.01605043,0.016725686,0,0,0,0,0,0,0.002040599,0.001878346
PA 36:2,0.089839858,0.085420752,0.123488027,0.119996873,0.037595306,0.034992297,0.043684311,0.044430387,0,0,0.049929057,0.054367983,0.001683125,0.006268737,0.002004377,0.004726688,0.029421921,0.03431839,0.007221452,0.006712897
PA 36:1,0.071799046,0.067871467,0.032417255,0.033520293,0.008038261,0.007762225,0.039581671,0.041685312,0.005991355,0.005919826,0.047565625,0.049808553,0.022849238,0.039688058,0.028828161,0.030893898,0.036274588,0.033687233,0,0
PA 38:6,0,0,0,0,0,0,0.004495408,0.001900511,0,0,0.00328111,0,0,0,0,0,0,0,0,0
PA 38:5,0,0,0,0,0.003752203,0.002848055,0,0.005149669,0,0,0.012484711,0.014161932,0,0,0,0,0,0,0,0
PA 38:4,0,0,0,0,0,0,0.019036556,0.021223651,0,0,0.04504717,0.048549829,0,0,0,0,0,0,0.003167804,0.003259491
PA 38:3,0.028527432,0.031901292,0,0.001254185,0.008917747,0.007436524,0,0,0,0,0.02157873,0.022902132,0,0,0,0,0,0,0.001310437,0
PA 38:2,0,0,0,0,0,0,0,0,0,0,0.001962236,0.001540397,0,0,0,0,0,0,0,0
PA 40:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 40:7,0,0,0,0,0,0,0,0,0,0,0,0.004775777,0,0,0,0,0,0,0,0
PA 40:6,0,0.027240731,0,0,0,0,0,0,0,0,0.024768122,0.027533717,0,0,0,0,0,0,0,0
PA 40:5,0.010459127,0.007497504,0.002555983,0,0,0,0,0,0,0,0,0.014510774,0,0,0,0,0,0,0,0
PA 40:4,0,0,0,0,0,0,0.023410922,0.009049765,0,0,0.001520148,0,0,0,0,0,0.003577149,0.001966221,0,0
PA 42:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-32:1,0,0,0,0,0.00177672,0.001294713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-34:2,0,0,0,0,0.001289715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-34:1,0,0,0,0,0.003083422,0.002727722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-32:0,0.011610443,0.011111735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-36:4,0.002809246,0.003212754,0.010245239,0.010711107,0.01825598,0.02002564,0.012782805,0.014085281,0.013272843,0.013327113,0,0,0,0,0,0,0,0,0.018224749,0.016896578
PI O-38:6,0.017731538,0.016954228,0.008417404,0.008094056,0.005801691,0.006507236,0.003972236,0.004221369,0.010324506,0.011079708,0.020499654,0,0,0,0,0,0,0,0.005931031,0.015844928
PI O-38:5,0.051563181,0.04976018,0.035990086,0.034462618,0.042826147,0.045076486,0.041918912,0.046691044,0.020055563,0.019543089,0.070072154,0,0,0,0,0.050027959,0.006690476,0.022078155,0.03523007,0.028855719
PI O-38:4,0.016186465,0.014524815,0.032078402,0.030624682,0.051927119,0.055889495,0.107623108,0.046995717,0.011690807,0.011407488,0.020484328,0,0.003400547,0,0,0,0.007829616,0.016365224,0.017085464,0.014535989
PI O-38:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 28:0,0,0.001619993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 30:1,0.013292459,0.012481573,0.015821976,0.015694422,0.003393134,0.00340714,0,0,0.011929928,0.012935469,0.007606077,0,0,0,0,0,0,0,0.011717835,0.011872686
PI 30:0,0.084121713,0.08419593,0,0,0,0,0,0.002803703,0.006731354,0.007006763,0.076378255,0,0,0,0,0,0,0,0.009118526,0.00863382
PI 32:1,0.525537339,0.503494568,0.297807664,0.291278315,0.088136483,0.093229183,0.030783396,0.035413033,0.413021293,0.451753937,0.480987878,0,0.11859211,0.164149137,0.18587107,0.196964096,0.038644522,0.029475874,0.493215073,0.450412109
PI 32:0,0.728178441,0.703664783,0,0,0,0,0.046959028,0.051016731,0,0,0.939436154,0,0,0,0,0,0,0,0.107953527,0
PI 34:2,0.469830619,0.451924149,0.705056942,0.686961603,0.347093111,0.369273273,0.08242465,0.093148849,0.565474306,0.614688442,0.423921836,0,0.22593493,0.302101817,0.534267651,0.541807706,0.138292207,0,0.574067881,0.516599123
PI 34:1,2.132466314,2.064112505,0.932362539,0.913798477,0.332388677,0.373655679,0.258413175,0.286441471,0.95054887,1.050813775,2.575064462,0,0.677820677,0.965507854,0.85976597,0.863741285,0.444987682,0.427551923,1.317701696,1.17220639
PI 34:0,0.58368396,0.562082403,0,0,0,0,0.329500401,0.139361137,0,0,1.089723225,0,0,0,0,0,0,0.328463764,0,0
PI 36:5,0.025729473,0,0.039052813,0.039074272,0.026098942,0.026167914,0.010253496,0.011660325,0.046192224,0.04909865,0.020921853,0,0,0,0,0,0,0,0.058561438,0.053465178
PI 36:4,0.302384891,0.292283473,0.302772286,0.294508897,0.262850262,0.280238481,0.178941398,0.195765571,0.365390459,0.385058209,0.325750768,0,0.236467528,0.330957598,0.507882041,0.533731371,0.261204892,0.264376037,0.553437172,0.482058225
PI 36:3,0.23748331,0.226497465,0.317291378,0.310560424,0.641791104,0.697852456,0.090679448,0.098449072,0.504955826,0.549805963,0.276996487,0,0.131629319,0.184039718,0.759372134,0.747478205,0.12900483,0.106495256,0.61912873,0.528763214
PI 36:2,0.699226546,0.669865049,0.986764929,0.953984484,0.594984475,0.662639911,0.551256978,0.613324041,0.778843545,0.849644879,0.822235357,0,0.609806849,0.814138982,1.024586113,1.029694052,0.847534549,0.802939266,0.940437593,0.808313353
PI 36:1,0.382777022,0.365136258,0.359346657,0.351230544,0.031006774,0.036843106,0.194251165,0.217186897,0.219550408,0.242333899,0.636527179,0,0.41754643,0.597888364,0.226364105,0.242571491,0.384812057,0.35353618,0.332374785,0.277163533
PI 38:6,0.143691483,0.139796276,0.056373755,0.053355919,0.051242249,0.052396236,0.047465259,0.050660864,0.074956988,0.07926827,0.173088396,0,0,0,0,0,0,0,0.105832891,0.093961436
PI 38:5,0.422307274,0.403030366,0.443420555,0.4353081,0.369889178,0.390745609,0.335445965,0.36362062,0.374141614,0.396814822,0.496302205,0,0.303061065,0.37895131,0.756865993,0.743734964,0.367885389,0.357821145,0.515450127,0.438937926
PI 38:4,1.361947745,1.294324891,1.900895553,1.850534007,1.267627969,1.408841054,3.157510972,3.48474206,1.364692193,1.412143472,2.005839972,0,2.01137536,2.847934845,2.259580501,2.340341518,5.752464416,5.475411179,1.952380237,1.674698629
PI 38:3,0.773403599,0.733092653,0.866382702,0.84513322,1.283174094,1.49990969,0.071943844,0.070964258,0.935785315,1.051257218,1.111106601,0,0.371344911,0.51729626,2.00900003,2.066781071,0,0,1.234700589,1.015876117
PI 38:2,0.143112489,0.13528131,0.069131611,0.068073897,0,0,0.032625953,0.037277504,0.059756057,0.068672835,0.198007698,0,0.040661876,0.061215567,0,0,0.015501332,0.01692279,0.095928689,0.070041996
PI 40:8,0,0,0.003399655,0.003791703,0,0,0.01382361,0.013926559,0.00484129,0.005046189,0,0,0,0,0,0,0,0,0,0
PI 40:7,0.055403265,0.053669801,0.039190819,0,0.032378011,0.032953843,0.064701577,0.069826635,0.025745263,0.024578546,0.058322295,0,0,0,0,0,0,0,0.023588954,0
PI 40:6,0.227493302,0.212813586,0.136656655,0.135354967,0.066901424,0.070999792,0.209651494,0.223840318,0.0955701,0.10196451,0.340990466,0,0,0,0,0,0.298395006,0.281209979,0.145763832,0.120049005
PI 40:5,0.272486152,0.261506487,0.225720221,0.217416215,0.072188971,0.081298912,1.343613711,0.578985784,0.073841007,0.06939879,0.423303563,0,0.192175514,0.273048389,0,0.153463853,0.690656871,0.666280605,0.106124027,0.086901225
PI 40:4,0.054821094,0.04991801,0.143051618,0.142979028,0.071893383,0.081761813,0.69632987,0.924242578,0.037790352,0.021177503,0.064629705,0,0.147218119,0.178060903,0,0,0.887924971,0.832717482,0.026180431,0.021520085
PI 40:3,0.090188171,0.08824752,0.115740251,0.111013838,0.06355377,0.07500836,0,0,0.018865652,0.019562941,0.092838191,0,0,0,0,0,0,0,0.022373333,0.019597962
PI 40:2,0.002402577,0.001521138,0,0,0,0,0.004356517,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 40:1,0.001458187,0.001102091,0,0,0,0,0,0,0,0,0.00188198,0,0,0,0,0,0,0,0.001364204,0
PI 42:9,0,0,0,0,0,0,0.002256683,0.001702543,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:8,0,0,0,0,0,0,0.002793814,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:6,0,0,0,0,0,0,0,0.008494003,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:5,0,0,0,0,0,0,0.004246531,0.006219776,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:4,0,0,0,0,0,0,0.003478056,0.003450529,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 30:1,0,0,0,0,0,0.005804636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 30:0,0,0,0,0,0.003030195,0.003045108,0.004436431,0.001837743,0,0,0,0,0,0,0,0,0,0,0,0
PS 32:1,0.014993637,0.014646022,0.032390879,0.032285764,0.043280658,0.043093271,0.055403341,0.024006265,0.037429172,0.039502994,0.016154876,0.017939077,0,0,0.057145275,0.057772042,0.034920719,0.033635595,0.067707108,0.064080188
PS 34:3,0,0,0,0,0.002868189,0.003106429,0.002264666,0.002324726,0.002293567,0.002122328,0,0,0,0,0,0,0,0,0.003704347,0.003133764
PS 34:2,0.025241924,0.024189125,0.044563811,0.043916882,0.052909741,0.052115266,0.073259752,0.031158014,0.040546063,0.042502857,0.025005889,0.027338359,0,0,0.069765013,0.070295493,0.046030961,0.044269001,0.063998269,0.06146573
PS 34:1,0.176819893,0.171927056,0.29132862,0.287947403,0.299424762,0.307376937,0.223218271,0.248577948,0.278724596,0.29664968,0.208438519,0.226097012,0.266997839,0.348020249,0.391680794,0.395435926,0.349936511,0.342646235,0.5816846,0.538149335
PS 36:4,0,0.00328244,0,0,0.017704595,0.016440707,0.015554961,0.017140267,0.013587017,0.011911387,0.001022752,0.001558565,0,0,0,0,0,0,0.005553243,0.011374185
PS 36:3,0.017624774,0.018147573,0.01374546,0.013426513,0.016972268,0.017188808,0.020989851,0.022558728,0.020052559,0.021485596,0.023030322,0.024782858,0,0,0,0,0.02475928,0.027999402,0.021993401,0.041149343
PS 36:2,0.147934471,0.140480402,0.227445953,0.227919989,0.274940211,0.277913459,0.256706373,0.276422229,0.131699223,0.136184402,0.182402936,0.193227551,0.214669332,0.293969909,0.364994295,0.36293287,0.39803035,0.384865859,0.276154221,0.249235594
PS 36:1,0.545020896,0.518129776,0.97596081,0.972766794,0.878190806,0.932825224,0.846475006,0.911686335,0.403281806,0.420004575,0.716005928,0.748431534,1.369040825,1.945350387,1.332495951,1.344840463,1.362004125,1.299610872,0.947732907,0.842324373
PS 38:6,0,0,0,0,0,0,0.006355887,0.006093074,0,0,0.005851398,0,0,0,0,0,0,0,0,0
PS 38:4,0.210582948,0.204896437,0.084163465,0.089625621,0.06259308,0.060109349,0.127975162,0.139731027,0.05206614,0.050337891,0.172772487,0.167124496,0,0.107696428,0,0,0.199292178,0.191469511,0.120893881,0.105478126
PS 38:3,0.074301913,0.070524119,0.051978057,0.050578126,0.052088598,0.055020457,0.028900322,0.029306475,0.044177543,0.048675496,0.126112843,0.134169733,0.101911943,0.132173263,0.097564204,0.098190613,0.066060062,0.059980775,0.131977114,0.114762217
PS 38:1,0,0.001699236,0.022967935,0.021079194,0.028720135,0.03212525,0.014524924,0.015013781,0.029524969,0.032924894,0,0,0.036979756,0.054414192,0.053758952,0.051498774,0.019406485,0.020928519,0.048208791,0.042449843
PS 40:7,0.005841008,0,0,0,0,0,0.007409472,0.008036504,0.001041905,0,0.015741584,0.018119986,0,0,0,0,0,0,0.013888556,0.004881556
PS 40:6,0.047113038,0.043044713,0,0,0.004509225,0.003679657,0.036878442,0.0373655,0.010999536,0.014170583,0.146907304,0.159788685,0,0.064509275,0,0,0,0.081520742,0.168119705,0.133653945
PS 40:4,0,0,0.03446295,0.033320015,0.043614563,0.045475582,0.216701842,0.154934946,0.012938841,0.010824602,0.151121472,0,0,0.072948694,0.06530533,0.071128597,0.218308035,0.211549956,0.033464327,0.027436461
PS 40:3,0,0,0.00470784,0,0.041090843,0.044219872,0,0,0.006788869,0.007702828,0,0,0,0,0.059343619,0.06478286,0,0,0.011883086,0.010561648
PS 40:2,0,0,0.02276081,0.023107713,0.044011111,0.049121937,0.008458498,0.009816015,0.017973443,0.019880314,0.00230415,0.002520248,0,0.030634636,0.066984356,0.07437452,0,0,0.037327546,0.033514031
PS 40:1,0,0,0.013699573,0.013284829,0.012308258,0.014036421,0.00694307,0.007039719,0.026079912,0.02948121,0,0,0,0.034958464,0.005679927,0,0,0,0.065018917,0.055390088
PS 42:4,0,0,0,0,0.004714362,0.004568813,0.004076487,0.003961106,0,0,0,0,0,0,0,0,0,0,0,0
PS 42:3,0,0,0,0,0.007773172,0.00831818,0.003006419,0.002514072,0.003633821,0.004242003,0,0,0,0,0,0,0,0,0.008311184,0.006849198
PS 42:2,0,0,0.009772951,0,0.019932902,0.02279645,0.004140283,0.004341561,0.010025051,0.011180587,0,0,0,0,0,0.018605026,0,0,0.024876724,0.021782111
PS 42:1,0,0,0.004104213,0.003582752,0.006686519,0.008138021,0.003120758,0.003048744,0.01205466,0.014326549,0,0,0,0,0,0,0,0,0.043452425,0.036577865
PS 44:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 34:1;2,0.043593604,0.045268281,0.210214526,0.195038703,0.075505614,0.072920927,0.112079663,0.117217682,0.059224318,0.054794197,0.03952915,0.038790989,0.242798684,0.320187386,0.111249628,0,0.223279419,0.166100398,0.032485336,0.031848196
diHexCer 36:2;2,0,0,0,0.003094544,0,0,0.005893836,0.009702407,0.001904892,0.001741614,0,0,0,0,0,0,0,0,0,0
diHexCer 36:1;2,0,0,0.014312954,0.002671702,0.022422559,0.02161408,0.010060591,0.015493159,0.018516292,0.017969811,0,0,0,0,0,0,0,0,0.006363191,0.008262477
diHexCer 38:1;2,0,0,0.005721516,0.002865019,0.001557255,0.00114683,0.001408521,0.005444894,0.008853165,0.00797308,0,0,0,0,0,0,0,0,0,0.001080531
diHexCer 40:2;2,0,0,0.02024196,0.011274505,0.004581814,0.004026968,0.001177254,0.005951506,0,0.001508007,0,0,0,0,0,0,0,0,0,0
diHexCer 40:1;2,0,0,0.125472942,0.084676554,0.020001759,0.017775184,0.007509054,0.025975303,0.025985439,0.025024233,0,0,0.101846981,0.047730159,0,0,0,0.003424715,0.007166537,0.010713416
diHexCer 42:2;2,0.002669848,0.002862398,0.202223704,0.189103773,0.066612967,0.065172653,0.054540208,0.058944755,0.032346689,0.031639418,0,0,0.091479429,0.093088132,0.008098439,0,0.01465984,0.041971311,0.003049068,0.012884207
diHexCer 42:1;2,0.00291349,0.00344133,0.227783166,0.20037967,0.022960901,0.020060414,0.027195823,0.034695222,0.070871385,0.067906829,0,0,0.276067148,0.263316935,0,0,0,0,0.032662119,0.029743121
triHexCer 32:1;2,0,0,0,0,0,0.002458758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 36:2;2,0,0,0,0,0,0.005109491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 36:1;2,0,0,0.019831713,0.013699616,0,0,0.007448334,0.006599467,0,0.007616773,0,0,0.049444955,0,0,0,0,0,0,0
triHexCer 38:1;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 40:2;2,0,0,0.002498811,0.052412322,0.015065425,0.015706666,0.0175327,0,0.016637141,0.018019293,0,0,0,0,0,0,0,0,0,0.016537611
triHexCer 40:1;2,0,0,0.099283169,0.059099215,0.020685763,0.021019219,0.037561123,0.043807413,0.00622292,0.006446427,0,0,0,0,0,0,0,0,0.031709749,0
triHexCer 42:2;2,0,0,0.18971309,0.138829765,0.140927582,0.127704944,0.111247534,0.117587129,0.035346447,0.047660956,0,0,0,0.180210061,0,0,0,0,0,0
triHexCer 42:1;2,0,0,0.197071071,0.15894971,0.033874868,0.040522791,0.040924197,0.040100405,0.04716569,0.039022727,0,0,0,0,0,0,0,0,0.047965607,0.023447182
triHexCer 42:0;2,0,0,0,0.994468173,0.38804711,0.35415975,0.238460805,0.258199812,0.226683801,0.264423408,0,0,5.89547844,4.552718938,0,0,0,0,0,1.832391895
LPC O-16:1,0,0,0.002143336,0,0.009343137,0.007662008,0.034132767,0.035065469,0.015553849,0.012988726,0,0,0,0,0,0,0.01878436,0.026923624,0.035833647,0.036878781
LPC O-16:0,0.004218307,0.006661936,0,0.002619587,0.027766533,0.022174241,0.018785862,0.020869829,0.009673538,0.007472349,0,0,0,0,0,0,0,0,0.024683305,0.025961328
LPC O-18:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-18:2,0,0,0.001299726,0.001700761,0.00386286,0.001845314,0.009681191,0.007877805,0.002132157,0.001147093,0.011747068,0.014270401,0,0,0,0,0,0,0.001187038,0.001808061
LPC O-18:1,0,0,0.00227241,0.00406191,0.008416318,0.007883627,0.021727359,0.020405348,0.001490652,0.001344241,0,0,0,0,0,0,0,0,0,0
LPC O-18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-20:4,0,0,0.002745137,0.002724287,0.003382833,0.002743591,0,0,0,0.002695028,0,0,0,0,0,0,0,0,0,0
LPC O-20:3,0.001340149,0.005952697,0.012500842,0.020302328,0.004828492,0.003536311,0,0,0.002824683,0.025100398,0.013468114,0.018565362,0.017996256,0.016633134,0.208077759,0.21537892,0.061826474,0.093545482,0.0019276,0.003969075
LPC O-20:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-22:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007802729,0,0,0,0,0,0
LPC O-22:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-22:4,0,0.00137566,0,0.002983327,0,0.001334254,0,0,0,0.004563425,0,0,0,0.002176906,0,0,0,0,0,0
LPC 14:0,0,0,0.006972173,0.007954736,0.044498902,0.041167099,0.024708212,0.027288578,0.031440378,0.03020573,0.012420368,0.011247348,0,0.003690795,0,0,0.007879192,0.018341153,0.06163994,0.061423483
LPC 16:1,0,0.00400311,0.062304334,0.074140909,0.138725817,0.127934072,0.054645145,0.057403231,0.134968135,0.126174936,0.053766771,0.065905955,0,0,0.066775489,0.068789932,0,0.008552311,0.177028567,0.177983961
LPC 16:0,0.090399644,0.147474787,0.16132041,0.18163575,0.185092856,0.16908159,0.238899916,0.249816721,0.161485523,0.149515861,0.181017804,0.207642843,0.036154225,0.04012481,0.083128398,0.119700435,1.149637773,1.353139363,0.306436061,0.312207155
LPC 18:2,0.002215166,0.010690866,0.03814381,0.043184831,0.018060364,0.015638225,0.046574663,0.046879887,0.018769347,0.02363361,0.005016394,0.002287186,0,0,0,0,0,0.014678954,0.021327936,0.02120953
LPC 18:1,0.072928118,0.108736333,0.245236192,0.274224185,0.181295799,0.166112748,0.138468,0.142132076,0.12729221,0.115474734,0.133144398,0.161983903,0.002361285,0.002040619,0.0431398,0.053410732,0,0.016738403,0.156056413,0.156682676
LPC 18:0,0.003123238,0.004577691,0.001455214,0.004874833,0.00339577,0.001312079,0.048923569,0.053259865,0.003076784,0.002788383,0.023647179,0.027906434,0,0,0,0,0.142308277,0.260662383,0.027382685,0.028739047
LPC 20:4,0.002873908,0.005204566,0.013792671,0.020174162,0.035519355,0.031786862,0.067879016,0.069080531,0.013516376,0.013156977,0.039930978,0.047325598,0,0,0,0.03075983,0.648607747,0.69668377,0.025399108,0.02758843
LPC 20:3,0,0,0,0,0.014530645,0.011264325,0,0,0,0.002217638,0.003074647,0.00249249,0,0,0,0,0,0,0,0.001938514
LPC 22:6,0,0,0,0,0,0,0.040600012,0.043008399,0,0,0,0,0,0,0,0,0,0,0,0.037106602
LPC 22:5,0.303249659,0.474856808,0,0,0.050487423,0.048724717,0.099113203,0.113830128,0,0.085803363,0,0,0,0,0,0,0,0.336297559,0,0
LPC 22:4,0,0,0,0,0.002316155,0,0.035912886,0.035990547,0,0,0,0,0,0,0,0,0.205583224,0,0,0
LPE O-14:0,0.006633612,0.002047648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076159913,0,0
LPE O-16:1,0.031847189,0.049889255,0.11110147,0.094906455,0.114886114,0.113821334,0.055930581,0.057189497,0.147332521,0.139275916,0.021760653,0.033612138,0.001456979,0.005192746,0.105270064,0.060321374,0.014150399,0.02916873,0.142621422,0.151262426
LPE O-16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE O-18:2,0,0,0.011294964,0.011543174,0.047341746,0.048117209,0.025609351,0.026269367,0.009493966,0.008983534,0,0,0,0,0,0,0,0,0.008693042,0.011698995
LPE O-18:1,0,0.002093871,0.050335227,0.043124051,0.011692745,0.008524037,0.036028247,0.036362756,0.018006483,0.016037689,0,0,0,0.004878148,0,0,0,0.009912598,0.016008919,0.017535317
LPE O-22:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870653,0,0,0
LPE 16:1,0.124792464,0.140471861,0.124852851,0.128973855,0.085914502,0.088621133,0.016597729,0.017062716,0.13425113,0.128933493,0.10512977,0.134176526,0,0.009366044,0.154589999,0.203322833,0.00989182,0.024486254,0.156304851,0.165402013
