mol%, MBA 453 cells, MBA 453 cells, MDA 231 cells, MDA 231 cells, MDA 468 cells, MDA 468 cells, MBA 436 cells, MBA 436 cells, HCC70  cells, HCC70  cells,HCC38 CM,HCC38 CM, MBA 453 CM, MBA 453 CM, MDA 231 CM, MDA 231 CM, MDA 468 CM, MDA 468 CM, MBA 436 CM, MBA 436 CM, HCC70  CM, HCC70  CM
LPA 16:1,0.002349529,0.001978701,0,0,0,0,0,0,0.001467388,0.001351222,0,0,0,0,0,0,0,0,0,0,0,0
LPA 16:0,0.009939175,0.009038968,0.007850277,0.010931541,0.005609523,0.004299643,0.005664082,0.005723925,0.007147131,0.006035857,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:0,0.007332996,0.006922042,0.029556486,0.033385943,0.001893515,0,0.003301698,0.003230203,0.002078469,0.001825005,0.189277584,0.160989238,0.04428525,0,0,0,0.003670073,0.00443464,0.004482686,0.008648719,0.007329696,0.007715365
LPI O-14:0,0,0,0,0,0,0,0,0,0,0,0,0.001090944,0.001318321,0.003488624,0.083439907,0.010117376,0.001659289,0.002788676,0.047783794,0.03910598,0,0
LPI O-16:0,0.006339226,0.005898005,0,0,0.014366111,0.014570996,0,0,0,0,0,0,0,0,0,0,0.002303377,0,0,0,0,0
LPI O-18:1,0,0,0,0,0.006638089,0.003792997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:0,0.001001173,0,0,0.004855055,0,0.00178408,0,0.001111099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 16:1,0.058082874,0.057028172,0,0,0.078880845,0.083526567,0.0074621,0.007722504,0.010836751,0.012152309,0,0,0,0,0,0,0.047264602,0.062021877,0,0,0,0
LPI 16:0,0.101143392,0.099029399,0,0.018007772,0.091344231,0.094327245,0.025941218,0.025425704,0.046240371,0.047806373,0,0,0,0,0,0,0.063151322,0.075333249,0,0,0.031188706,0.030765942
LPI 18:2,0,0,0,0,0,0,0.003548782,0.003829261,0.003089654,0.003146184,0,0,0,0,0,0,0,0,0,0,0,0
LPI 18:1,0.177710115,0.172805776,0.056008476,0.053363847,0.261161133,0.26641753,0.084827466,0.079699121,0.04669261,0.050070584,0.016715632,0,0,0,0,0,0.101973579,0.110018644,0,0,0.028460837,0.027141447
LPI 18:0,0.37855362,0.362966797,0.390212141,0.393768957,0.17491479,0.173861305,0.647773321,0.635788224,0.347334387,0.362175025,0.051025415,0.033300817,0,0,0.019643298,0.015983715,0.075313517,0.087007234,0.226363576,0.219658935,0.164184345,0.159378425
LPI 20:4,0.020207228,0.02028405,0.008246843,0.002797298,0.038196529,0.039241566,0.049040694,0.048019467,0.059526402,0.060891757,0,0,0,0,0,0,0,0,0,0,0.025695259,0.022328271
LPI 22:6,0,0,0,0,0,0,0.016034298,0.015225191,0.017566546,0.018045203,0,0,0,0,0,0,0,0,0,0,0,0
LPI 22:5,0,0,0,0.002583154,0,0,0.008523724,0.007170994,0.013248244,0.013627201,0,0,0,0,0,0,0,0,0,0,0,0
LPI 22:4,0,0,0,0,0,0,0.005970105,0.006142989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS O-18:2,0,0.012178407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 18:1,0.03114114,0.031419574,0.041298675,0.04083619,0.055716591,0.057474974,0.019284268,0.018853364,0.012187015,0.012724953,0,0,0,0,0,0,0.053834354,0.060572696,0.004653452,0,0.020804975,0.020360049
LPS 18:0,0.06340028,0.061819904,0.078175984,0.078545277,0.049945263,0.050297575,0.052770544,0.051397787,0.02545925,0.025881557,0,0,0.505338823,0.477454739,0,0,0.053867212,0.061531356,0.025770012,0,0.056476171,0.054831717
LPS 20:4,0,0,0,0,0,0,0,0,0.002334857,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 28:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 30:1,0.001708098,0.001969377,0,0,0.016391661,0.017496576,0,0,0.002232534,0.002859038,0,0,0,0,0,0,0,0,0,0,0,0
PA 30:0,0.003392942,0.001624223,0,0,0.002827535,0,0.004437789,0.004507931,0.007892607,0.007901704,0,0,0,0,0,0,0.001510834,0.002110565,0,0,0,0
PA 32:2,0.002349456,0.001639063,0,0,0,0,0,0,0.003265725,0.003809127,0,0,0,0,0,0,0,0,0,0,0,0
PA 32:1,0.016752091,0.013886324,0.001288763,0,0.020844866,0.018737781,0.011332483,0.010957983,0.022528833,0.023609586,0,0,0,0,0,0,0.008577428,0.011704249,0,0.001028552,0,0
PA 32:0,0.008588286,0.006576351,0.076390639,0.075541159,0.003628099,0.001254347,0.020717982,0.019859196,0.012581653,0.01326165,0,0,0,0,0,0,0,0,0,0,0,0
