mol%, MBA 453 cells, MBA 453 cells, MDA 231 cells, MDA 231 cells, MDA 468 cells, MDA 468 cells, MBA 436 cells, MBA 436 cells, HCC70  cells, HCC70  cells,HCC38 CM,HCC38 CM, MBA 453 CM, MBA 453 CM, MDA 231 CM, MDA 231 CM, MDA 468 CM, MDA 468 CM, MBA 436 CM, MBA 436 CM, HCC70  CM, HCC70  CM
PA 34:2,0.015329886,0.013212244,0,0,0.018146184,0.015684014,0.008621979,0.008216382,0.016605083,0.017334415,0,0,0,0,0,0,0.005253819,0.006266983,0,0,0,0
PA 34:1,0.02547909,0.021296733,0.025415958,0.018791421,0.032246218,0.027410151,0.034066698,0.032308856,0.034082384,0.034925603,0.011269052,0.007298834,0.007862808,0.007693854,0,0,0.022218414,0.024091019,0.013886044,0.013018212,0.004825961,0.004553498
PA 34:0,0,0,0.141073514,0.13577843,0,0,0.011359868,0.010496781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 36:4,0,0,0,0,0,0,0,0,0.008225829,0.008182728,0,0,0,0,0,0,0,0,0,0,0,0
PA 36:3,0,0,0,0,0,0,0.002970707,0.002320984,0.009381139,0.010516737,0,0,0,0,0,0,0,0,0,0,0,0
PA 36:2,0.015220672,0.01223365,0.001589014,0.001946083,0.028420494,0.021856732,0.020020284,0.019531063,0.016832467,0.016709883,0.004615334,0.00351805,0.001639657,0.00263841,0,0,0.020161498,0.02210846,0,0.00180533,0.004169216,0.00388475
PA 36:1,0.006232068,0.005287677,0.011562459,0.014712843,0.003578739,0.002324641,0.004008914,0.003962371,0.001772054,0.002013581,0.021240874,0.016445285,0,0,0,0,0,0,0.008380375,0.006836327,0.005319426,0.005174428
PA 38:6,0,0,0,0,0,0,0,0,0.002810352,0.002824775,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:5,0,0,0,0,0,0,0,0,0.004795048,0.004964294,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:4,0,0,0,0,0,0,0.001437025,0.001904665,0.006176837,0.006827516,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:3,0,0,0,0,0,0,0,0,0.005934416,0.006097658,0,0,0,0,0,0,0,0,0,0,0.001786505,0.001871396
PA 38:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 40:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 40:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 40:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 44:10,0,0,0,0,0,0,0.001049521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-32:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-34:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-34:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-34:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-34:1,0.068149695,0.055562815,0,0,0.175140108,0.140501444,0.00171383,0.001639481,0,0,0,0,0,0,0,0,0.177759359,0.180927572,0,0,0,0
PI O-36:4,0.007310868,0.005902349,0,0,0.020340142,0.016254428,0.003489022,0.003572618,0,0,0,0,0,0,0,0,0.025241251,0.0259552,0,0,0,0
PI O-38:6,0.019415048,0.015278006,0,0,0.030214007,0.024282259,0.002529735,0.002607909,0.003220426,0.003081612,0,0,0,0,0,0,0.044297111,0.046668799,0,0,0.002784035,0.002565237
PI O-38:5,0.037911608,0.031510528,0,0,0.116100766,0.094819124,0.01097486,0.010828735,0.007803385,0.007581451,0,0,0,0,0,0,0.144828463,0.153780556,0,0,0.014062958,0.013963779
PI O-38:4,0,0,0,0,0,0,0.015424053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-38:2,0,0,0,0,0.008111463,0.006480337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-40:7,0,0,0,0,0,0,0,0,0.001625579,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-40:6,0.008542791,0,0,0,0,0,0.004583223,0.004328856,0.001857739,0.001968381,0,0,0,0,0,0,0,0.032938095,0,0,0.001235689,0
PI 28:0,0.001521478,0.001695241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001897162,0.00269031,0,0,0,0
PI 30:1,0.035877683,0.031767763,0,0,0.026263138,0.0240502,0,0,0,0,0,0,0,0,0,0,0.034657557,0.036763123,0,0,0,0
PI 30:0,0.042260692,0.036270934,0,0,0.022594803,0.019274884,0.002922749,0.003275613,0.00215466,0,0,0,0,0.00275864,0,0,0.038008915,0.040665692,0,0,0,0
PI 32:1,1.019894596,0.878583526,0.04439285,0.043524065,0.69010317,0.589538053,0.068994782,0.067644859,0.161409808,0.161920899,0,0,0.46028825,0.422753849,0,0,0.900922821,0.950748509,0.023304654,0.021098157,0.20093095,0.194322197
PI 32:0,0.165506409,0,0.02821224,0.026694139,0,0,0.018655187,0.017378817,0,0,0,0,0.221307118,0.197985578,0,0,0,0,0,0.007604488,0.056582025,0.054554547
PI 34:2,1.157166578,0.984480295,0.112717033,0.110724054,1.577736531,1.340564256,0.183060128,0.175929019,0.263788536,0.26744368,0.091894288,0.074657285,0.39864236,0.359411488,0,0,1.65870028,1.736006074,0.132590068,0.140463057,0.423926764,0.418925838
PI 34:1,2.967292228,2.706921321,0.412763186,0.413405125,2.039685406,1.62363521,0.569093892,0.556492977,0.520917247,0.510853477,0.299697649,0.279714867,1.68032212,1.517585966,0.317801616,0.121825479,2.344038363,2.467789648,0.48161453,0.499249436,0.776897312,0.748549115
PI 34:0,0,0,0.130217672,0.129393298,0,0,0,0,0,0,0,0,0,0,0.225326687,0,0,0,0,0,0,0
PI 36:5,0.045599911,0.041080229,0,0,0.052127922,0.047788221,0.0245661,0.024346535,0.049691843,0.049497678,0,0,0,0,0,0,0.049761143,0.052721027,0,0,0.081070451,0.079103568
PI 36:4,0.207693897,0.179500224,0.064750042,0.061782764,0.210373115,0.17396436,0.192705306,0.189640489,0.510016367,0.508515425,0.184148951,0.17479756,0.141737776,0,0,0,0.331598921,0.349142651,0.155672245,0.168542796,0.722231592,0.700707268
PI 36:3,0.200056884,0.161172663,0.110208169,0.108976055,0.283430591,0.231206272,0.223174757,0.215559385,0.688608136,0.684121692,0.082052468,0.059471597,0.133512843,0.105495227,0,0,0.438959867,0.460120016,0.137274964,0.147119961,0.881230899,0.851062127
PI 36:2,1.965382358,1.611266394,0.689565922,0.69118511,2.375638189,1.914202575,1.070040532,1.050491292,0.488255394,0.485675976,0.606685462,0.585944482,0.802683618,0.696556205,0.240344954,0.074061771,2.454265823,2.57852284,0.747559021,0.773071857,0.965860778,0.934647894
PI 36:1,0.987703383,0.771868945,0.920849117,0.933025149,0.218007723,0.142717864,0.616956408,0.599969494,0.11169762,0.109290139,0.268322961,0.254342159,0.610090116,0.528256929,0.587111479,0.189942146,0.385110407,0.384655769,0.549636214,0.569647382,0.262642702,0.257606095
PI 38:7,0,0,0,0,0,0,0,0.013893835,0.01537486,0.015076835,0,0,0,0,0,0,0,0,0,0,0.008163204,0.008028984
PI 38:6,0.076035302,0.062634868,0.029038465,0.029624618,0.049480912,0.040324034,0.092900606,0.090851361,0.229472922,0.228992596,0,0,0,0,0,0,0.097303507,0.100195943,0,0,0.292220779,0.28509745
PI 38:5,0.260556622,0.218619214,0.338541183,0.345010011,0.462275171,0.381183568,0.545996749,0.534962771,0.63993133,0.637224845,0.26452721,0.247882053,0.126822534,0,0,0,0.572731686,0.606061131,0.397313799,0.434512095,1.089267773,1.066855682
PI 38:4,0.50743656,0.413448977,2.264757365,2.293524043,0.490589244,0.389255565,2.578206842,2.525369038,2.386601698,2.367280071,4.024218244,3.78371172,0.412451167,0.344935665,2.14361906,0.666217813,0.737970281,0.758262143,2.355861138,2.433504419,4.627919083,4.496941591
PI 38:3,0.330198237,0.257520019,1.267153358,1.264032634,0.232723006,0.173615664,1.564539207,1.527540194,2.14548751,2.098368428,0,0,0.212601681,0.195337872,0.742859897,0.236315719,0.322119461,0.333144756,0.848109356,0.885869124,3.338913837,3.282051973
PI 38:2,0.148523963,0.114943875,0.126197791,0.128556542,0.151391333,0.114683387,0.104391727,0.102213913,0,0,0,0,0.072719124,0.055017355,0,0,0.140156618,0.143823644,0,0,0,0
PI 38:1,0.127438161,0.093980299,0.072510426,0.076747047,0.014574431,0.01030511,0.030024967,0.029354853,0.006949098,0.008078145,0,0,0.015083092,0,0,0,0.026485381,0.02738888,0,0,0.005728072,0
PI 40:8,0,0,0,0.001374439,0,0,0.015346692,0.014906494,0.015733985,0.014651333,0,0,0,0,0,0,0,0,0,0,0.007077592,0.00573024
PI 40:7,0.029308376,0.025011351,0.062405059,0.068050814,0.039402235,0.031751863,0.103455057,0.10417575,0.093556346,0.0896841,0,0,0,0,0,0,0.055611609,0.060285872,0,0,0.095346923,0.095459158
PI 40:6,0.123144911,0.101500643,0.354463204,0.357963086,0.052745808,0.041675952,0.510241614,0.499446135,0.385514966,0.377636318,0.202869784,0.195306084,0,0,0,0,0.104718711,0.106998192,0.314844616,0.319848532,0.598324905,0.582451113
PI 40:5,0.120884877,0.096020949,0.401833017,0.407528631,0.083235521,0.064689655,0.391246295,0.384449408,0.318875432,0.311485422,0.50028981,0.466823884,0.021381649,0,0,0,0.115708206,0.115714557,0.282609397,0.289572969,0.523648818,0.504436649
PI 40:4,0.050374108,0.038973236,0.180194549,0.184441666,0.031973396,0.025297383,0.245752549,0.242042488,0.046381491,0.044257768,0.6324485,0.574858638,0,0,0,0,0.03929383,0.039301293,0.222935095,0.227597931,0.076815688,0.069148946
PI 40:3,0.041545619,0.036600153,0.157207393,0.157616547,0.045293044,0,0.124452152,0.122268002,0.021671053,0.021324151,0,0,0,0,0,0,0,0,0.206324785,0.214604616,0.022256994,0.022302948
PI 40:2,0.01052826,0.008369956,0.003818348,0.003493516,0.012594547,0.008429121,0.004459831,0.004358516,0,0,0,0,0,0,0,0,0.005558554,0.005658988,0,0,0.005397007,0
PI 40:1,0.007892328,0.005492871,0.007609138,0.008500563,0,0,0.005484021,0.004932004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:9,0,0,0,0,0,0,0,0.001051163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:7,0,0,0,0,0,0,0.002082846,0.003075596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:6,0,0,0,0,0,0,0.017234459,0.017056471,0.001435934,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:5,0,0,0,0,0,0,0.00393709,0.003739676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005334875
PI 42:4,0,0,0,0,0,0,0.001895267,0.001841742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:3,0,0,0,0,0,0,0.002298642,0.002547764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:2,0,0,0,0,0,0,0.001323745,0.001282022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 30:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 30:0,0,0,0,0,0,0,0.001067341,0.001045208,0,0,0,0,0,0,0,0,0.005717247,0.006065749,0,0,0,0
PS 32:1,0.014721605,0.013355696,0.01657053,0.015015197,0.033093931,0.029638998,0.021225781,0.020976421,0.002276413,0.002386366,0.022380933,0.015910252,0.006064175,0,0,0,0.084804316,0.092391307,0.006387763,0.003812355,0.007683117,0.007671885
PS 34:3,0,0,0,0,0,0,0.002052987,0.001690747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 34:2,0.074721389,0.067218859,0.015356024,0.016675129,0.084732104,0.074011542,0.02687219,0.02668621,0.013753156,0.014405029,0.03550389,0.024747464,0.117188955,0.110081104,0,0,0.14346811,0.154931007,0.023290425,0.020649483,0.027832719,0.027069817
PS 34:1,0.269989787,0.233971633,0.236559068,0.238469999,0.266542129,0.227390048,0.290796812,0.28737179,0.0968783,0.102816214,0.250767592,0.257349573,0.638200834,0.584348262,0.400164034,0.11419403,0.653352444,0.713004417,0.320206657,0.331443849,0.233714491,0.225685284
PS 36:4,0.033558351,0.030241656,0,0,0.035448304,0,0.032254438,0.031903012,0.012325184,0.011956436,0,0,0,0,0,0,0.022509552,0.024200435,0,0,0.012038251,0.012079715
PS 36:3,0.015225754,0.01324615,0,0.014827002,0.022780589,0.019268723,0.021126884,0.020818875,0.023463243,0.024464903,0.017785177,0.005809551,0,0,0,0,0.053150279,0.056727836,0.010916217,0.009353417,0.051764058,0.050029521
PS 36:2,0.372593316,0.323852693,0.194866516,0.194817136,0.573469667,0.480869191,0.270736177,0.26898336,0.200835767,0.209122287,0.29691155,0.282760672,0.736249831,0.686498029,0.33162203,0.100186059,0.988451969,1.069426431,0.323982751,0.333237979,0.399307237,0.383405978
PS 36:1,0.65115552,0.536187075,1.374988063,1.386810775,0.680218504,0.53608817,1.283197972,1.256015761,0.743195815,0.776836868,0.985538155,0.956370881,1.647496089,1.509051592,2.375343457,0.728397734,1.597743693,1.71254722,1.61359203,1.68882196,1.473206542,1.43284971
PS 38:6,0,0,0,0,0,0,0.006908893,0.00696596,0.00197799,0.00185307,0,0,0,0,0,0,0,0,0,0,0.001835769,0.002366561
PS 38:5,0,0,0,0,0,0,0.035960836,0.036042938,0.014319013,0.012436979,0,0,0,0,0,0,0.004457517,0.00193174,0,0.01954541,0.01131284,0.011384608
PS 38:4,0.130426014,0.108952568,0.138742537,0.154936138,0.10869742,0.080273969,0.251913413,0.253771179,0.140652209,0.13688132,0.152865882,0.149600271,0.154971543,0.131810186,0.186648339,0.052504718,0.121896636,0.128157328,0.23105605,0.238451116,0.211889055,0.203563018
PS 38:2,0.039013866,0.032799007,0.031482521,0.032227589,0.079330352,0.062834706,0.042736763,0.043821565,0,0,0.013191657,0,0.063812925,0.040746569,0,0,0.113240696,0.121024621,0.043915259,0.041088345,0,0
PS 40:7,0.006891031,0.006918618,0,0,0.005238719,0,0.021114567,0.0213752,0.013147131,0.012390203,0,0,0,0,0,0,0.029854538,0.031535865,0,0,0.014428958,0.01481932
PS 40:6,0.380069382,0,0.087787166,0.092063114,0,0,0.194251548,0.19367815,0.26989389,0.274983726,0.074475047,0,0.37956789,0.345461439,0.264953039,0,0.360133134,0.37866735,0.177910824,0.182649227,0.395263265,0.382190285
PS 40:5,0.035969053,0,0.001900784,0.006457687,0.02078383,0.020130871,0.012231902,0.010575379,0.101863089,0.112009543,0.07285799,0.067637661,0,0,0.025780968,0,0.045658492,0.046787609,0,0,0.18527236,0.176723777
PS 40:4,0,0.009627986,0.077499352,0,0,0,0.061858034,0.060109343,0.028778888,0.030165504,0.157267574,0.148175875,0,0,0.054820281,0.020895686,0.029629811,0.030575594,0.070417236,0.078480338,0.052009949,0.04918958
PS 40:3,0,0,0,0,0.001393837,0,0.008241699,0.008268596,0.010549246,0.011000386,0,0,0,0,0,0,0.002379189,0.002169711,0,0,0.011437472,0.010410732
PS 40:2,0.008660368,0.006858143,0.024558904,0.025199264,0.039515382,0.030678248,0.032420699,0.031474479,0.012841438,0.014149403,0.00145058,0,0,0,0,0,0.05795393,0.0616395,0.035040521,0.036553515,0.015977789,0.015664751
PS 40:1,0.00328288,0.001993077,0.052428026,0.056151727,0,0,0.025048277,0.024056136,0.010890278,0.012147413,0,0,0,0,0.041172984,0,0.002841325,0.004279255,0.03557956,0.032766938,0.012308806,0.011811516
PS 42:2,0.001535093,0,0.014003696,0.012335332,0.027017912,0.019986877,0.013863657,0.013400869,0.008131343,0.00851743,0,0,0,0,0,0,0.037432779,0.039618303,0,0.002755933,0.011407111,0.011657633
PS 42:1,0,0,0.05485167,0.05394134,0,0,0.016024397,0.015093932,0.005443455,0.005494142,0,0,0,0,0.022180095,0,0,0,0.016690434,0.012064141,0.01050197,0.010333747
PS 44:5,0,0,0,0,0,0,0.00404631,0.003906845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 44:4,0,0,0,0,0,0,0,0,0.001110705,0.00127355,0,0,0,0,0,0,0,0,0,0,0,0
PS 44:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 32:2;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 34:1;2,0,0.001009041,0.104067062,0.095095349,0.039569366,0.041330318,0.009895481,0.013963295,0.009682375,0.010153582,0.198857916,0.182455949,0,0,0,0,0.045262951,0.044592966,0.002416583,0.002323617,0.014292574,0.017209287
diHexCer 36:2;2,0,0,0,0,0,0,0,0,0.002400065,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 38:1;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 40:2;2,0,0,0.001147038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 40:1;2,0,0,0.064034055,0.058360812,0,0,0,0.002187845,0,0,0.003965739,0.010984667,0,0,0,0,0,0,0,0,0.002048007,0.001165427
diHexCer 42:2;2,0,0,0.088232432,0.085057206,0.027488975,0.005398919,0.009729146,0.017410573,0.008011023,0.008738798,0.06755404,0.022788834,0,0,0,0,0.003068841,0,0,0,0.005585514,0.004597699
diHexCer 42:1;2,0,0,0.35196865,0.338497225,0,0,0.013224206,0.022584201,0.010059271,0.009753084,0.086891998,0.089029156,0,0,0.091057777,0.033785773,0,0,0,0.014891731,0.017825627,0.014998092
diHexCer 44:0;2,0,0,0.044969543,0.037420514,0.032696785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 36:1;2,0,0,0,0,0,0,0.001394115,0.008468548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 40:1;2,0,0,0.142265036,0.13132503,0,0,0.017107769,0.030559044,0,0.001113453,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 42:2;2,0,0,0.239028941,0.23812783,0.025714164,0.001697127,0.118726122,0.125026015,0.067106027,0.071490622,0.740594196,0.524880807,0,0,0,0,0,0,0.019529275,0,0,0.085059534
triHexCer 42:0;2,0,0,0,0,0,0.646257928,0.172405536,0.064598307,0.48867781,0,13.96252317,13.63134805,0,0,0,0,0,0,0,0,0,0
triHexCer 44:1;2,0,0,0.008587415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-16:1,0.024532775,0.027783134,0.001219553,0,0.020593577,0.028209161,0.018114746,0.018275547,0.015265545,0.011481883,0.001352939,0.001738115,0,0,0.003285985,0,0.001781201,0.06757849,0,0,0,0.063314152
LPC O-16:0,0.015521842,0.023925842,0.00899525,0.008860572,0.086584192,0.097339292,0.017362902,0.017964608,0,0,0.001098663,0.001684973,0.003356628,0,0,0,0.001042138,0.001619219,0,0,0,0
LPC O-18:3,0,0,0,0,0,0,0,0,0,0.002406337,0,0,0,0,0,0,0,0.00123866,0,0,0,0.002853453
LPC O-18:2,0.002049789,0.003781142,0,0.001547638,0.004749227,0.006431493,0.009080629,0.008897838,0.004989972,0.001016977,0,0,0,0,0,0,0,0.058345139,0,0.002807397,0,0.032417546
LPC O-18:1,0.001769909,0.002150984,0.005301459,0.002814558,0.036708045,0.041424019,0.015001667,0.015662432,0.003641798,0.003798838,0.003099885,0,0,0,0,0,0,0,0,0.001884817,0,0
LPC O-18:0,0,0,0.003411487,0,0,0,0.003536337,0.002940887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-20:4,0,0,0,0.00118236,0,0,0.00103095,0,0,0.00141959,0,0,0,0,0,0,0,0,0,0,0,0.002786677
LPC O-20:3,0,0,0.011817119,0.019555741,0,0,0,0,0,0.006828967,0.367927796,0.406020938,0.339502577,0.360527734,1.083509088,0.259699878,0,0,0.609228686,0.577351444,0,0.006056438
LPC O-20:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-22:6,0,0,0.002830568,0.001382943,0,0,0,0,0,0,0.008946427,0.003494554,0.003877526,0,0.044638499,0.002993228,0,0,0,0.00254753,0,0
LPC O-22:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-22:4,0,0,0,0,0,0,0,0,0,0.003716923,0,0,0,0,0,0,0,0,0,0,0,0
LPC 14:0,0.135279595,0.150216842,0.003446618,0.004305659,0.095252173,0.112804989,0.012267043,0.011444515,0.016749219,0.018280675,0.006929013,0.059338707,0.014663037,0.024570068,0,0,0.015340784,0.099465349,0,0.00195161,0,0.008873378
LPC 16:1,0.125493715,0.143161342,0.031858525,0.032083502,0.172026839,0.19614025,0.040821144,0.042130168,0.044534703,0.04820845,0,0,0.007005349,0.014140028,0,0,0.016872281,0.166229315,0.017123466,0.020106804,0.002221962,0.060094201
LPC 16:0,0.583409972,0.649695086,0.310945062,0.302197972,0.420228101,0.48051781,0.184041701,0.1861426,0.182228744,0.227715831,0.692182274,0.581120394,1.064350516,0.85264704,0.101766569,0.046785352,0.095042544,0.271647965,0.309676011,0.327945664,0.048665192,0.208825217
LPC 18:3,0,0,0,0,0,0,0,0,0,0.001016722,0,0,0,0,0,0,0,0,0,0,0,0
LPC 18:2,0,0.002103284,0.003991569,0,0.014141914,0.022184938,0.014431858,0.014383726,0.014087456,0.020941701,0,0,0,0,0,0,0,0.005295883,0,0.002202084,0,0.026342011
LPC 18:1,0.263515144,0.287313611,0.235389647,0.235191338,0.380481099,0.438499424,0.143516715,0.147479659,0.098992389,0.114727182,0,0,0.066154053,0.041999321,0,0,0.036293763,0.335499826,0.320463573,0.435738212,0.011028734,0.132530838
LPC 18:0,0.042978394,0.051001343,0.232650671,0.222313691,0.001193895,0.001341535,0.037668146,0.039289206,0.013905747,0.018172436,0.001229999,0.001606176,0,0,0.030628126,0.0024985,0,0,0,0,0.002001576,0.005507607
LPC 20:4,0,0,0,0,0.00409806,0.004619579,0.016914199,0.016619178,0.015066545,0.026939343,0.433611459,0.281517786,0,0,0,0,0,0.013279106,0.185978086,0.164127291,0,0.058397614
LPC 20:3,0,0,0,0,0,0.001015841,0.00422078,0.003496006,0.009701605,0.018803132,0,0,0,0,0,0,0,0,0,0,0,0.017874947
LPC 20:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003488104,0,0,0,0
