mol%,MCF10A cells,MCF10A cells,HCC1954 cells,HCC1954 cells,HCC1419 cells,HCC1419 cells,SK BR3 cells,SK BR3 cells,MCF10A CM,MCF10A CM,HCC1954 CM,HCC1954 CM,HCC1419 CM,HCC1419 CM,SK BR3 CM,SK BR3 CM
PA 34:0,0,0,0.012867616,0.011600295,0.021871776,0.021818118,0.0131595,0.012885271,0,0,0.013828872,0.012766595,0.009040276,0.006327978,0,0
PA 36:4,0,0,0.001986734,0.001522692,0.001824335,0.001476895,0.012646213,0.013125469,0,0,0,0,0,0,0.003621877,0
PA 36:3,0.007778371,0,0.005236519,0.004645848,0.006272594,0.00612671,0.018506172,0.01895854,0,0,0.00511512,0.005522253,0.00171365,0,0.01647031,0.00555048
PA 36:2,0.055447992,0.062223848,0.025439675,0.024242318,0.046033953,0.044599043,0.03099818,0.031505858,0.066008959,0.062736202,0.03395742,0.031161376,0.029043156,0.025505322,0.025849788,0.017303688
PA 36:1,0.013354185,0,0.00703061,0.00641888,0.007214616,0.007811594,0.010846721,0.010804202,0,0,0.046223667,0.045341701,0.038385081,0.036389449,0.016553527,0.011211525
PA 36:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 38:6,0,0,0,0,0,0,0.003290144,0.002998983,0,0,0,0,0,0,0,0
PA 38:5,0.00132578,0.001673377,0,0,0.001465186,0.00133369,0.012005585,0.011957096,0,0,0,0,0,0,0,0
PA 38:4,0,0,0.002374069,0.001849521,0.005516329,0.005699266,0.013577237,0.013668119,0,0,0.005129186,0.004810491,0,0,0,0
PA 38:3,0,0,0.001275134,0.001356178,0.004005215,0.003821299,0,0,0.005668074,0.006568322,0.009801337,0.009328676,0.006407223,0.006536577,0.001339799,0.001065035
PA 38:2,0,0,0.0016588,0.001646791,0,0,0,0,0,0,0.003883806,0.003595033,0.003305016,0.00239019,0,0
PA 38:1,0,0,0,0,0,0,0,0,0,0,0.002362876,0.002616529,0.001615427,0.001045623,0,0
PA 40:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 40:7,0,0,0,0,0,0,0.001924846,0.001413087,0,0,0,0,0,0,0,0
PA 40:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 40:4,0,0,0.001353623,0.001189136,0,0,0,0,0,0,0.001675942,0.001565664,0,0,0,0
PA 40:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 42:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 42:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-30:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-32:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-32:1,0,0,0.001041345,0,0.006245698,0.006416768,0.001332512,0.001419193,0,0,0,0,0,0,0,0
PA O-32:0,0,0,0.002495369,0.002180441,0.012280532,0.012277019,0,0,0,0,0,0,0,0,0,0
PA O-34:2,0,0,0,0,0.00470655,0.004707401,0.002075726,0.002125548,0,0,0,0,0,0,0,0
PA O-34:1,0.006586683,0.006007675,0,0,0.009231624,0.009464972,0.002142315,0.002177213,0,0,0,0,0,0,0,0
PA O-34:0,0,0,0,0,0.007339436,0.00746062,0,0,0,0,0,0,0,0,0,0
PA O-36:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-36:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-36:2,0,0,0,0,0.003385024,0.003552286,0,0,0,0,0,0,0,0,0,0
PA O-36:1,0,0,0,0,0.00279158,0.002677909,0.001779197,0.001491252,0,0,0,0,0,0,0,0
PA O-36:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:5,0,0,0.005366721,0.006103403,0,0,0,0,0,0,0,0,0,0,0,0
PA O-38:1,0,0,0,0,0,0,0.02038374,0,0,0,0,0,0,0,0,0
PI O-30:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-32:1,0.01163156,0.011798472,0,0,0.00322255,0.003239435,0.001468547,0.001250204,0,0,0,0,0,0,0,0
PI O-34:2,0.025182877,0.026005246,0,0,0.002773917,0.002889007,0.001924522,0.001934147,0.031111781,0.027998424,0,0,0,0,0,0
PI O-34:1,0.178813304,0.181921357,0.005690762,0.006930312,0.037827208,0.040037934,0.011706611,0.01224832,0.189978332,0.180473714,0.006358279,0.007496422,0.002702644,0,0.015715245,0
PI O-36:5,0.013470724,0.013608603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI O-36:4,0.028414081,0.029330151,0.002091348,0.00245932,0.009299329,0.00920983,0.019676922,0.019937918,0.015134124,0.008033665,0,0,0,0,0.012474419,0
PI O-36:3,0.115237287,0.11821484,0,0,0.008020061,0.008294518,0.009003922,0.009392081,0.132179454,0.126956883,0,0,0,0,0,0
PI O-36:2,0.11347944,0.115955004,0,0,0.019445825,0.020832582,0.003020591,0.002786113,0.122156784,0.11338263,0,0,0,0,0,0
PI O-36:1,0.023517895,0.023918219,0,0,0.01426916,0.014939067,0.001020972,0,0.034273019,0.030806435,0,0,0,0,0.002452527,0
PI O-38:6,0.007808594,0.007825663,0,0,0.007974084,0.008393945,0.011601183,0.011979128,0,0,0,0,0,0,0,0
PI O-38:5,0.073561468,0.075065818,0.007432204,0.008875013,0.022142172,0.023209001,0.063628461,0.062010121,0.103482171,0.101037551,0.008239933,0.012367248,0,0,0.104333338,0.091939304
PI O-38:4,0.070147333,0.071286706,0.003504839,0.003200491,0.026191233,0.027199153,0.018342407,0.018977302,0.084498378,0.077419863,0,0,0,0,0.028681789,0
PI O-38:3,0.068645376,0.068987845,0,0,0.01298103,0.014181316,0.007997993,0.007780677,0.059282127,0.049589811,0,0,0,0,0,0
PI O-40:6,0,0,0,0,0.011028509,0.011022225,0.011932113,0.011632093,0,0,0,0,0,0,0,0
PI O-40:5,0.010588611,0.011685048,0,0,0.006149711,0.006204638,0.016444965,0.015269427,0,0,0.001112443,0.002062282,0,0,0,0
PI 28:0,0,0,0,0,0,0,0.010654147,0.010189198,0,0,0,0,0,0,0,0
PI 30:1,0.004512463,0.004844331,0.003260531,0.003543003,0,0,0.010045941,0.010101015,0,0,0,0,0,0,0,0
PI 30:0,0.006208721,0.006467311,0.008914768,0.01036833,0.002443731,0,0.176306334,0.176468296,0,0,0,0,0,0,0,0.049931038
PI 32:1,0.190672019,0.194552057,0.142567449,0.160281515,0.064875466,0.065550461,0.332812309,0.333635716,0.261104711,0.26435924,0.189948892,0.184463693,0.143231133,0.137458638,0.254965993,0.215879535
PI 32:0,0,0,0.098777109,0.116877798,0.018170789,0.019424297,0.543388413,0.535973895,0,0,0.189148935,0.188135007,0.137893637,0.129315014,0.29494632,0.263867241
PI 34:2,0.668756615,0.683214266,0.213297488,0.245776469,0.150730369,0.152505997,0.227896233,0.22778064,0.786056863,0.765355747,0.380122682,0.359593074,0.277022301,0.269526888,0.281682882,0.255697583
PI 34:1,1.179522301,1.206329858,0.93954676,1.116653093,0.625285282,0.654169829,1.528743744,1.522064927,1.677653652,1.597004092,1.846330677,1.787527704,1.308467749,1.24157232,1.427649542,1.29630703
PI 36:5,0.026397523,0.027376475,0.015703366,0.018632287,0.010482614,0.009960906,0.01946403,0.020041889,0,0,0,0,0,0,0,0
PI 36:4,0.105524218,0.10686527,0.262507213,0.311315734,0.122542187,0.122686526,0.592821598,0.589163507,0.150223941,0.14616883,0.468510392,0.452659333,0.345031813,0.333225675,0.385742357,0.345943177
PI 36:3,0.484477337,0.492190492,0.182032364,0.216823811,0.180855193,0.185658173,0.294398196,0.295740896,0.713398902,0.688221784,0.507704185,0.490996184,0.368633687,0.360585428,0.312360161,0.283124291
PI 36:2,2.804077861,2.873983753,0.80002829,0.958877006,0.962977482,1.006467965,0.544539068,0.540986169,3.487322573,3.357273128,2.183628382,2.094092848,1.525994378,1.424510977,0.770588993,0.687015435
PI 36:1,0.730744386,0.752371819,0.373433948,0.468732469,0.534951756,0.571402976,0.507531962,0.497910848,1.177929128,1.121106972,1.278526105,1.235468046,0.85868246,0.788427582,0.887865483,0.682394684
PI 38:6,0.046643348,0.048823698,0.053066621,0.063216347,0.023797063,0.023463855,0.147271996,0.147991892,0.087138816,0,0,0,0,0,0,0
PI 38:5,0.373359717,0.378934395,0.430250202,0.516720685,0.252364558,0.258626349,0.381329171,0.380237206,0.602132232,0.575870781,0.844943025,0.801016152,0.614842638,0.62056105,0.268376619,0.254294552
PI 38:4,1.339806308,1.366111937,1.626022574,1.979586189,1.783603334,1.864677288,1.737865347,1.712209412,1.76768544,1.662297783,5.153066674,4.979966001,3.591432835,3.375953644,1.79684141,1.650406598
PI 38:3,1.993428173,2.053354548,0.880328782,1.106539852,1.360619955,1.446723798,1.010052561,0.99482054,2.108986596,1.987002655,2.938135505,2.819236293,1.938024789,1.801364306,1.222166313,1.105722431
PI 38:2,0.171830594,0.173338314,0.124224932,0.161916367,0.203828838,0.218725943,0,0,0.165946761,0.167328866,0.276524457,0.272418519,0.185314731,0.166647386,0,0
PI 38:1,0.022082649,0.022789802,0.073118332,0.098299191,0.008872975,0.008256596,0.023785751,0.022905224,0.039044988,0.037019957,0.135482095,0.132935692,0.086275786,0.078219089,0,0
PI 40:8,0.005542646,0,0.008396216,0.012367291,0.004402555,0.003960311,0.006761815,0.006303179,0,0,0,0,0,0,0,0
PI 40:7,0.024185226,0.024380935,0.038535875,0.054878574,0.024252822,0.022183126,0.020315412,0.020035829,0,0,0.036092752,0,0,0,0,0
PI 40:6,0.104050707,0.10250394,0.188771778,0.234275996,0.09413376,0.098590818,0.202673373,0.198228544,0.105235729,0.097132481,0.374871057,0.369928085,0.269760108,0.265325657,0,0
PI 40:5,0.159234656,0.161913796,0.49821965,0.626768608,0.060538387,0.06535904,0.350217593,0.34316351,0.252394205,0.239831618,1.14730869,1.105270992,0.788290792,0.7546461,0.284849035,0.271728703
PI 40:4,0.063711755,0.065064231,0.7080351,0.906524979,0.045363744,0.047468077,0.024212761,0.023502443,0.078574078,0.066808518,1.872485779,1.780790165,1.229571955,1.136136662,0.01901671,0
PI 40:3,0.07414766,0.077150272,0,0,0.038331539,0.040008933,0.025685805,0,0.12147986,0,0,0,0,0,0,0
PI 40:2,0.008193807,0.007563972,0,0,0.008137592,0.009342693,0,0,0,0,0,0,0,0,0,0
PI 40:1,0,0,0.008831751,0.011865881,0.001263308,0.001293494,0,0,0,0,0.007136505,0.010258361,0,0,0,0
PI 42:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:7,0,0,0,0.010490671,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:6,0,0,0.011229941,0.015273791,0.003923799,0.004395537,0,0,0,0,0,0,0,0,0,0
PI 42:5,0,0,0.009584025,0.012768604,0,0,0.00122799,0.001270138,0,0,0,0.018464753,0,0,0,0
PI 42:4,0,0,0.004861602,0.006626678,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:3,0,0,0.002553815,0.003531972,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:2,0.001584595,0.002273196,0.003016961,0.004039972,0,0,0,0,0,0,0,0,0,0,0,0
PI 42:1,0,0,0.003453626,0.005089633,0,0,0,0,0,0,0,0,0,0,0,0
PS 30:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 30:0,0.001323515,0.001243448,0.001625031,0.001657928,0,0,0,0,0,0,0.006713406,0.006610736,0.006025887,0.005205577,0,0
PS 32:1,0.04600084,0.045837099,0.029165367,0.030582469,0.01775537,0.017435144,0.013546243,0.013692654,0.048701147,0.051739314,0.065695133,0.064379598,0.057331929,0.057751353,0,0
PS 34:3,0.001744343,0.001688447,0,0,0,0,0.001121408,0,0,0,0,0,0,0,0,0
PS 34:2,0.083492888,0.084332533,0.020353743,0.02150618,0.023715394,0.024439478,0.022979152,0.022496751,0.084667324,0.085488118,0.054098624,0.053007047,0.048102835,0.046754227,0.026967184,0
PS 34:1,0.436498292,0.443132602,0.261388658,0.277265002,0.276574066,0.286891393,0.177427711,0.176779143,0.545801479,0.564937063,0.692084117,0.675569522,0.567414324,0.548414254,0.21308594,0.19306912
PS 36:4,0.023448964,0.022634571,0.012258342,0.017312912,0.008493071,0.007392776,0,0,0,0,0.021327575,0.0213899,0.019506973,0.016839905,0,0
PS 36:3,0.047270335,0.047741142,0.017013157,0.017476316,0.009831427,0.010190761,0.021766157,0.021705185,0.072660656,0.074836583,0.0484856,0.04680916,0.041689991,0.041906147,0.028498646,0.027289297
PS 36:2,0.711421942,0.720862593,0.22014388,0.237614779,0.228434939,0.238073771,0.190023635,0.187767295,0.87759136,0.900817762,0.538138933,0.518752665,0.433803265,0.421064972,0.3009629,0.265881925
PS 36:1,1.005237438,1.024469538,0.837823126,0.914781925,0.823067516,0.87493456,0.556658194,0.5482073,1.557438109,1.583020628,2.007494158,1.946774539,1.57356591,1.481193306,0.972897108,0.856099292
PS 38:6,0.010183625,0.010114353,0.003982462,0.004944951,0.003291321,0.003237121,0.0121337,0.012244766,0,0,0.003705009,0.005108632,0,0,0,0
PS 38:5,0.029731099,0.028943727,0.003620681,0.007169163,0.004229249,0.003397767,0,0,0,0,0.012876402,0.012214146,0.012068196,0.011116312,0,0
PS 38:4,0.075041974,0.073550904,0.105093532,0.130466506,0.056951098,0.055741328,0.137179288,0.136370668,0.066750599,0.071618129,0.214820182,0.206774606,0.176736442,0.169932366,0.147751125,0.132435732
PS 38:3,0.054788259,0.055399888,0.156774372,0.173175647,0.033818016,0.035957125,0.135735128,0.132674866,0.074334792,0.072582515,0.269868474,0.26523428,0.214848702,0.208804577,0.209464661,0.181500476
PS 38:1,0.009224283,0.010263537,0.028558418,0.032458767,0.07045908,0.077192863,0.008492156,0.007597924,0.02522927,0.027884798,0.070216255,0.067921124,0.050667763,0.049307974,0,0
PS 40:7,0,0.001113708,0.00591313,0.007939096,0.007243861,0.007133805,0.003019515,0.00272795,0,0,0.007563903,0,0,0,0,0
PS 40:6,0,0,0.057005704,0.067149141,0.046893579,0.049921098,0.104342496,0.101030329,0,0,0.046640248,0.045958069,0.039060886,0.036842974,0.123544206,0
PS 40:5,0.002406512,0.003082861,0.091508371,0.102111203,0.001732241,0,0.128427186,0.123744363,0,0.005430488,0.033548704,0.034444366,0.024968634,0.023618412,0.071938335,0.055425322
PS 40:4,0.015395946,0.015314362,0.091672739,0.104284489,0.022738119,0.023303751,0,0,0.016225939,0,0.120269693,0.117592852,0.094965751,0.091052813,0,0
PS 40:2,0.068937673,0.070337607,0.035371426,0.04038374,0.070081067,0.076364389,0,0,0.073690521,0.075821359,0.089055494,0.084962546,0.066709091,0.062620972,0,0
PS 40:1,0.010811224,0.011873689,0.013179353,0.014363882,0.070306016,0.07870371,0,0,0.024296699,0.022961442,0.033624903,0.029522491,0.023034703,0.019254878,0,0
PS 42:4,0,0,0.004698063,0.005584139,0,0.001027085,0,0,0,0,0.009145728,0.007086741,0,0,0,0
PS 42:3,0.010295447,0.010597401,0.006195388,0.007252532,0.004385473,0.004549083,0,0,0,0,0.011131217,0.010939925,0,0.005634286,0,0
PS 42:2,0.039002504,0.039294061,0.031318528,0.036352017,0.017163267,0.01936131,0,0,0.04080813,0.042772187,0.069145798,0.065198323,0.049217538,0.043746021,0,0
PS 42:1,0.012248151,0.01212457,0.015201602,0.016661804,0.037728689,0.041525506,0,0,0.023994458,0.020730273,0.038357107,0.035570789,0.025762958,0.020780353,0,0
PS 44:4,0,0,0.001446183,0.0017629,0,0,0,0,0,0,0,0,0,0,0,0
PS 44:3,0,0,0.003234184,0.003653636,0,0,0,0,0,0,0,0,0,0,0,0
PS 44:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 44:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 34:2;2,0,0,0,0,0,0.006601019,0,0,0,0,0,0,0,0,0,0
diHexCer 34:1;2,0.040980295,0.040007427,0.030424464,0.032491101,0.029191084,0.028174568,0.258601431,0.261496604,0.082089521,0.079958885,0.036638424,0.018695115,0.034845544,0.047469691,0.57839932,0.578786396
diHexCer 36:2;2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diHexCer 36:1;2,0,0,0,0,0.006932182,0.007048983,0.006520698,0.006784381,0,0,0,0,0,0,0,0
diHexCer 38:1;2,0,0,0.003633711,0,0,0,0.00466582,0.002976819,0,0,0,0,0,0,0,0
diHexCer 40:2;2,0,0,0,0,0,0,0.004129364,0.004307643,0,0,0,0,0,0,0,0
diHexCer 40:1;2,0,0,0.004251915,0.003446999,0.006929193,0.00726303,0.077007817,0.075634816,0,0,0,0,0,0,0.086465046,0.103729101
diHexCer 42:2;2,0.030009442,0.028076066,0.014491176,0.015606487,0.014562782,0.014930462,0.068671468,0.069531072,0.003758229,0.012794076,0,0.001327464,0.001745353,0.012327645,0.126918035,0.111658128
diHexCer 42:1;2,0.016453839,0.014164471,0.009033316,0.007047413,0.015347174,0.01396071,0.201687079,0.203912674,0.002068788,0,0,0,0,0,0.340450857,0.328694547
diHexCer 44:1;2,0,0,0,0,0,0,0.031523002,0.026249285,0,0,0,0,0,0,0,0
triHexCer 32:1;2,0,0.008474424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 34:1;2,0.510565913,0.505339053,0,0,0.012429944,0.021069141,0.024968839,0.014267635,0.648483592,0.513812828,0,0,0,0,0,0
triHexCer 36:1;2,0.001959348,0,0,0,0.003442825,0.003886517,0,0,0,0,0,0,0,0,0,0
triHexCer 36:0;2,0,0,0,0,0,0,0,0,0,0,0.005339463,0,0,0,0,0
triHexCer 40:1;2,0.078285043,0.077674872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triHexCer 42:2;2,0.437486985,0.425441007,0.024905812,0,0.040869066,0.037015492,0.027064781,0.023575061,0.261609241,0.161994205,0,0,0,0,0,0
triHexCer 42:0;2,0,0.25083042,0,0.172902685,0,0.105726054,0.157233495,0,0,0,0,0,0,0,0,0
triHexCer 44:2;2,0.01213,0.013103441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-16:1,0.0027513,0.002485877,0.032273295,0.034930052,0.037677251,0.035818094,0.017619008,0.019120038,0.009239357,0.001806155,0.001051427,0,0.003331945,0.004815554,0,0
LPC O-16:0,0.100267816,0.096700572,0.032003319,0.032261451,0.062461597,0.060632677,0.001794375,0.002431672,0.019680166,0.022063307,0,0,0,0,0,0
LPC O-18:3,0,0,0,0,0,0,0,0,0,0,0,0,0.026501614,0.026063637,0,0
LPC O-18:2,0.001638353,0.001616403,0.005246933,0.007430458,0.012807696,0.011135185,0,0,0,0,0,0,0.002700714,0.001430971,0,0
LPC O-18:1,0.044570515,0.044493512,0.019507117,0.021165258,0.044734,0.044607663,0.002198014,0.00185194,0,0,0.001117706,0.001243311,0.002393707,0.001180456,0.002016306,0
LPC O-18:0,0.002763689,0.001152172,0,0,0.018674988,0.016910713,0,0,0,0,0,0,0,0,0,0
LPC O-20:4,0,0,0.004793584,0.001539652,0,0,0,0,0,0,0,0,0.03270607,0.027661521,0,0
LPC O-20:3,0,0,0.001150263,0.002005847,0,0,0,0,0,0,0.011782836,0.007627782,0.129580874,0.171320327,0.133373954,0.091396348
LPC O-22:6,0,0,0,0,0,0,0,0,0.064933583,0.071716816,0,0,0,0,0,0
LPC O-22:5,0,0,0,0,0,0,0,0,0,0,0,0,0.01489517,0.003254349,0,0
LPC O-22:4,0,0,0,0,0,0,0,0,0,0,0,0,0.035487591,0.036815793,0,0
LPC 14:0,0.021732048,0.018403925,0.054859881,0.056222796,0.043899944,0.044358485,0.050885197,0.053433247,0.121057688,0.101088756,0.041577431,0.026970501,0.083252959,0.108723795,0.129487862,0.073546736
LPC 16:1,0.040355667,0.04070861,0.070234148,0.072692787,0.076956526,0.075235379,0.037351903,0.039350864,0,0,0.052818648,0.043282797,0.092345838,0.109788841,0.045638731,0.045131172
LPC 16:0,0.083566853,0.084624777,0.580822964,0.588250678,0.268802703,0.264319216,0.293594905,0.303182021,0.174645779,0.162064723,0.269735372,0.274431631,0.472929946,0.575988913,0.469775996,0.540053497
LPC 18:2,0.015371779,0.017846561,0.017440543,0.01811645,0.010036817,0.009911636,0.032378952,0.033470375,0,0,0.007886589,0.004032677,0.244500049,0.363338369,0.088459394,0.064138151
LPC 18:1,0.142272796,0.139463515,0.252381074,0.251844178,0.263689773,0.259101606,0.091078628,0.093788738,0,0,0.140606637,0.143315378,0.223129764,0.241899507,0.270903407,0.279454209
LPC 18:0,0,0,0.079108293,0.077125918,0.031516911,0.030145768,0.036123351,0.037717923,0.011811754,0,0.010634658,0.009276823,0.029858004,0.046624467,0.021521442,0.022849863
LPC 20:4,0,0,0.012134044,0.016362573,0.004888381,0.00357304,0.014600102,0.015302457,0,0,0.026920007,0,0.079202587,0.072796435,0,0
LPC 20:3,0,0,0.003956964,0.004207921,0,0,0.001057675,0.001043497,0,0,0,0,0,0,0,0
LPC 20:1,0,0,0.027790481,0.029344378,0.003476861,0.002950905,0,0,0,0,0,0,0,0,0,0
LPC 22:6,0,0,0.012258028,0.012078578,0.007621304,0,0,0,0,0,0,0,0,0,0,0
LPC 22:5,0.127152055,0.124963926,0.009795336,0.014512874,0,0,0.005174274,0.005847399,0,0,0,0,0,0,0,0
LPC 22:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE O-14:0,0,0,0.025684653,0,0,0,0,0,0,0,0,0,0,0,0,0.0030096
LPE O-16:1,0.174793167,0.171017959,0.128230362,0.125578669,0.14097504,0.134644023,0.087862222,0.086524858,0.084194775,0.076230259,0.028525545,0.031504382,0.024986227,0.038552738,0.061535409,0.049904002
LPE O-16:0,0.001470142,0.001345683,0,0,0.008088038,0.007225726,0,0,0,0,0,0,0,0,0,0
LPE O-18:2,0.055161629,0.053337816,0.043442642,0.045593703,0.063408512,0.059289077,0.013633327,0.012775546,0,0,0,0,0,0,0,0
LPE O-18:1,0.04782543,0.047123399,0.0617724,0.058650256,0.071580887,0.065942182,0.038781077,0.037841103,0,0,0.01069468,0.006853115,0.006472098,0.009752782,0.026102381,0
LPE O-18:0,0,0,0,0,0.002982853,0.001606544,0,0,0,0,0,0,0,0,0,0
LPE O-20:4,0,0,0.003720418,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE O-22:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001655385,0.002694114,0
LPE O-22:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE O-22:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 14:0,0,0,0,0,0,0,0.006110986,0.006117223,0,0,0,0,0,0.001060561,0,0
LPE 16:1,0.041403708,0.03890794,0.039174681,0.036178926,0.055741381,0.052872851,0.026635348,0.026455709,0,0,0.014350207,0.008383687,0.024863112,0.025841459,0.038152284,0.026770066
