mol%,MCF10A cells,MCF10A cells,HCC1954 cells,HCC1954 cells,HCC1419 cells,HCC1419 cells,SK BR3 cells,SK BR3 cells,MCF10A CM,MCF10A CM,HCC1954 CM,HCC1954 CM,HCC1419 CM,HCC1419 CM,SK BR3 CM,SK BR3 CM
LPA 16:1,0,0,0.001089115,0.001307246,0,0,0,0,0,0,0.001879242,0.002903599,0.002684574,0.002263217,0.002074821,0
LPA 16:0,0.001883687,0.001968791,0.009704611,0.01010731,0.007542759,0.007099398,0.011604844,0.011174169,0,0,0.001398113,0,0.001894085,0.001899096,0.027664027,0.031861705
LPA 18:2,0,0.00242101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:1,0,0,0,0,0,0,0.004241599,0.004282485,0,0,0,0,0,0,0,0
LPA 18:0,0.001670793,0.001884176,0.002718932,0.002831266,0.004490157,0.004468635,0.017344377,0.017578178,0,0.002715229,0.001617504,0.00338036,0.005395032,0.007637936,0.086894452,0.083329603
LPI O-16:0,0.012798921,0.012630612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:1,0.004251655,0.00454114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:0,0.010910099,0.010413513,0,0.001146387,0.002130987,0.002373484,0,0,0,0,0,0,0,0,0,0
LPI 16:1,0.02090104,0.019415113,0.01242081,0.012741796,0.010630989,0.010451398,0.0295738,0.02931597,0,0,0,0,0,0,0,0
LPI 16:0,0.021774052,0.021803376,0.058538235,0.059399587,0.021906182,0.02183941,0.057280144,0.057785395,0,0,0,0,0,0,0,0
LPI 18:2,0.004841585,0.005562359,0.006974358,0.005784512,0.014232509,0.014697634,0.037635664,0.037828103,0,0,0,0,0,0,0,0
LPI 18:1,0.1263415,0.12367935,0.092849278,0.097147982,0.13021509,0.128117779,0.137968738,0.139547673,0.011608788,0.008520002,0.002167618,0,0,0,0,0
LPI 18:0,0.379498387,0.378211499,0.628121692,0.650618373,0.449196149,0.445154032,0.260869295,0.265416904,0.242777508,0.251233743,0.169427747,0.1748907,0.153206053,0.157277435,0.021163044,0
LPI 20:4,0.017626698,0.018032159,0.065950944,0.068010489,0.11063473,0.10825329,0.159558708,0.159457277,0,0,0,0,0,0,0,0
LPI 22:6,0,0,0.010085146,0.009713166,0.010093953,0.008703332,0.039883922,0.041134192,0,0,0,0,0,0,0,0
LPI 22:5,0,0.002295956,0.027761147,0.028497917,0.006184326,0.00582427,0.052490507,0.052926746,0,0,0,0,0,0,0,0
LPI 22:4,0,0,0.052835033,0.052903023,0.001876674,0.001832654,0,0,0,0,0,0,0,0,0,0
LPS O-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS O-16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS O-18:2,0,0.001088988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 18:1,0.019562051,0.018939309,0.013850766,0.014504408,0.011783189,0.011584107,0.006278511,0.006298993,0,0,0.007651919,0.007266523,0.005220034,0,0.004920883,0
LPS 18:0,0.024510617,0.023993536,0.043868598,0.044254734,0.033880441,0.033330534,0.014990476,0.015116966,0,0,0.025210648,0.025282233,0.020586631,0.016996525,0.011349816,0
PA 28:0,0,0,0.00179023,0.001592,0.002160726,0.002085816,0.029433566,0.029804803,0,0,0,0,0,0,0,0
PA 30:1,0.001706811,0.001840983,0,0,0,0,0.01216106,0.012293572,0,0,0,0,0,0,0,0
PA 30:0,0,0,0.021316577,0.020707373,0.019522329,0.01971356,0.082704303,0.08280137,0,0,0,0,0,0,0.001626511,0
PA 32:2,0,0,0.002331935,0.002115897,0.003195902,0.002973319,0.006982447,0.006963983,0,0,0,0,0,0,0,0
PA 32:1,0.018795947,0.018129438,0.035735253,0.034434717,0.032279416,0.032035884,0.058001917,0.058800603,0.003823978,0,0.00558012,0.005647687,0.009128677,0.007553847,0.005995064,0
PA 32:0,0.002282674,0.001692022,0.071198843,0.06848622,0.059645021,0.059640545,0.069033475,0.069439962,0,0,0.017923,0.017815224,0.012290126,0.009923216,0.002280437,0
PA 34:2,0.023109522,0.033084101,0.015374346,0.015388513,0.020982237,0.020744746,0.031586993,0.031305389,0,0,0.003920352,0.004355077,0.001927486,0.001610949,0.01054634,0
PA 34:1,0.039787762,0.039389358,0.073158774,0.070378735,0.084834108,0.083956397,0.087395951,0.086642669,0.046481914,0.048586683,0.053903985,0.052728625,0.045704171,0.042577527,0.042306018,0.025681036
