mol%,BT 549 cells,BT 549 cells,HCC1599 cells,HCC1599 cells,HCC1143 cells,HCC1143 cells,SUM1315 cells,SUM1315 cells,HCC1937 cells,HCC1937 cells,BT 549 CM,BT 549 CM,HCC1599 CM,HCC1599 CM,HCC1143 CM,HCC1143 CM,SUM1315 CM,SUM1315 CM,HCC1937 CM,HCC1937 CM
LPA 16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001367616,0,0.001059625,0
LPA 16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-14:0,0,0,0,0,0,0,0,0,0,0,0,0,0.004034095,0.005548678,0.001518345,0.001917192,0.007885903,0.009880337,0.003877286,0
LPI O-16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI O-18:0,0,0,0,0.001227714,0,0,0,0.001144167,0,0,0,0,0,0,0,0,0,0.00102241,0,0
LPI 16:1,0.017179326,0.019534268,0.042629621,0.045348844,0,0,0.015736868,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 16:0,0.020102046,0.02081274,0.029447908,0.030991865,0.028624206,0.027000886,0.004066113,0.006491848,0.010411218,0.004285366,0,0,0.004552579,0,0.018111553,0.022647854,0,0,0,0.002203668
LPI 18:2,0.006269927,0.007703651,0.027834057,0.030162751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 18:1,0.175142837,0.190928438,0.44482822,0.483647737,0.045024094,0.043689854,0.058814124,0.061733305,0.032375793,0.030937554,0.044416068,0.044586815,0.029499892,0.029115357,0.012929411,0.011899945,0,0.045859967,0.003706967,0.003274136
LPI 18:0,0.709198181,0.760742033,0.308450812,0.332473085,0.508567932,0.507247797,0.437060709,0.428764676,0.270409976,0.275362934,0.474555274,0.471601772,0.152093714,0.144575891,0.301494359,0.310886037,0.66216355,0.679644637,0.133785713,0.134246563
LPI 20:4,0.125552521,0.134723365,0.610967656,0.666384116,0.051730979,0.052366993,0.081797217,0.082289425,0.041437473,0.040494786,0,0,0,0,0,0.011748844,0.01612942,0,0,0
LPI 22:6,0.036656296,0.037919738,0.048873846,0.053248195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 22:5,0.024587987,0.026558772,0.031024474,0.033477249,0,0,0.00544166,0,0,0,0,0,0,0,0,0,0,0,0,0
LPI 22:4,0.022125047,0.0262305,0.01295382,0.015046751,0,0,0.014308821,0,0,0.005679576,0,0,0,0,0,0,0,0,0,0
LPS O-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
