molPct,Lung_1,Lung_2
CE 14:0,0.006370949,0.001082011
CE 16:0,0.023989426,0.010063718
CE 16:1,0.112468351,0
CE 18:1,0.06601042,0.024442665
CE 18:2,0.060942391,0.036335225
CE 20:3,0.002242059,0
CE 20:4,0.064090883,0.08153399
Cer 34:1;2,0.095019619,0.075738484
Cer 36:1;2,0.01288633,0.022557907
Cer 40:1;2,0.011920836,0.01983982
Cer 42:1;2,0.15134132,0.083500589
Cer 42:2;2,0.103319382,0.090292701
Chol :,49.39277795,50.43205446
DAG 30:0,0.031197769,0.029745366
DAG 30:1,0.007887691,0.007657805
DAG 32:0,0.26253384,0.215364895
DAG 32:1,0.132630236,0.109556991
DAG 32:2,0.024152881,0.0108925
DAG 34:0,0.042458616,0.006963763
DAG 34:1,0.171786926,0.134646212
DAG 34:2,0.142824601,0.11555845
DAG 34:3,0.008609484,0.007767358
DAG 36:0,0.020161156,0
DAG 36:1,0.031036665,0
DAG 36:2,0.082142758,0.061216966
DAG 36:3,0.038861849,0.021104525
DAG 36:4,0.088190792,0.062198474
DAG 38:3,0.00100726,0.001787489
DAG 38:4,0.168879635,0.143173413
DAG 38:5,0.014001293,0.020078676
DAG 40:4,0.01358049,0.007468753
HexCer 42:1;2,0.003066507,0.023994948
LPA 16:0,0.017428961,0.015008236
LPA 18:0,0.007166044,0.006289672
LPA 18:1,0.01293856,0.009531912
LPC 14:0,0.003585415,0.003816205
LPC 16:0,0.580110752,0.62205067
LPC 16:1,0.11453139,0.153609495
LPC 18:0,0.177382038,0.194727772
LPC 18:1,0.032124792,0.038656121
LPC 18:2,0.18807976,0.298830003
LPC 20:4,0.09194422,0.098583187
LPC O-16:1,0.013696173,1.390481024
LPC O-18:1,0,0.445222415
LPC O-18:2,0,0.153524593
LPC O-18:3,0.007029536,0.286631642
LPC O-20:3,0.006712852,0.019572907
LPC O-20:4,0,0.001419779
LPC O-22:4,0,0.00588645
LPE 16:0,0.072733581,0.069758383
LPE 18:0,0.045278769,0.047068633
LPE 18:1,0.083111846,0.077947995
