molPct,Lung_1,Lung_2
LPE 18:2,0.034914965,0.032919133
LPE 20:4,0.322745648,0.278009553
LPE 22:4,0.106493928,0.087228313
LPE 22:5,0.04034256,0.032922359
LPE 22:6,0.084109081,0.071639044
LPE O-16:1,0.029921561,0.029801956
LPG 16:0,0.052890296,0.050950667
LPG 16:1,0.019176241,0.020052968
LPG 18:1,0.038441399,0.037904027
LPG 18:2,0.068111674,0.068577494
LPI 18:0,0.054117567,0.045793928
LPI 20:4,0.082486247,0.082914912
LPS 18:0,0.040998355,0.031765175
PA 32:0,0.033318367,0.02732822
PA 32:1,0.02735763,0.030782797
PA 34:1,0.036686753,0.028940923
PA 36:1,0.003847571,0.002945039
PA 36:2,0.005090149,0.004562754
PA 38:4,0.012055681,0.01082878
PA 40:4,0,0.00336724
PC 28:0,0.030569481,0.037655743
PC 30:0,2.091142869,1.993679502
PC 30:1,0.114521789,0.106324238
PC 32:0,14.72923082,13.89159071
PC 32:1,6.495883226,6.410857967
PC 32:2,0.242450717,0.232872346
PC 34:0,0.432521951,0.423700025
PC 34:1,3.230601252,3.166116319
PC 34:2,2.700160717,2.659365467
PC 34:3,1.30261489,0.880455353
PC 34:4,0.482409348,0.342535946
PC 36:1,0.335124029,0.324639386
PC 36:2,0.766919251,0.72225936
PC 36:4,1.9182983,1.808236223
PC 36:5,0.245668923,0.17221204
PC 38:2,0.021298817,0.028435703
PC 38:3,0.006790645,0.004604384
PC 38:4,0.987901127,0.948806622
PC 38:5,0.370633988,0.348612378
PC 40:4,0.09005019,0.077972196
PC 40:5,0.061593415,0.066286605
PC 40:6,0.116295653,0.116705017
PC 40:7,0.078472581,0.053201759
PC 40:8,0.027819089,0.003156647
PC 42:8,0,0.001590441
PC 42:9,0,0.001844207
PC O-30:0,0.002107705,0.005314959
PC O-30:1,0,0.002347157
PC O-32:0,0.091202215,0.086136779
PC O-32:1,0.413084895,0.379222406
PC O-34:1,0.114934142,0.109838027
PC O-34:2,0.069246817,0.068869061
PC O-36:1,0.003872534,0.004003007
PC O-36:2,0.023261541,0.024841772
PC O-36:3,0.001328462,0.003023836
PC O-36:4,0.14250725,0.132595104
PC O-36:5,0.096396267,0.104654252
PC O-38:4,0.040079109,0.048880573
PC O-38:6,0.007579491,0.002492581
PC O-40:5,0.002734013,0.003040108
PC O-40:6,0,0.001470832
PC O-40:7,0,0.002987804
PE 34:1,0.100602362,0.077699369
PE 36:4,0.22898148,0.184335301
PE 38:5,0.166151437,0.121964532
PG 30:0,0.017689032,0.015382074
PG 32:0,0.165540827,0.165026669
PG 32:1,0.100359315,0.089370777
PG 34:1,0.270646533,0.235163629
PG 34:2,0.411494071,0.365692458
PG 34:3,0.00959906,0.01054772
PG 36:2,0.031148958,0.027233648
PG 36:3,0.014644724,0.011335265
PG 36:4,0.116780119,0.101989112
PG 38:4,0.00952094,0.006968796
PG 38:5,0.018046861,0.016846707
PG 38:6,0.056921222,0.050406451
PI 34:1,0.005599467,0.005044994
PI 36:4,0.068809081,0.051271966
PI 38:4,0.267249672,0.192409062
PS 34:1,0.045735291,0.042867845
PS 36:1,0.196748864,0.184578195
PS 36:2,0.06929906,0.065112248
PS 38:3,0.046307596,0.04045142
PS 38:4,0.274125483,0.257437481
PS 40:4,0.119401049,0.109428329
SM 34:0;2,0.11127523,0.09761954
SM 34:1;2,2.212602486,1.917545121
SM 34:2;2,0.104379657,0.104760189
SM 36:1;2,0.396039691,0.323603845
SM 36:2;2,0.026504519,0.055787877
SM 38:2;2,0.025510143,0.048820808
SM 40:1;2,0.47442818,0.444501997
SM 40:2;2,0.202090334,0.19248764
SM 42:1;2,0.41430312,0.416895177
SM 42:2;2,1.398805894,1.39150839
CE,0.336114479,0.153457609
Cer,0.374487487,0.291929502
Chol,49.39277795,50.43205446
DAG,1.281943942,0.955181635
HexCer,0.003066507,0.023994948
LPA,0.037533566,0.03082982
LPC,1.187758367,1.410273452
LPC O-,0.027438561,2.302738809
LPE,0.789730378,0.697493412
LPE O-,0.029921561,0.029801956
LPG,0.17861961,0.177485155
LPI,0.136603814,0.12870884
LPS,0.040998355,0.031765175
PA,0.118356151,0.108755752
PC,36.87897307,34.82371659
PC O-,1.008334442,0.979718258
PE,0.49573528,0.383999203
PG,1.222391662,1.095963308
PI,0.341658221,0.248726022
PS,0.751617344,0.699875518
SM,5.365939254,4.993530584
