molPct,Peripheral Lobe Lung,Medulla Lobe Lung
CE 14:0,0.001318396,0.24532754
CE 16:0,0.004500041,0.568204229
CE 16:1,0.050476907,1.096257025
CE 18:0,0,0.015736887
CE 18:1,0.006397507,0.810475085
CE 18:2,0.021838215,0.275037277
CE 20:3,0,0.021034864
CE 20:4,0.010763714,0
Cer 32:1;2,0.004146873,0.02136777
Cer 34:0;2,0,0.054503016
Cer 34:1;2,0.089266903,0.14230827
Cer 34:2;2,0.003762164,0.033059158
Cer 36:1;2,0.014413804,0.076066851
Cer 36:2;2,0.001292268,0.016257455
Cer 38:1;2,0.001517523,0.061378635
Cer 40:1;2,0.010822143,0.074311799
Cer 40:2;2,0,0.021128157
Cer 42:1;2,0.115662747,0.139386752
Cer 42:2;2,0.092836004,0.131113382
Cer 44:1;2,0,0.009918452
Cer 44:2;2,0,0.002095475
Chol :,49.30284451,48.31653569
DAG 28:0,0,0.041335431
DAG 28:1,0,0.044601823
DAG 30:0,0.02131319,0.196258772
DAG 30:1,0.004825163,0.175887855
DAG 30:2,0,0.052149759
DAG 32:0,0.22381086,0.526739257
DAG 32:1,0.12484532,0.493171888
DAG 32:2,0.006614756,0.194345285
DAG 32:3,0,0.01217943
DAG 34:0,0,0.092869677
DAG 34:1,0.169761693,0.489687245
DAG 34:2,0.136321494,0.396403348
DAG 34:3,0.004285488,0.082584428
DAG 36:0,0,0.019999379
DAG 36:1,0,0.213749662
DAG 36:2,0.071467586,0.251102372
DAG 36:3,0.017334819,0.11812372
DAG 36:4,0.062862892,0.107177624
DAG 36:5,0,0.001144755
DAG 38:2,0.003029202,0.15513575
DAG 38:4,0.170346284,0.148987435
DAG 38:5,0.008332906,0.015325098
DAG 40:4,0.002821298,0.016097841
DAG 42:1,0,0.029635653
DAG 42:2,0,0.00129563
diHexCer 32:2;2,0.154860238,0.137876322
diHexCer 34:1;2,0,0.018499926
HexCer 34:1;2,0.067346373,0.054183526
HexCer 40:1;2,0.019826885,0.053811222
HexCer 42:1;2,0.051576359,0.024945766
HexCer 42:2;2,0.002387614,0.033225274
LPA 16:0,0.133821245,0.021707501
LPA 16:1,0.028461736,0
LPA 18:0,0.047040551,0.012916071
LPA 18:1,0.062209692,0
LPA 18:2,0.025750256,0.003079143
LPC 14:0,0.01993243,0.010055743
LPC 16:0,0.816086229,0.648497167
LPC 16:1,0.120699703,0.071543043
LPC 18:0,0.361866992,0.350490644
LPC 18:1,0.097460181,0.072351858
LPC 18:2,0.101076785,0.0554294
LPC 18:3,0.103164002,0.114187504
LPC 20:3,0.041012429,0.051871461
LPC 20:4,0.099195427,0.067495137
LPC 22:6,0.001147539,0.001287412
LPC O-16:0,0.009801126,0.003791828
LPC O-18:1,0.001482659,0
LPE 16:0,0.10588381,0.094503916
LPE 16:1,0.025338235,0.02330511
LPE 18:0,0.069249203,0.083020843
LPE 18:1,0.220544221,0.211489655
LPE 18:2,0.072158333,0.055223032
LPE 20:4,0.700278224,0.603321392
LPE 22:4,0.293526497,0.209935357
LPE 22:5,0.118862928,0.111102258
LPE 22:6,0.201810186,0.193720111
LPE O-16:1,0.02902624,0.02649106
LPE O-18:1,0,0.001459246
LPG 14:0,0.009757314,0.001767146
LPG 16:0,0.061024914,0.043614526
LPG 16:1,0.023704828,0.008665636
LPG 18:1,0.040204403,0.021090259
LPG 18:2,0.074102038,0.031956224
LPG 20:4,0.022774892,0.009344892
LPI 16:0,0.014027457,0.024368158
LPI 18:0,0.027919469,0.059808964
LPI 18:1,0,0.017081081
LPI 20:4,0.063270036,0.045257151
LPI O-14:0,0,0.002658928
LPI O-22:4,0,0.027923246
LPS 18:0,0.081187452,0.043077878
LPS 18:1,0.041945157,0.021705594
LPS 18:2,0.012519679,0
LPS 20:4,0.036997297,0
PA 32:0,0.017292178,0.043585682
PA 32:1,0.025211805,0.042390224
PA 34:1,0.028431315,0.036799089
PA 34:2,0.005651517,0.010302834
PA 36:1,0,0.002203863
PA 36:2,0,0.001918325
PA 36:4,0.036451678,0.008027601
PA 38:4,0,0.005899188
PC 28:0,0.067376667,0.044247229
PC 30:0,1.964811915,1.642347941
PC 30:1,0.08893353,0.079761193
PC 32:0,14.27957069,11.41843893
PC 32:1,5.472206623,4.693938623
PC 32:2,0.159408132,0.125586536
PC 34:1,2.820828524,2.478132956
PC 34:2,1.977937654,1.687409268
PC 34:3,1.043189186,1.188620083
PC 34:4,0.362193089,0.441141991
PC 36:1,0.294213882,0.326301557
PC 36:2,0.581511929,0.534680819
PC 36:4,1.322926907,1.25665961
PC 36:5,0.147123689,0.198651917
PC 38:2,0.007049594,0.004026626
PC 38:3,0.006917432,0.010107151
PC 38:4,0.667180718,0.62289896
PC 38:5,0.229394226,0.228355327
PC 40:2,0,0.001223286
PC 40:4,0.059292014,0.138296692
PC 40:5,0.035607338,0.026641948
PC 40:6,0.066886964,0.044449016
PC 40:7,0.03075261,0.02881857
PC 40:8,0,0.167453103
PC 42:5,0,0.008333088
PC 42:6,0,0.003866809
PC O-30:0,0.00201119,0
