molPct,Peripheral Lobe Lung,Medulla Lobe Lung
PC O-32:0,0.119617732,0.104493117
PC O-32:1,0.255623629,0.190857299
PC O-34:1,0.115868298,0.107203112
PC O-34:2,0.028375896,0.029080646
PC O-34:3,0.001313109,0.025907916
PC O-36:1,0.007915136,0
PC O-36:2,0.00665818,0.027931543
PC O-36:4,0.111689984,0.077639329
PC O-36:5,0.08194623,0.076258409
PC O-38:4,0.015968317,0
PC O-38:5,0.060704414,0.047700539
PC O-38:6,0.001656384,0.00115719
PC O-40:6,0,0.017107467
PC O-40:7,0,0.003918142
PC O-42:6,0,0.030175363
PE 32:0,0.031913702,0.014457685
PE 32:1,0.005168085,0.005962903
PE 34:1,0.296302535,0.278143685
PE 34:2,0.11581914,0.061556119
PE 34:3,0.001231057,0
PE 36:1,0.423588825,0.007327386
PE 36:2,0.236140142,0.207066552
PE 36:4,0.33105832,0.317643292
PE 36:5,0.006808132,0.011263628
PE 38:1,0.01885682,0
PE 38:4,0.742190779,0.746409595
PE 38:5,0.307710991,0.278364648
PE 38:6,0.134678635,0.112581158
PE 40:4,0.187714547,0.23103809
PE 40:5,0.11402335,0.122004154
PE 40:6,0.103226158,0.080348994
PE 40:7,0.108090478,0.077367104
PE 40:8,0,0.004527208
PE 42:7,0.003684993,0.001476117
PE O-34:2,0.111063374,0
PE O-36:2,0.013550353,0
PE O-36:4,0.00498514,0.003227946
PE O-36:5,0.476617873,0.452226757
PE O-38:4,0.012991121,0
PE O-38:5,0.554849693,0.441008284
PE O-38:6,0.204724606,0.158657966
PE O-40:6,0.054657941,0.013371512
PG 30:0,0.009134975,0.015834543
PG 32:0,0.143569226,0.195731062
PG 32:1,0.091041699,0.090576127
PG 34:1,0.251517917,0.260426954
PG 34:2,0.362958378,0.37973391
PG 34:3,0.001519379,0.009672937
PG 36:1,0,0.004132657
PG 36:2,0.022819592,0.031193383
PG 36:4,0.100228359,0.098849913
PG 38:4,0.002976653,0.009508762
PG 38:5,0.005574559,0.012780198
PG 38:6,0.05366825,0.045908721
PG 40:6,0,0.002417933
PG 40:7,0,0.002469979
PI 34:1,0,0.010242161
PI 34:2,0.006256728,0.026827784
PI 36:2,0,0.005772946
PI 36:4,0.029688979,0.058507057
PI 38:4,0.142522378,0.262993676
PI 38:5,0,0.024466353
PI 38:6,0,0.014570142
PS 34:1,0.022113766,0.043052955
PS 34:2,0,0.002624749
PS 36:1,0.184291604,0.24335773
PS 36:2,0.044850832,0.074566047
PS 36:4,0,0.006611395
PS 38:1,0,0.170312349
PS 38:4,0.244722543,0.263671526
PS 38:5,0,0.002294532
PS 40:1,0,0.041004687
PS 40:4,0.098924697,0.123860128
PS 40:5,0,0.06235586
PS 40:6,0,0.084665861
SM 32:2;2,0,0.676689586
SM 34:0;2,0.104557536,0.098912911
SM 34:1;2,2.26893551,2.071754477
SM 34:2;2,0.108383655,0.130409627
SM 36:0;2,0,0.003171121
SM 36:1;2,0.41060635,0.35175942
SM 36:2;2,0.039487616,0.063796325
SM 38:2;2,0.019971124,0.01112363
SM 40:1;2,0.513137787,0.410985937
SM 40:2;2,0.193852046,0.163253698
SM 42:0;2,0,0.00156166
SM 42:1;2,0.438743782,0.379339252
SM 42:2;2,1.402445055,1.252639972
CE,0.095294779,3.032072906
Cer,0.333720429,0.782895172
Chol,49.30284451,48.31653569
DAG,1.027972951,3.875989116
diHexCer,0.154860238,0.156376248
HexCer,0.141137231,0.166165788
LPA,0.29728348,0.037702715
LPC,1.761641717,1.443209371
LPC O-,0.011283785,0.003791828
LPE,1.807651637,1.585621674
LPE O-,0.02902624,0.027950306
LPG,0.231568389,0.116438682
LPI,0.105216961,0.146515354
LPI O-,0,0.030582173
LPS,0.172649585,0.064783472
PA,0.113038494,0.151126806
PC,31.68531331,27.40038921
PC O-,0.809348502,0.739430071
PE,3.168206688,2.557538318
PE O-,1.433440101,1.068492464
PG,1.045008988,1.159237078
PI,0.178468086,0.403380119
PS,0.594903442,1.118377819
SM,5.500120459,5.615397616
