NAME,ERROR,MASS,SPECIE,MODE,LENGTH,DB,OH_GROUP,PREC_01,PREC_02,PREC_03,PREC_04,PREC_05,PREC_06,PREC_07,PREC_08,PREC_09,PREC_10,PREC_11,PREC_12,MASSFRAG1,FRAG1_01,FRAG1_02,FRAG1_03,FRAG1_04,FRAG1_05,FRAG1_06,FRAG1_07,FRAG1_08,FRAG1_09,FRAG1_10,FRAG1_11,FRAG1_12,FRAG2_01,FRAG2_02,FRAG2_03,FRAG2_04,FRAG2_05,FRAG2_06,FRAG2_07,FRAG2_08,FRAG2_09,FRAG2_10,FRAG2_11,FRAG2_12,MASSFRAG2,FA1,MASSFA1,FA1_01,FA1_02,FA1_03,FA1_04,FA1_05,FA1_06,FA1_07,FA1_08,FA1_09,FA1_10,FA1_11,FA1_12,FA2,MASSFA2,FA2_01,FA2_02,FA2_03,FA2_04,FA2_05,FA2_06,FA2_07,FA2_08,FA2_09,FA2_10,FA2_11,FA2_12,FA3,MASSFA3,FA3_01,FA3_02,FA3_03,FA3_04,FA3_05,FA3_06,FA3_07,FA3_08,FA3_09,FA3_10,FA3_11,FA3_12,MASSNLS,NLS_01,NLS_02,NLS_03,NLS_04,NLS_05,NLS_06,NLS_07,NLS_08,NLS_09,NLS_10,NLS_11,NLS_12,QUAN_SCAN,SPECIE.GLOBAL,SPECIE.ALL
PA 32:1,4.8,645.4532,PA 16:1-16:0,0,32,1,0,0,0,19359.5,0,0,0,0,0,0,0,0,0,152.995,1109,2926.8,-1.5,690.9,-1.5,-1.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:01,253.2182,0,0,4646.3,0,0,0,0,0,0,0,0,0,16:00,255.2333,1293.2,3222.7,-1.5,1478.6,5316,3504,3616.5,2877.1,4340.2,3375.3,6905.8,3492.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:1-16:0,PA 16:1-16:0|PA 14:0-18:1
PA 32:0,2.4,647.4673,PA 16:0-16:0,0,32,0,0,29130.2,5015.7,6224.6,3991.9,0,946.1,894.8,0,0,0,0,0,152.995,3716.5,2283.9,3217.5,2464.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:00,255.2331,9058,4252.4,10081.9,3580.4,16926.1,8730.6,14711.4,2918.8,15577.2,10780.2,8533.2,12113.8,16:00,255.2331,9058,4252.4,10081.9,3580.4,16926.1,8730.6,14711.4,2918.8,15577.2,10780.2,8533.2,12113.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:0-16:0,PA 16:0-16:0
PA 34:2,2,671.467,PA 16:1-18:1,0,34,2,0,541683.1,376297.6,154569.4,212606.1,31512.1,47408.7,31513.5,0,0,0,0,0,152.9949,14883.3,6057.9,9383.2,5520.5,4256.7,3602.4,0,2635.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:01,253.2173,3345.4,0,3310.9,2573.9,12391.8,10336.7,3748.7,4037.3,0,0,0,0,18:01,281.2484,1519.3,2601.8,-1.6,0,2369.1,2822.8,1491.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:1-18:1,PA 16:1-18:1|PA 16:0-18:2
PA 34:1,2.8,673.4833,PA 16:0-18:1,0,34,1,0,722269,449256.1,212569.2,255866.8,160099.8,203862.6,180094,97032.1,0,0,0,0,152.995,15923,5857.2,10951.9,8907.9,4359.1,2349.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:00,255.2331,32719.7,18149,34672.3,21732,18318,16914.4,12013.6,4009.6,2480,0,3250.8,2648.9,18:01,281.2487,10586.5,4926.1,9274.4,7330.6,8728.5,7114.2,1615.8,2919.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:0-18:1,PA 16:0-18:1|PA 18:0-16:1
PA 34:0,5.8,675.5009,PA 16:0-18:0,0,34,0,0,784.2,0,0,0,0,0,0,0,0,0,0,0,152.9943,0,2085.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:00,255.2329,435.9,1307.9,2337.2,1582.6,2904.9,3054.3,2929.9,3228.5,3807.3,2916.3,2808.9,4078.8,18:00,283.2645,4172.2,0,3007.7,3372.4,12732.3,7611.5,10107.2,2615.5,15957.9,17254.3,11532.3,16101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:0-18:0,PA 16:0-18:0
PA 36:4,4.3,695.4687,PA 18:1-18:3,0,36,4,0,298874.2,231792,84854.5,124720.4,0,0,0,1565.4,0,0,0,0,152.995,11052.6,3977.4,4802,5428.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:01,281.2487,21673.8,9394.8,52171,19764.9,36346.5,20154.1,22520.8,3408.5,0,0,0,0,18:03,277.2165,3097.4,2850.9,2702.8,2757.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:0-20:4,PA 18:1-18:3|PA 18:2-18:2
PA 36:3,2.2,697.4829,PA 20:3-16:0,0,36,3,0,535177.3,361789.4,161581.9,211669.9,8726.7,11040,6394.9,5934.1,0,0,0,0,152.995,11802.8,3559.9,15724.6,5572.1,11464.3,9119.2,5678,2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:03,305.2503,0,0,5161.2,2735.1,0,0,0,0,0,0,0,0,16:00,255.233,8992.6,5394.4,16618.4,4054.9,7208.7,3403.6,3290.7,3559.8,3258.8,0,5193.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 18:1-18:2,PA 20:3-16:0|PA 18:1-18:2|PA 18:0-18:3
PA 36:2,3,699.4991,PA 20:2-16:0,0,36,2,0,522317.3,338582.4,135002.3,188378.1,128825.1,125960,110165.2,60394.4,0,0,0,0,152.995,12117.2,5790.1,11807.3,7327,-1.6,3687.6,-1.6,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:02,307.2635,0,0,2974.5,0,0,0,0,0,0,0,0,0,16:00,255.2327,7195.7,2967,6632.7,3646.1,3302.9,5799.3,4289.9,3562.6,0,0,0,3184.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 18:0-18:2,PA 20:2-16:0|PA 18:1-18:1|PA 18:0-18:2
PA 36:1,3.7,701.5153,PA 16:0-20:1,0,36,1,0,43561.3,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,0,0,0,0,152.9952,10100.5,2300.8,7833.1,2687.8,7347.9,3396.5,3809.4,0,0,0,0,2583.1,0,0,0,0,0,0,0,0,0,0,0,0,0,16:00,255.233,19641.6,13584,28135.6,15799.3,21025.1,18228.7,18737.9,4666.9,3972.9,4572.6,3781.8,7131,20:01,309.2775,0,2933.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:0-20:1,PA 16:0-20:1|PA 18:1-18:0
PA 38:6,5.2,719.4695,PA 18:2-20:4,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,152.9948,2941.7,3079.1,851.6,0,2175.8,0,3135.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:02,279.2323,3820.2,4756.6,8237.5,3023.6,0,3512.8,0,0,0,0,0,0,20:04,303.233,0,0,4293.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 16:0-22:6,PA 18:2-20:4
PA 38:5,2.7,721.4833,PA 20:3-18:2,0,38,5,0,166539.5,96008.6,32925.2,58175,0,0,0,0,0,0,0,0,152.9949,6552.7,3152.7,7292.4,6485.1,3216.8,2958.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:03,305.2489,21266,6834.8,47938.5,12295.5,0,0,0,0,0,0,0,0,18:02,279.233,5988.3,3506.3,6686,7630.9,1405.4,3789.2,2756.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 18:1-20:4,PA 20:3-18:2|PA 20:5-18:0|PA 20:2-18:3
PA 38:4,4,723.4999,PA 20:3-18:1,0,38,4,0,-1.6,-1.6,0,0,0,-1.6,-1.6,0,0,0,0,0,152.995,113152.8,70142.8,91823.5,94662.2,17799.7,16633.4,11514,3629,0,0,0,2904.3,0,0,0,0,0,0,0,0,0,0,0,0,0,20:03,305.2487,12515.7,5294.4,7357,7879.7,0,0,0,0,0,0,0,0,18:01,281.2486,23354.3,16125,27958.1,22546.5,18550.7,19027,10852.9,5661.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,PA 18:0-20:4,PA 20:3-18:1|PA 20:2-18:2|PA 20:1-18:3|PA 18:0-20:4
