NAME,ERROR,MASS,SPECIE,MODE,LENGTH,DB,OH_GROUP,PREC_01,PREC_02,PREC_03,MASSFRAG1,FRAG1_01,FRAG1_02,FRAG1_03,MASSFRAG2,FRAG2_01,FRAG2_02,FRAG2_03,FA1,MASSFA1,FA1_01,FA1_02,FA1_03,FA2,MASSFA2,FA2_01,FA2_02,FA2_03,FA3,MASSFA3,FA3_01,FA3_02,FA3_03,MASSNLS,NLS_01,NLS_02,NLS_03,QUAN_SCAN,SPECIE.GLOBAL,SPECIE.ALL,PMOL_PREC_01,PMOL_PREC_02,PMOL_BLNK_PREC_03,SUBT_PMOL_PREC_01,SUBT_PMOL_PREC_02,LOQ_SUBT_PMOL_PREC_01,LOQ_SUBT_PMOL_PREC_02,MOL_PCT_SPECIES_SUBT_PMOL_PREC_01,MOL_PCT_SPECIES_SUBT_PMOL_PREC_02,FILTERED_MOL_PCT_SPECIES_SUBT_PMOL_PREC_01,FILTERED_MOL_PCT_SPECIES_SUBT_PMOL_PREC_02,CLASS_PMOL_SUBT_PMOL_PREC_01,CLASS_PMOL_SUBT_PMOL_PREC_02,MOL_PCT_CLASS_SUBT_PMOL_PREC_01,MOL_PCT_CLASS_SUBT_PMOL_PREC_02
CerP 34:1;2,0.03ppm,616.4712,0,0,34,1,2,10835,4281.4,0,78.9575,18274.1,19842.8,3154.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,0,0.044975731369317,0.0187516492661108,0,0.044975731369317,0.0187516492661108,0,0,0,0,NA,NA,0.0475558512770861,0.0206504521549782,0.00147711999628626,0.000665562100249019
CerP 44:1;2,5.28ppm,756.6316,0,0,44,1,2,1122.4,908.2,554.3,78.9575,9371.5,12992.2,5505.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,0,0.00465904576732085,0.00397772874841917,0.00207892585955174,0.00258011990776911,0.00189880288886743,0,0,0,0,NA,NA,0.0475558512770861,0.0206504521549782,0.00147711999628626,0.000665562100249019
LPA 16:1,0.7,407.2207,LPA 16:1,0,16,1,0,0,315.8,0,0,9625.6,15501.7,0,0,0,0,0,16:1,253.2170,0,1086.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPA 16:1,0,0.00325761459675415,0,0,0.00325761459675415,0,0,0,0,NA,NA,0.111464730717656,0.209577907916405,0.00346217717067858,0.00675467595149055
LPA 16:0,-0.6,409.2358,LPA 16:0,0,16,0,0,9023.6,16768.6,419,0,5806.4,15547.1,1640.3,0,0,0,0,16:0,255.2327,2701.3,7559.7,14755.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPA 16:0,0.0939254088444935,0.172975415222076,0.00564850042424417,0.0882769084202493,0.167326914797832,0,0,0,0,NA,NA,0.111464730717656,0.209577907916405,0.00346217717067858,0.00675467595149055
LPA 18:1,-0.0,435.2517,LPA 18:1,0,18,1,0,3939.5,5152,4808.9,0,6939,12059,0,0,0,0,0,18:1,281.2486,5038.9,9445.0,1107.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPA 18:1,0.0410057125917463,0.0531451247703526,0.0648283381626439,0,0,0,0,0,0,NA,NA,0.111464730717656,0.209577907916405,0.00346217717067858,0.00675467595149055
LPA 18:0,-0.4,437.2672,LPA 18:0,0,18,0,0,2227.7,3780.1,0,0,7783.6,15516.4,0,0,0,0,0,18:0,283.2639,3939.9,9135.8,20126.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPA 18:0,0.0231878222974066,0.0389933785218187,0,0.0231878222974066,0.0389933785218187,0,0,0,0,NA,NA,0.111464730717656,0.209577907916405,0.00346217717067858,0.00675467595149055
LPEO- 16:1,-0.0,436.2833,LPEO- 16:1,0,16,1,0,115941.4,262374,0,196.0372,53896.4,139291.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPEO- 16:1,0.726387430854942,1.75346182634731,0,0.726387430854942,1.75346182634731,1,1,0,0,NA,NA,1.59856683999345,4.4172249251497,0.0496526711507362,0.142366737366872
LPEO- 18:2,0.6,462.2993,LPEO- 18:2,0,18,2,0,66719.8,158313.5,0,196.0373,29856.1,86835.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPEO- 18:2,0.418007925634463,1.0580190066296,0,0.418007925634463,1.0580190066296,0,1,0,0,NA,NA,1.59856683999345,4.4172249251497,0.0496526711507362,0.142366737366872
LPEO- 18:1,0,464.3147,LPEO- 18:1,0,18,1,0,72264.6,239383.5,0,196.0373,24638.9,130854.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPEO- 18:1,0.452746793947287,1.59981487917023,0,0.452746793947287,1.59981487917023,0,1,0,0,NA,NA,1.59856683999345,4.4172249251497,0.0496526711507362,0.142366737366872
LPEO- 18:0,0.6,466.3306,LPEO- 18:0,0,18,0,0,227.4,887.2,0,196.037,-1.3,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPEO- 18:0,0.00142468955676241,0.0059292130025663,0,0.00142468955676241,0.0059292130025663,0,0,0,0,NA,NA,1.59856683999345,4.4172249251497,0.0496526711507362,0.142366737366872
LPE 16:1,0.2,450.2627,LPE 16:1,0,16,1,0,1361.8,5911.8,0,196.0372,8696.4,26225,0,0,0,0,0,16:1,253.2170,8271.3,20073.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPE 16:1,0.00853184801406796,0.0395089285714286,0,0.00853184801406796,0.0395089285714286,0,0,0,0,NA,NA,1.48239762847454,3.4368998609923,0.046044369318695,0.110770954198025
LPE 16:0,0.2,452.2784,LPE 16:0,0,16,0,0,34817.7,79822.1,0,196.0374,6410.8,17806.4,0,0,0,0,0,16:0,255.2326,61380.2,197760.1,13200.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPE 16:0,0.218137262886925,0.533456078913601,0,0.218137262886925,0.533456078913601,0,0,0,0,NA,NA,1.48239762847454,3.4368998609923,0.046044369318695,0.110770954198025
LPE 18:1,0.1,478.294,LPE 18:1,0,18,1,0,39590,88995.8,0,196.0372,9612.4,20178.7,0,0,0,0,0,18:1,281.2485,78596.7,214611.8,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPE 18:1,0.248036321689639,0.594764488879384,0,0.248036321689639,0.594764488879384,0,0,0,0,NA,NA,1.48239762847454,3.4368998609923,0.046044369318695,0.110770954198025
LPE 18:0,0.1,480.3096,LPE 18:0,0,18,0,0,77439.6,211800.2,0,196.0373,17918.4,42462.7,0,0,0,0,0,18:0,283.2639,136786.8,452283.1,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPE 18:0,0.485168818820838,1.41547396278871,0,0.485168818820838,1.41547396278871,0,1,0,0,NA,NA,1.48239762847454,3.4368998609923,0.046044369318695,0.110770954198025
LPE 20:4,0.2,500.2784,LPE 20:4,0,20,4,0,30571,47694.1,0,196.0372,0,4769,0,0,0,0,0,20:4,303.2328,42003.2,60503.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPE 20:4,0.191531154088759,0.318742648631309,0,0.191531154088759,0.318742648631309,0,0,0,0,NA,NA,1.48239762847454,3.4368998609923,0.046044369318695,0.110770954198025
LPE 22:6,1.3,524.279,LPE 22:6,0,22,6,0,32798.3,49783,0,196.0374,0,1686.8,1562.9,0,0,0,0,22:6,327.2325,11171.9,15536.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,LPE 22:6,0.205485468291824,0.332702897775877,0,0.205485468291824,0.332702897775877,0,0,0,0,NA,NA,1.48239762847454,3.4368998609923,0.046044369318695,0.110770954198025
