QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,SPECIE,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE531_NEG_01.raw,FA2INTENS:mE531_NEG_02.raw,FA2INTENS:mE531_NEG_03.raw,FA2INTENS:mE531_NEG_04.raw,FA2INTENS:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE531_NEG_01.raw,FAOINTENS:mE531_NEG_02.raw,FAOINTENS:mE531_NEG_03.raw,FAOINTENS:mE531_NEG_04.raw,FAOINTENS:mE531_NEG_05.raw,NEG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISSHexCerNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSHexCerNegMS2,0.64ppm,H68 C36 S1 O11 N1 ,SHexCer,30,1,2,isSHexCer 30:1;2,722.4523,11073489.3,2716802.1,4799084.3,4700533.1,3287324.4,1320883.4,548620.7,569704.5,444454.1,304356.1,96.9587,1320883.4,548620.7,569704.5,444454.1,304356.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPANegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPANegMS2,0.1,H52 C27 O8 P1 ,PA,24,0,None, isPA 24:0,535.3406,6143522.4,4007329.8,7792080.3,5242627.1,545133.6,5097597.6,5429699,5338925.5,3211398.3,396586.9,152.9947,869919.9,887013.7,910847.7,538514,64964,isPA 12:0/12:0,12:0,199.1696,2548798.8,2714849.5,2669462.8,1605699.1,198293.5,12:0,199.1696,2548798.8,2714849.5,2669462.8,1605699.1,198293.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPANegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
