QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,SPECIE,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE531_NEG_01.raw,FA2INTENS:mE531_NEG_02.raw,FA2INTENS:mE531_NEG_03.raw,FA2INTENS:mE531_NEG_04.raw,FA2INTENS:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE531_NEG_01.raw,FAOINTENS:mE531_NEG_02.raw,FAOINTENS:mE531_NEG_03.raw,FAOINTENS:mE531_NEG_04.raw,FAOINTENS:mE531_NEG_05.raw,NEG
ISPANegMS2O,0.1,H52 C27 O8 P1 ,PA,24,0,None, isPAO- 24:0,535.3406,6143522.4,4007329.8,7792080.3,5242627.1,545133.6,5097597.6,5429699,5338925.5,3211398.3,396586.9,152.9947,869919.9,887013.7,910847.7,538514,64964,isPAO- 12:0/12:0,12:0,199.1696,2548798.8,2714849.5,2669462.8,1605699.1,198293.5,12:0,199.1696,2548798.8,2714849.5,2669462.8,1605699.1,198293.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPENegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPENegMS2,0.2,H57 C29 P1 O8 N1 ,PE,24,0,None, isPE 24:0,578.3828,3674063.7,1177402.7,1485024,1797607.8,1080854.9,3892078.9,2588524.4,1645365.5,1426461.4,1085480.1,196.0374,29682.2,28182.5,23742.7,14248.9,9707.7,isPE 12:0/12:0,12:0,199.1696,1946039.4,1294262.2,822682.7,713230.7,542740,12:0,199.1696,1946039.4,1294262.2,822682.7,713230.7,542740,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPENegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPENegMS2O,0.2,H57 C29 P1 O8 N1 ,PE,24,0,None, isPEO- 24:0,578.3828,3674063.7,1177402.7,1485024,1797607.8,1080854.9,3892078.9,2588524.4,1645365.5,1426461.4,1085480.1,196.0374,29682.2,28182.5,23742.7,14248.9,9707.7,isPEO- 12:0/12:0,12:0,199.1696,1946039.4,1294262.2,822682.7,713230.7,542740,12:0,199.1696,1946039.4,1294262.2,822682.7,713230.7,542740,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPGNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPGNegMS2,0.1,H58 C30 O10 P1 ,PG,24,0,None, isPG 24:0,609.3774,9650792.1,3003300.7,6868307.1,4583020.3,1832800.8,8636239.9,5257983,6553492.4,3091304,1481903.8,152.9947,313396.2,195073,232213.5,106584.8,50207.2,isPG 12:0/12:0,12:0,199.1696,4318119.9,2628991.5,3276746.2,1545652,740951.9,12:0,199.1696,4318119.9,2628991.5,3276746.2,1545652,740951.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPGNegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPGNegMS2O,0.1,H58 C30 O10 P1 ,PG,24,0,None, isPGO- 24:0,609.3774,9650792.1,3003300.7,6868307.1,4583020.3,1832800.8,8636239.9,5257983,6553492.4,3091304,1481903.8,152.9947,313396.2,195073,232213.5,106584.8,50207.2,isPGO- 12:0/12:0,12:0,199.1696,4318119.9,2628991.5,3276746.2,1545652,740951.9,12:0,199.1696,4318119.9,2628991.5,3276746.2,1545652,740951.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPINegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPINegMS2,0.1,H46 C25 O13 P1 ,PI,16,0,None, isPI 16:0,585.2682,9618201.9,3800218,6897887.9,4880930.3,1527208.3,4451432.3,3292723,3441659.8,1729966.7,769368.1,152.9947,285599.9,213583.3,247690.5,114840.2,50614.2,isPI 8:0/8:0,8:0,143.1066,2225716.1,1646361.5,1720829.9,864983.3,384684,8:0,143.1066,2225716.1,1646361.5,1720829.9,864983.3,384684,241.0115,592166,440822.4,456692.8,241726.9,100880.5,None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPINegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPINegMS2O,0.1,H46 C25 O13 P1 ,PI,16,0,None, isPIO- 16:0,585.2682,9618201.9,3800218,6897887.9,4880930.3,1527208.3,4451432.3,3292723,3441659.8,1729966.7,769368.1,152.9947,285599.9,213583.3,247690.5,114840.2,50614.2,isPIO- 8:0/8:0,8:0,143.1066,2225716.1,1646361.5,1720829.9,864983.3,384684,8:0,143.1066,2225716.1,1646361.5,1720829.9,864983.3,384684,241.0115,592166,440822.4,456692.8,241726.9,100880.5,None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPSNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPSNegMS2,0.1,H57 C30 P1 O10 N1 ,PS,24,0,None, isPS 24:0,622.3726,10683388.8,3851527.8,7635385.9,5295847.7,1736481.3,6730171.6,4353181.6,4733672.7,2570289.7,846985.4,,1106467.9,726477.9,785348.2,418061.3,143281,isPS 12:0 / 12:0,12:0,199.1696,3365085.8,2176590.8,2366836.3,1285144.9,423492.7,12:0,199.1696,3365085.8,2176590.8,2366836.3,1285144.9,423492.7,None, None, None, None, None, None,87.0322,661813.8,392484.7,455940,240632.7,94223.6,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISPSNegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPSNegMS2O,0.1,H57 C30 P1 O10 N1 ,PS,24,0,None, isPSO- 24:0,622.3726,10683388.8,3851527.8,7635385.9,5295847.7,1736481.3,6730171.6,4353181.6,4733672.7,2570289.7,846985.4,,1106467.9,726477.9,785348.2,418061.3,143281,isPSO- 12:0 / 12:0,12:0,199.1696,3365085.8,2176590.8,2366836.3,1285144.9,423492.7,12:0,199.1696,3365085.8,2176590.8,2366836.3,1285144.9,423492.7,None, None, None, None, None, None,87.0322,661813.8,392484.7,455940,240632.7,94223.6,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PINegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINegMS2,0.8,H66 C35 O13 P1 ,PI,26,0,None, PI 26:0,725.4252,5469.6,1358.6,2762.9,7504.1,4036.9,10325.8,4747.5,0,6025.3,0,152.9948,6610.4,15055.7,15006.4,14668.1,0,PI 12:0-14:0,12:1,199.1702,3593.2,1738.1,0,2406.1,0,14:1,227.2016,6732.6,3009.4,0,3619.1,0,241.0118,3773.3,4182,3967.4,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,2.4,H72 C39 O13 P1 ,PI,30,1,None, PI 30:1,779.4735,9778.7,0,0,32450.4,5574.8,0,0,0,-3.2,0,152.9951,-1.6,7483.1,-1.6,-1.6,0,PI 16:1-14:0,16:2,253.2175,0,0,0,-1.6,0,14:1,227.2015,0,0,0,-1.6,0,241.0109,0,0,0,4184,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,2.4,H72 C39 O13 P1 ,PI,30,1,None, PI 30:1,779.4735,9778.7,0,0,32450.4,5574.8,-1.6,-3.2,-3.2,-3.2,0,152.9951,-1.6,7483.1,-1.6,-1.6,0,PI 12:0-18:1,12:1,199.1694,-1.6,-1.6,-1.6,-1.6,0,18:2,281.2488,0,-1.6,-1.6,-1.6,0,241.0109,0,0,0,4184,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0,H74 C41 O13 P1 ,PI,32,2,None, PI 32:2,805.4872,0,0,-1.6,78762,0,0,0,-3.3,-3.3,0,152.9948,2358.5,-1.6,19177.6,7591.8,0,PI 16:1-16:1,16:2,253.2178,0,0,-1.6,-1.6,0,16:2,253.2178,0,0,-1.6,-1.6,0,241.0123,0,0,0,4094.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0,H74 C41 O13 P1 ,PI,32,2,None, PI 32:2,805.4872,0,0,-1.6,78762,0,0,0,80933.8,-3.3,0,152.9948,2358.5,-1.6,19177.6,7591.8,0,PI 14:0-18:2,14:1,227.201,0,0,0,-1.6,0,18:3,279.2327,0,0,80933.8,-1.6,0,241.0123,0,0,0,4094.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0,H74 C41 O13 P1 ,PI,32,2,None, PI 32:2,805.4872,0,0,-1.6,78762,0,1438.9,-1.6,-1.6,-3.3,0,152.9948,2358.5,-1.6,19177.6,7591.8,0,PI 14:1-18:1,14:2,225.186,0,0,0,-1.6,0,18:2,281.2481,1438.9,-1.6,-1.6,-1.6,0,241.0123,0,0,0,4094.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.2,H76 C41 O13 P1 ,PI,32,1,None, PI 32:1,807.5027,0,-1.6,-1.6,159139.4,0,7249.9,4474.8,-3.4,-3.4,0,152.995,-1.7,-1.7,-1.7,1720.5,0,PI 16:1-16:0,16:2,253.2168,0,4476.4,-1.7,-1.7,0,16:1,255.2329,7249.9,-1.7,-1.7,-1.7,0,241.0117,3643.2,0,6040.9,7543.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.2,H76 C41 O13 P1 ,PI,32,1,None, PI 32:1,807.5027,0,-1.6,-1.6,159139.4,0,0,8391,190482.3,-3.4,0,152.995,-1.7,-1.7,-1.7,1720.5,0,PI 14:0-18:1,14:1,227.2012,0,0,0,-1.7,0,18:2,281.2486,0,8391,190482.3,-1.7,0,241.0117,3643.2,0,6040.9,7543.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.2,H76 C41 O13 P1 ,PI,32,1,None, PI 32:1,807.5027,0,-1.6,-1.6,159139.4,0,2398.4,-1.7,-1.7,9378.1,0,152.995,-1.7,-1.7,-1.7,1720.5,0,PI 14:1-18:0,14:2,225.1855,0,0,0,3846.9,0,18:1,283.2645,2398.4,-1.7,-1.7,5531.2,0,241.0117,3643.2,0,6040.9,7543.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-1.9,H78 C41 O13 P1 ,PI,32,0,None, PI 32:0,809.5171,443.7,23490.5,512906,-1.7,0,-3.5,-3.5,-3.5,-3.5,7256.4,152.9949,-1.7,-1.7,-1.7,-1.7,0,PI 16:0-16:0,16:1,255.233,-1.7,-1.7,-1.7,-1.7,3628.2,16:1,255.233,-1.7,-1.7,-1.7,-1.7,3628.2,241.0118,0,4607.5,12918.7,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.2,H76 C43 O13 P1 ,PI,34,3,None, PI 34:3,831.5027,0,0,-1.7,76583.1,0,0,0,-1.7,-3.4,0,152.9947,4179.5,-1.7,-1.7,-1.7,0,PI 16:1-18:2,16:2,253.2173,0,0,0,-1.7,0,18:3,279.2327,0,0,-1.7,-1.7,0,241.0131,0,0,0,4550.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.2,H76 C43 O13 P1 ,PI,34,3,None, PI 34:3,831.5027,0,0,-1.7,76583.1,0,16596.1,1789.4,49737.8,843.4,0,152.9947,4179.5,-1.7,-1.7,-1.7,0,PI 16:0-18:3,16:1,255.2328,16596.1,1789.4,49737.8,845.1,0,18:4,277.2169,0,0,0,-1.7,0,241.0131,0,0,0,4550.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.2,H78 C43 O13 P1 ,PI,34,2,None, PI 34:2,833.5188,2730.2,-1.7,4298801.7,345986,0,-1.7,-1.7,-3.4,-3.4,0,152.9949,6045.7,-1.7,-1.7,-1.7,0,PI 16:1-18:1,16:2,253.2174,0,0,-1.7,-1.7,0,18:2,281.2484,-1.7,-1.7,-1.7,-1.7,0,241.0119,0,3403,139511.3,17983.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.2,H78 C43 O13 P1 ,PI,34,2,None, PI 34:2,833.5188,2730.2,-1.7,4298801.7,345986,0,-3.4,-1.7,-3.4,-3.4,3994,152.9949,6045.7,-1.7,-1.7,-1.7,0,PI 16:0-18:2,16:1,255.2329,-1.7,-1.7,-1.7,-1.7,3994,18:3,279.233,-1.7,0,-1.7,-1.7,0,241.0119,0,3403,139511.3,17983.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.1,H80 C43 O13 P1 ,PI,34,1,None, PI 34:1,835.5341,-1.7,-1.7,6279.9,336311.6,0,9366.9,-1.7,3779.1,50664.4,4449.5,152.995,-1.7,-1.7,-1.7,2746.2,163.4,PI 16:1-18:0,16:2,253.2175,0,0,3780.8,21580.1,0,18:1,283.2641,9366.9,-1.7,-1.7,29084.3,4449.5,241.0117,5505.1,17639.6,16314,20312.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.1,H80 C43 O13 P1 ,PI,34,1,None, PI 34:1,835.5341,-1.7,-1.7,6279.9,336311.6,0,9722.3,33787.1,-3.4,-3.4,0,152.995,-1.7,-1.7,-1.7,2746.2,163.4,PI 16:0-18:1,16:1,255.2329,9724,14208.1,-1.7,-1.7,0,18:2,281.2485,-1.7,19579,-1.7,-1.7,0,241.0117,5505.1,17639.6,16314,20312.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.9,H82 C43 O13 P1 ,PI,34,0,None, PI 34:0,837.5491,0,41916.1,301394.1,-1.7,0,1459,59107.8,-3.6,2961.3,4527.1,152.9948,-1.8,17627.6,-1.8,-1.8,0,PI 16:0-18:0,16:1,255.2325,-1.8,-1.8,-1.8,2963.1,4527.1,18:1,283.2643,1460.8,59109.6,-1.8,-1.8,0,241.012,0,-1.8,24379.6,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.4,H76 C45 O13 P1 ,PI,36,5,None, PI 36:5,855.5026,0,-1.7,-1.7,152678.9,0,0,1932.7,5691,475.2,0,152.995,2498.6,1149.7,-1.7,3114.1,3450.6,PI 16:1-20:4,16:2,253.2159,0,0,5692.7,475.2,0,20:5,303.2335,0,1932.7,-1.7,0,0,241.0123,0,3829.3,5703.5,6025.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,-0.4,H76 C45 O13 P1 ,PI,36,5,None, PI 36:5,855.5026,0,-1.7,-1.7,152678.9,0,0,0,1190.1,1724.6,0,152.995,2498.6,1149.7,-1.7,3114.1,3450.6,PI 18:2-18:3,18:3,279.233,0,0,1190.1,-1.7,0,18:4,277.2163,0,0,0,1726.3,0,241.0123,0,3829.3,5703.5,6025.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.8,H78 C45 O13 P1 ,PI,36,4,None, PI 36:4,857.5192,88858.1,1010593.5,8303695.6,261775.7,0,0,0,-3.5,-3.5,0,152.9949,-1.8,-1.8,-1.8,-1.8,0,PI 18:2-18:2,18:3,279.2332,0,0,-1.8,-1.8,0,18:3,279.2332,0,0,-1.8,-1.8,0,241.0117,5310.5,112709.9,544594.9,11060.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.8,H78 C45 O13 P1 ,PI,36,4,None, PI 36:4,857.5192,88858.1,1010593.5,8303695.6,261775.7,0,11439.2,271378,678819.7,11450,0,152.9949,-1.8,-1.8,-1.8,-1.8,0,PI 16:0-20:4,16:1,255.2329,10083.8,170921.3,457018.5,3973.5,0,20:5,303.2333,1355.4,100456.7,221801.2,7476.5,0,241.0117,5310.5,112709.9,544594.9,11060.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.8,H78 C45 O13 P1 ,PI,36,4,None, PI 36:4,857.5192,88858.1,1010593.5,8303695.6,261775.7,0,2630.3,713.5,-1.8,-3.5,0,152.9949,-1.8,-1.8,-1.8,-1.8,0,PI 18:1-18:3,18:2,281.2488,2630.3,713.5,-1.8,-1.8,0,18:4,277.2177,0,0,0,-1.8,0,241.0117,5310.5,112709.9,544594.9,11060.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.4,H80 C45 O13 P1 ,PI,36,3,None, PI 36:3,859.5354,910.9,0,1917883,825901.5,0,3501.9,4402.9,27660.1,10000.8,0,152.9949,-1.7,10635.2,47008.6,16498.9,0,PI 20:3-16:0,20:4,305.2456,0,4404.7,27661.8,0,0,16:1,255.2326,3501.9,-1.7,-1.7,10000.8,0,241.0118,0,-1.7,-1.7,31203.4,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.4,H80 C45 O13 P1 ,PI,36,3,None, PI 36:3,859.5354,910.9,0,1917883,825901.5,0,5306.3,7468.9,160850.7,88765.7,0,152.9949,-1.7,10635.2,47008.6,16498.9,0,PI 18:1-18:2,18:2,281.2487,5306.3,7468.9,76032.7,58430.8,0,18:3,279.2328,0,0,84818,30334.9,0,241.0118,0,-1.7,-1.7,31203.4,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.4,H80 C45 O13 P1 ,PI,36,3,None, PI 36:3,859.5354,910.9,0,1917883,825901.5,0,12558.1,8900.6,31667.1,26187.9,0,152.9949,-1.7,10635.2,47008.6,16498.9,0,PI 18:0-18:3,18:1,283.2641,12558.1,8900.6,26147.2,18255.3,0,18:4,277.2176,0,0,5519.9,7932.6,0,241.0118,0,-1.7,-1.7,31203.4,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,2.4,H82 C45 O13 P1 ,PI,36,2,None, PI 36:2,861.552,3111.1,54783.5,837521.8,1653485.6,0,15226.9,3597.8,-3.5,4463.3,0,152.9949,-1.7,-1.7,-1.7,37138.8,0,PI 20:2-16:0,20:3,307.2615,0,0,-1.7,0,0,16:1,255.2328,15226.9,3597.8,-1.7,4463.3,0,241.0116,0,3085.7,82270.8,72969.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,2.4,H82 C45 O13 P1 ,PI,36,2,None, PI 36:2,861.552,3111.1,54783.5,837521.8,1653485.6,0,7482.1,2358.6,-3.5,-3.5,0,152.9949,-1.7,-1.7,-1.7,37138.8,0,PI 18:1-18:1,18:2,281.2485,3741.1,1179.3,-1.7,-1.7,0,18:2,281.2485,3741.1,1179.3,-1.7,-1.7,0,241.0116,0,3085.7,82270.8,72969.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,2.4,H82 C45 O13 P1 ,PI,36,2,None, PI 36:2,861.552,3111.1,54783.5,837521.8,1653485.6,0,22793.6,7068.3,-3.5,79140.3,0,152.9949,-1.7,-1.7,-1.7,37138.8,0,PI 18:0-18:2,18:1,283.264,18187.2,7068.3,-1.7,57514.5,0,18:3,279.232,4606.3,0,-1.7,21625.8,0,241.0116,0,3085.7,82270.8,72969.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.3,H84 C45 O13 P1 ,PI,36,1,None, PI 36:1,863.5658,0,94393,202220.4,824956.1,0,8510,10723.1,-3.5,-1.8,0,152.9949,-1.8,-1.8,-1.8,19477.3,0,PI 16:0-20:1,16:1,255.233,8510,10723.1,-1.8,-1.8,0,20:2,309.2798,0,0,-1.8,0,0,241.0117,9735.6,14143.2,5063.7,33647.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,0.3,H84 C45 O13 P1 ,PI,36,1,None, PI 36:1,863.5658,0,94393,202220.4,824956.1,0,22722.9,-3.5,-3.5,101557.4,4202.1,152.9949,-1.8,-1.8,-1.8,19477.3,0,PI 18:1-18:0,18:2,281.2484,6452.2,-1.8,-1.8,37501.6,0,18:1,283.264,16270.7,-1.8,-1.8,64055.8,4202.1,241.0117,9735.6,14143.2,5063.7,33647.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
PINegMS2,1.1,H78 C47 O13 P1 ,PI,38,6,None, PI 38:6,881.5195,7826.3,319617.2,706509.5,487673.5,0,9550.5,-1.8,3470.5,35218.4,0,152.9949,909.2,15280,-1.8,9534.8,0,PI 20:5-18:1,20:6,301.2173,0,0,0,11562.2,0,18:2,281.2484,9550.5,-1.8,3470.5,23656.2,0,241.0116,0,40277.9,47299,23122.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None,
