QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,NEG
###,ISLPINegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPINegMS2O,H42 C22 O12 P1 ,0,LPI,13,0,isLPIO- 13:0,isLPIO- 13:0,529.242,6864568.1,4066767.4,4921922.7,5926335.2,2591769.3,1487441.4,1056879.2,754714.2,717065.5,194099.2,13:0,213.1852,1487441.4,1056879.2,754714.2,717065.5,194099.2,152.9946,988145.9,696015.6,487867.4,477772.5,125274.5,241.0113,571517.1,408768.9,287038.1,278422.2,74487.3,None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPSNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPSNegMS2,H43 C23 P1 O9 N1 ,-0.2,LPS,17,1,isLPS 17:1,isLPS 17:1,508.268,7075073.5,4146222.7,4943668,5437365.1,2263268.3,87518.7,62173.5,49739.5,40576.8,6964.4,17:1,267.2327,87518.7,62173.5,49739.5,40576.8,6964.4,,3875921.3,2607875.8,2011530.7,1670539.1,276971.6,None, None, None, None, None, None,87.0324,1107493.5,800672.5,621430.8,524882.1,96386.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,ISLPSNegMS2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLPSNegMS2O,H43 C23 P1 O9 N1 ,-0.2,LPS,17,1,isLPSO- 17:1,isLPSO- 17:1,508.268,7075073.5,4146222.7,4943668,5437365.1,2263268.3,87518.7,62173.5,49739.5,40576.8,6964.4,17:1,267.2327,87518.7,62173.5,49739.5,40576.8,6964.4,,3875921.3,2607875.8,2011530.7,1670539.1,276971.6,None, None, None, None, None, None,87.0324,1107493.5,800672.5,621430.8,524882.1,96386.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPAONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPAONegMS2,H32 C21 O6 P1 ,5.8,LPAO-,18,6,LPAO- 18:6 ,LPAO- 18:6 ,411.1966,0,0,1237.1,0,0,0,0,1237.1,0,0,None, None, None, None, None, None, None,152.9946,25386.6,11351.9,3593.2,11062.5,2656.2,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H34 C21 O6 P1 ,3.2,LPAO-,18,5,LPAO- 18:5 ,LPAO- 18:5 ,413.2112,0,1514.4,203.8,272.1,0,0,1514.4,203.8,272.1,0,None, None, None, None, None, None, None,152.9947,3535.4,1367.3,4012.4,2387.2,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H36 C21 O6 P1 ,1.8,LPAO-,18,4,LPAO- 18:4 ,LPAO- 18:4 ,415.2262,589.7,889.2,315,0,0,589.7,889.2,315,0,0,None, None, None, None, None, None, None,152.9944,0,1877.1,40375.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H38 C21 O6 P1 ,-6,LPAO-,18,3,LPAO- 18:3 ,LPAO- 18:3 ,417.2386,326.9,0,0,0,491.9,326.9,0,0,0,491.9,None, None, None, None, None, None, None,152.9947,0,14641.7,11630.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H40 C21 O6 P1 ,0.8,LPAO-,18,2,LPAO- 18:2 ,LPAO- 18:2 ,419.2572,892.5,3338.7,28426.4,10044.1,1330.6,892.5,3338.7,28426.4,10044.1,1330.6,None, None, None, None, None, None, None,152.9949,2372.4,3411.9,7118.2,2495.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H42 C21 O6 P1 ,0.1,LPAO-,18,1,LPAO- 18:1 ,LPAO- 18:1 ,421.2725,0,3696,3680.3,942,1607.4,0,3696,3680.3,942,1607.4,None, None, None, None, None, None, None,152.9947,164884.8,165923.6,105450.9,87136.6,17783.6,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H38 C23 O6 P1 ,3.1,LPAO-,20,5,LPAO- 20:5 ,LPAO- 20:5 ,441.2425,215.7,0,887.3,0,0,215.7,0,887.3,0,0,None, None, None, None, None, None, None,152.9947,84.2,1303,2981.6,-1.3,281.2,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H40 C23 O6 P1 ,1.4,LPAO-,20,4,LPAO- 20:4 ,LPAO- 20:4 ,443.2574,815.4,1846.4,904.2,586.7,421,815.4,1846.4,904.2,586.7,421,None, None, None, None, None, None, None,152.9953,1966.5,2884.3,6781.3,2375.6,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H42 C23 O6 P1 ,-0.1,LPAO-,20,3,LPAO- 20:3 ,LPAO- 20:3 ,445.2724,0,186.4,205.5,0,0,0,186.4,205.5,0,0,None, None, None, None, None, None, None,152.9948,43876.7,14828.3,13124.9,43219.6,4425.2,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H44 C23 O6 P1 ,-1.3,LPAO-,20,2,LPAO- 20:2 ,LPAO- 20:2 ,447.2875,0,257,3939,0,295,0,257,3939,0,295,None, None, None, None, None, None, None,152.9949,0,3302.1,8945.9,237.2,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H46 C23 O6 P1 ,-0.7,LPAO-,20,1,LPAO- 20:1 ,LPAO- 20:1 ,449.3034,0,778.8,1826.2,0,566.3,0,778.8,1826.2,0,566.3,None, None, None, None, None, None, None,152.9951,7548.5,2737.5,11948.1,4426.6,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H48 C23 O6 P1 ,-6.1,LPAO-,20,0,LPAO- 20:0 ,LPAO- 20:0 ,451.3167,0,1955.5,462.9,1070.4,462.8,0,1955.5,462.9,1070.4,462.8,None, None, None, None, None, None, None,152.9949,12339.3,9223.6,12362.6,9555.5,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H42 C25 O6 P1 ,3.7,LPAO-,22,5,LPAO- 22:5 ,LPAO- 22:5 ,469.2742,0,0,408.2,0,-1.3,0,0,408.2,0,-1.3,None, None, None, None, None, None, None,152.9951,2116.5,7770.5,8152.8,1577.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H48 C25 O6 P1 ,3.3,LPAO-,22,2,LPAO- 22:2 ,LPAO- 22:2 ,475.321,17669.2,9971.4,12756.4,16296.8,4225.8,17669.2,9971.4,12756.4,16296.8,4225.8,None, None, None, None, None, None, None,152.9954,2117.3,2453.6,5994.3,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H50 C25 O6 P1 ,0.2,LPAO-,22,1,LPAO- 22:1 ,LPAO- 22:1 ,477.3351,-1.4,17,3994.6,0,977.9,-1.4,17,3994.6,0,977.9,None, None, None, None, None, None, None,152.995,2852.4,2411.1,3053.1,2146.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H52 C25 O6 P1 ,-1.8,LPAO-,22,0,LPAO- 22:0 ,LPAO- 22:0 ,479.3498,0,0,405.2,0,0,0,0,405.2,0,0,None, None, None, None, None, None, None,152.9948,2400.6,-1.3,-1.3,1401.4,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H50 C27 O6 P1 ,-2.9,LPAO-,24,3,LPAO- 24:3 ,LPAO- 24:3 ,501.3336,0,262.3,0,0,0,0,262.3,0,0,0,None, None, None, None, None, None, None,152.995,-1.4,-1.4,-1.4,-1.4,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H52 C27 O6 P1 ,-2.6,LPAO-,24,2,LPAO- 24:2 ,LPAO- 24:2 ,503.3494,0,814.1,330.7,330.9,0,0,814.1,330.7,330.9,0,None, None, None, None, None, None, None,152.995,9083.9,10174.5,1579.3,9757.5,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H54 C27 O6 P1 ,-0.1,LPAO-,24,1,LPAO- 24:1 ,LPAO- 24:1 ,505.3663,0,0,5670.1,0,338.2,0,0,5670.1,0,338.2,None, None, None, None, None, None, None,152.995,8062.6,142793.7,3343.7,6636.9,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPAONegMS2,H56 C27 O6 P1 ,0.6,LPAO-,24,0,LPAO- 24:0 ,LPAO- 24:0 ,507.3823,0,243,0,0,0,0,243,0,0,0,None, None, None, None, None, None, None,152.9947,55973.6,10242.4,29353.5,33734.3,5421.6,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPANegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPANegMS2,H38 C19 O7 P1 ,-0.2,LPA,16,0,LPA 16:0,LPA 16:0,409.236,11802.1,99129.4,564938.9,8978.2,986.2,19541.5,18588,20876,7831.8,6215,16:0,255.2327,19541.5,18588,20876,7831.8,6215,,40352.8,26140,293438.3,18175.9,4236.7,None, None, None, None, None, None, None, None, None, None, None, None,
LPANegMS2,H38 C21 O7 P1 ,0.2,LPA,18,2,LPA 18:2,LPA 18:2,433.2361,0,3631.9,89306.7,5694.5,0,0,0,2191.1,0,0,18:2,279.2334,0,0,2191.1,0,0,,4080.4,2054.9,52145.8,7682,0,None, None, None, None, None, None, None, None, None, None, None, None,
