QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,NEG
LPENegMS2,H43 C23 N1 O7 P1 ,0.1,LPE,18,2,LPE 18:2,LPE 18:2,476.2783,25597.2,18631.7,359863.8,289747.7,535.7,27350.5,23455.7,148170.4,109673.6,0,18:2,279.2326,27350.5,23455.7,148170.4,109673.6,0,196.0375,9112,2335.9,12650.6,10141.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H45 C23 N1 O7 P1 ,0,LPE,18,1,LPE 18:1,LPE 18:1,478.2939,112916.4,1701127.5,1020788.8,554320.7,10012.7,69728,1276686.9,414927.5,202857.7,2434.7,18:1,281.2483,69728,1276686.9,414927.5,202857.7,2434.7,196.0373,5294.6,36830.7,31124.2,10377.2,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H47 C23 N1 O7 P1 ,0.1,LPE,18,0,LPE 18:0,LPE 18:0,480.3096,151148.1,560752.2,682538.5,123840.6,4845.5,77528,322540,171240.3,26984.7,4348.5,18:0,283.2637,77528,322540,171240.3,26984.7,4348.5,196.037,9001,26526.5,11896.1,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H41 C25 N1 O7 P1 ,-0.1,LPE,20,5,LPE 20:5,LPE 20:5,498.2626,395.9,0,1884.6,1757653.6,1057.6,0,0,3435.9,215822,0,20:5,301.2172,0,0,3435.9,215822,0,196.0373,0,0,2428.3,33669.9,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H43 C25 N1 O7 P1 ,0.1,LPE,20,4,LPE 20:4,LPE 20:4,500.2783,379027.7,1194151.4,2312506.1,391690.7,3528.7,118006,478296.9,457870.2,100381.7,0,20:4,303.2328,118006,478296.9,457870.2,100381.7,0,196.0372,17842.5,33246.6,62035.8,13460.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H45 C25 N1 O7 P1 ,1.4,LPE,20,3,LPE 20:3,LPE 20:3,502.2946,411703.6,86385.2,103123.8,147740,0,3000.2,45642.3,29974.5,42529.1,0,20:3,305.2461,3000.2,45642.3,29974.5,42529.1,0,196.0376,2506.3,4436.8,2433.6,4987.6,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H49 C25 N1 O7 P1 ,0.1,LPE,20,1,LPE 20:1,LPE 20:1,506.3253,0,600353.7,45093.6,3751.1,0,2339.7,406775.1,9545.5,5947.3,0,20:1,309.28,2339.7,406775.1,9545.5,5947.3,0,196.0373,0,14365,3328,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H51 C25 N1 O7 P1 ,-0.2,LPE,20,0,LPE 20:0,LPE 20:0,508.3408,0,27806.6,116795.5,0,0,0,27796.6,0,0,0,20:0,311.2936,0,27796.6,0,0,0,196.0371,178207.6,37147.5,23442.7,109807,24138.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H43 C27 N1 O7 P1 ,0.7,LPE,22,6,LPE 22:6,LPE 22:6,524.2786,176959.4,2740465.8,1147241.5,66725.3,0,26378.1,466168.4,110180.3,3168.7,0,22:6,327.2329,26378.1,466168.4,110180.3,3168.7,0,196.0372,13109.7,80715.9,50755.4,5283.3,2409.8,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H45 C27 N1 O7 P1 ,1.3,LPE,22,5,LPE 22:5,LPE 22:5,526.2946,384.3,58661.8,350614,991033.9,0,3353.3,34508.1,63402,165213.1,0,22:5,329.2474,3353.3,34508.1,63402,165213.1,0,196.0374,10211.6,-1.4,6119.1,19350.9,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H47 C27 N1 O7 P1 ,0.7,LPE,22,4,LPE 22:4,LPE 22:4,528.31,2339,851431,828850.2,45440.1,0,4837.7,392893.5,216726.1,17031.6,0,22:4,331.2639,4837.7,392893.5,216726.1,17031.6,0,196.0372,1669.4,19580.8,17947.6,1918.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H51 C27 N1 O7 P1 ,-2.1,LPE,22,2,LPE 22:2,LPE 22:2,532.3397,0,-1.4,1053.1,0,0,0,10672.5,0,0,0,22:2,335.2958,0,10672.5,0,0,0,196.0375,10159.8,8906.8,3208.9,2246.6,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H53 C27 N1 O7 P1 ,-0.1,LPE,22,1,LPE 22:1,LPE 22:1,534.3565,0,30228,0,0,0,0,32486.2,0,0,0,22:1,337.3114,0,32486.2,0,0,0,196.0377,2640,3994.6,0,2178.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H47 C29 N1 O7 P1 ,0.2,LPE,24,6,LPE 24:6,LPE 24:6,552.3097,0,1608.2,0,3263.3,0,0,0,0,3276.2,0,24:6,355.2664,0,0,0,3276.2,0,196.0374,9976.2,14071.9,2822.8,2956.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H49 C29 N1 O7 P1 ,-1.4,LPE,24,5,LPE 24:5,LPE 24:5,554.3244,0,5962.2,17286.3,512.4,0,0,0,3967.6,0,0,24:5,357.2799,0,0,3967.6,0,0,196.0382,1306,1552.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H51 C29 N1 O7 P1 ,-0.6,LPE,24,4,LPE 24:4,LPE 24:4,556.3405,0,6165.7,377.2,0,0,0,10972.6,3598.6,0,0,24:4,359.2958,0,10972.6,3598.6,0,0,196.0376,0,3074.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPGONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPGONegMS2,H36 C20 O8 P1 ,-1,LPGO-,14,3,LPGO- 14:3,LPGO- 14:3,435.2149,0,87672.5,2646,321,538.4,0,87672.5,2646,321,538.4,None, None, None, None, None, None, None,152.9948,4410.2,38463.9,50284.5,15196.7,2041.5,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H38 C20 O8 P1 ,-1.1,LPGO-,14,2,LPGO- 14:2,LPGO- 14:2,437.2305,932.9,1816.1,7630.3,253.2,1332.7,932.9,1816.1,7630.3,253.2,1332.7,None, None, None, None, None, None, None,152.9949,13784.1,41683.9,153185.4,13033.5,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H40 C20 O8 P1 ,-1.7,LPGO-,14,1,LPGO- 14:1,LPGO- 14:1,439.2459,0,3834.4,2366.8,0,2500.7,0,3834.4,2366.8,0,2500.7,None, None, None, None, None, None, None,152.9946,5506.2,2056,-1.3,1880.5,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H36 C22 O8 P1 ,-1.5,LPGO-,16,5,LPGO- 16:5,LPGO- 16:5,459.2146,0,258.2,0,0,0,0,258.2,0,0,0,None, None, None, None, None, None, None,152.9947,47523.4,112015.4,51272,47941.4,6502.1,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H40 C22 O8 P1 ,-3.8,LPGO-,16,3,LPGO- 16:3,LPGO- 16:3,463.2449,0,57940.2,0,0,220.1,0,57940.2,0,0,220.1,None, None, None, None, None, None, None,152.9949,-1.3,24886.1,9083.7,1607,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H42 C22 O8 P1 ,0.3,LPGO-,16,2,LPGO- 16:2,LPGO- 16:2,465.2624,0,2324,1999.4,411.9,235.6,0,2324,1999.4,411.9,235.6,None, None, None, None, None, None, None,152.995,-1.3,-1.3,-1.3,-1.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H44 C22 O8 P1 ,-0.3,LPGO-,16,1,LPGO- 16:1,LPGO- 16:1,467.2778,0,4416.2,805.1,0,1796.2,0,4416.2,805.1,0,1796.2,None, None, None, None, None, None, None,152.9953,3167,409.8,11416.4,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H46 C22 O8 P1 ,-0.4,LPGO-,16,0,LPGO- 16:0,LPGO- 16:0,469.2934,717.4,799.9,0,0,0,717.4,799.9,0,0,0,None, None, None, None, None, None, None,152.9951,2116.5,7770.5,8152.8,1577.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H36 C24 O8 P1 ,1.3,LPGO-,18,7,LPGO- 18:7,LPGO- 18:7,483.216,0,274.7,313.1,0,0,0,274.7,313.1,0,0,None, None, None, None, None, None, None,152.9947,16721,35525.1,13893.2,18681.4,1287.9,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H46 C24 O8 P1 ,0.3,LPGO-,18,2,LPGO- 18:2,LPGO- 18:2,493.2937,468.7,3943.2,1816.2,295.6,0,468.7,3943.2,1816.2,295.6,0,None, None, None, None, None, None, None,152.9953,3809,4847.7,4574.8,2332.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H50 C24 O8 P1 ,2.5,LPGO-,18,0,LPGO- 18:0,LPGO- 18:0,497.3261,0,2669.3,0,313.1,0,0,2669.3,0,313.1,0,None, None, None, None, None, None, None,152.9947,-1.4,14159.5,2600,670,-1.4,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H46 C26 O8 P1 ,2.6,LPGO-,20,4,LPGO- 20:4,LPGO- 20:4,517.2949,0,659,3534.4,1409.2,0,0,659,3534.4,1409.2,0,None, None, None, None, None, None, None,152.9947,64324.8,16424.9,11542.7,35595.9,6206.7,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H48 C26 O8 P1 ,-2.2,LPGO-,20,3,LPGO- 20:3,LPGO- 20:3,519.3081,0,0,350.9,0,0,0,0,350.9,0,0,None, None, None, None, None, None, None,152.9951,-1.4,6242.3,5151.2,2205.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H50 C26 O8 P1 ,0.5,LPGO-,20,2,LPGO- 20:2,LPGO- 20:2,521.3251,0,2952.4,15655.2,0,0,0,2952.4,15655.2,0,0,None, None, None, None, None, None, None,152.9947,40598.2,37756.5,-1.4,46681.4,5663.8,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H52 C26 O8 P1 ,2.3,LPGO-,20,1,LPGO- 20:1,LPGO- 20:1,523.3417,0,0,869.7,0,0,0,0,869.7,0,0,None, None, None, None, None, None, None,152.9949,4631,-1.4,-1.4,-1.4,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H54 C26 O8 P1 ,-2.5,LPGO-,20,0,LPGO- 20:0,LPGO- 20:0,525.3549,419.8,0,0,0,0,419.8,0,0,0,0,None, None, None, None, None, None, None,152.9947,-1.3,-1.3,-1.3,-1.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H54 C28 O8 P1 ,0.3,LPGO-,22,2,LPGO- 22:2,LPGO- 22:2,549.3563,1372.9,1381.5,16490.4,1384.2,220.5,1372.9,1381.5,16490.4,1384.2,220.5,None, None, None, None, None, None, None,152.995,4106.6,7575,-1.4,3478.4,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGONegMS2,H56 C28 O8 P1 ,4.1,LPGO-,22,1,LPGO- 22:1,LPGO- 22:1,551.3741,0,0,775.9,0,0,0,0,775.9,0,0,None, None, None, None, None, None, None,152.9947,28595.4,3475.9,2230.4,16104.4,3314.3,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPGNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPGNegMS2,H38 C20 O9 P1 ,0,LPG,14,1,LPG 14:1,LPG 14:1,453.2259,0,1303.1,3111.7,0,302.2,0,0,1610,0,0,14:1,225.1827,0,0,1610,0,0,152.995,0,716.8,3629.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H40 C20 O9 P1 ,0.2,LPG,14,0,LPG 14:0,LPG 14:0,455.2416,354472.2,174260,261357.1,256754.9,122392,188411.2,114592.1,106449.4,79582.1,34177.8,14:0,227.201,188411.2,114592.1,106449.4,79582.1,34177.8,152.9948,35663.8,18384.1,17886.9,17111.7,8642.1,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H42 C22 O9 P1 ,-0.7,LPG,16,1,LPG 16:1,LPG 16:1,481.2569,0,816.7,1896.2,1179.9,-1.3,3761.6,3672.9,3568.5,2516.2,0,16:1,253.2174,3761.6,3672.9,3568.5,2516.2,0,152.9946,50987.6,86608.5,31917.9,52260.7,6213,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H44 C22 O9 P1 ,-0.6,LPG,16,0,LPG 16:0,LPG 16:0,483.2726,9372.3,35835.3,6660.5,1994.5,542.7,270308.8,138074,127321.1,124668.6,58640.9,16:0,255.2325,270308.8,138074,127321.1,124668.6,58640.9,152.9947,16721,35525.1,13893.2,18681.4,1287.9,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H42 C24 O9 P1 ,-1.4,LPG,18,3,LPG 18:3,LPG 18:3,505.2565,0,228686.6,1210.1,21650.6,0,0,0,0,9684.9,0,18:3,277.2174,0,0,0,9684.9,0,152.995,8062.6,142793.7,3343.7,6636.9,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H44 C24 O9 P1 ,0,LPG,18,2,LPG 18:2,LPG 18:2,507.2729,874.3,921.1,65555,40094.1,0,15797.8,2967.6,32710.7,17745.2,0,18:2,279.2328,15797.8,2967.6,32710.7,17745.2,0,152.9947,55973.6,10242.4,29353.5,33734.3,5421.6,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H46 C24 O9 P1 ,0,LPG,18,1,LPG 18:1,LPG 18:1,509.2885,0,52152.4,103116.4,108146.7,0,55361.5,74471.4,83361.1,66898.8,8546,18:1,281.2483,55361.5,74471.4,83361.1,66898.8,8546,152.9946,-1.3,-1.3,-1.3,-1.3,-1.3,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H48 C24 O9 P1 ,-0.4,LPG,18,0,LPG 18:0,LPG 18:0,511.3039,0,1242.4,698.5,0,0,219742.4,100691.6,111016.5,120534.3,49275,18:0,283.2636,219742.4,100691.6,111016.5,120534.3,49275,152.9947,-1.3,-1.3,1745.2,-1.3,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H46 C26 O9 P1 ,0.8,LPG,20,3,LPG 20:3,LPG 20:3,533.2889,0,0,436.1,24571.3,0,0,0,0,12081.2,0,20:3,305.2491,0,0,0,12081.2,0,152.995,-1.4,2476.9,5362.6,0.9,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H44 C28 O9 P1 ,-0.4,LPG,22,6,LPG 22:6,LPG 22:6,555.2726,0,6833.9,0,369.6,1683,0,4179.3,0,0,0,22:6,327.2329,0,4179.3,0,0,0,152.9951,5309.6,-1.4,2829.5,3119.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPGNegMS2,H46 C28 O9 P1 ,3.9,LPG,22,5,LPG 22:5,LPG 22:5,557.2907,0,0,0,48417.2,442.8,0,0,0,12967.4,0,22:5,329.2489,0,0,0,12967.4,0,152.9948,13055.4,2214.6,-1.4,17851,1483,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPIONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPIONegMS2,H46 C23 O11 P1 ,-4.7,LPIO-,14,0,LPIO- 14:0,LPIO- 14:0,529.2759,0,-1.3,-1.3,0,-1.3,0,-1.3,-1.3,0,-1.3,None, None, None, None, None, None, None,152.9946,988145.9,696015.6,487867.4,477772.5,125274.5,241.0113,571517.1,408768.9,287038.1,278422.2,74487.3,None, None, None, None, None, None,
LPIONegMS2,H40 C27 O11 P1 ,2.8,LPIO-,18,7,LPIO- 18:7,LPIO- 18:7,571.233,1234.1,0,0,0,0,1234.1,0,0,0,0,None, None, None, None, None, None, None,152.9945,27342.1,53395.4,12170.8,19974.9,2736.7,241.0114,0,6459.8,2800.3,0,0,None, None, None, None, None, None,
LPIONegMS2,H54 C27 O11 P1 ,-1.2,LPIO-,18,0,LPIO- 18:0,LPIO- 18:0,585.3402,0,-1.4,-1.4,400.1,0,0,-1.4,-1.4,400.1,0,None, None, None, None, None, None, None,152.9946,285993,178043.8,139675.2,132810.7,29969.7,241.0113,704803,423123.9,395894.8,327578,80507.7,None, None, None, None, None, None,
LPIONegMS2,H44 C29 O11 P1 ,-4,LPIO-,20,7,LPIO- 20:7,LPIO- 20:7,599.2603,1476.4,2219.3,0,0,0,1476.4,2219.3,0,0,0,None, None, None, None, None, None, None,152.9947,37819,64977.7,137817.2,39170.1,0,241.0117,13601.8,38377.5,16180.1,14239.6,0,None, None, None, None, None, None,
LPIONegMS2,H64 C33 O11 P1 ,4.6,LPIO-,24,1,LPIO- 24:1,LPIO- 24:1,667.4222,758.1,0,888.3,0,0,758.1,0,888.3,0,0,None, None, None, None, None, None, None,152.9949,21592.5,22581.2,18767.2,15694.8,0,241.0117,0,14128.3,0,0,0,None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPINegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPINegMS2,H48 C25 O12 P1 ,0.2,LPI,16,0,LPI 16:0,LPI 16:0,571.289,1856.6,94401.2,60927.2,843.4,0,54319.1,55530.7,120742,26181.5,5359.5,16:0,255.2325,54319.1,55530.7,120742,26181.5,5359.5,152.9945,27342.1,53395.4,12170.8,19974.9,2736.7,241.0114,0,6459.8,2800.3,0,0,None, None, None, None, None, None,
LPINegMS2,H48 C27 O12 P1 ,-0.9,LPI,18,2,LPI 18:2,LPI 18:2,595.2884,0,0,21563.7,481,0,2211.9,0,7852.5,2291.5,0,18:2,279.2324,2211.9,0,7852.5,2291.5,0,152.9947,18317.8,31500.8,13796.7,12502.8,2345.6,241.013,0,0,2961.2,0,0,None, None, None, None, None, None,
LPINegMS2,H50 C27 O12 P1 ,0.1,LPI,18,1,LPI 18:1,LPI 18:1,597.3046,81308.9,76404.3,129214.5,112224.9,26825.6,27324.7,25950.7,23483.4,16709.7,2534.4,18:1,281.2478,27324.7,25950.7,23483.4,16709.7,2534.4,152.9946,13480,17695.6,23607.6,10824.3,3230.9,241.0119,4364.5,4555.7,8781.5,4645,0,None, None, None, None, None, None,
LPINegMS2,H52 C27 O12 P1 ,-0.4,LPI,18,0,LPI 18:0,LPI 18:0,599.32,112760.3,361204.1,227850.2,286374.8,-1.4,67478.1,114306.8,108247.5,64503.2,6838.7,18:0,283.2639,67478.1,114306.8,108247.5,64503.2,6838.7,152.9947,37819,64977.7,137817.2,39170.1,0,241.0117,13601.8,38377.5,16180.1,14239.6,0,None, None, None, None, None, None,
LPINegMS2,H48 C29 O12 P1 ,0.5,LPI,20,4,LPI 20:4,LPI 20:4,619.2892,0,46812.7,204083.3,7572.9,0,0,11199,23435.8,0,0,20:4,303.2325,0,11199,23435.8,0,0,152.9947,99165.4,54816.4,73952.5,60025.2,12672.6,241.0115,0,3216,9573,0,0,None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPSONegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPSNegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPSNegMS2,H45 C24 N1 O9 P1 ,-0.1,LPS,18,1,LPS 18:1,LPS 18:1,522.2837,16721.9,145207.7,584317.7,85443.3,2593.3,0,6569.2,6162,0,0,18:1,281.2487,0,6569.2,6162,0,0,,-1.4,83963.6,261230.6,7066.9,-1.4,None, None, None, None, None, None,87.0317,4150.6,21704.8,73850.1,6059.8,0,
LPSNegMS2,H47 C24 N1 O9 P1 ,-0.2,LPS,18,0,LPS 18:0,LPS 18:0,524.2993,164803.7,890328.3,467042.1,91906.2,3323.4,5107.9,0,3641.8,1069.3,1480.5,18:0,283.2658,5107.9,0,3641.8,1069.3,1480.5,,123580.5,597340.5,231881.2,40738.9,2409.9,None, None, None, None, None, None,87.0309,33740.5,176434.7,59097,6461.3,0,
LPSNegMS2,H43 C26 N1 O9 P1 ,-1.1,LPS,20,4,LPS 20:4,LPS 20:4,544.2675,7674.4,15257.7,1690687.4,2338.8,0,0,0,6523.6,0,0,20:4,303.2327,0,0,6523.6,0,0,,36384.9,23995.6,809640.6,11441.3,3350.8,None, None, None, None, None, None,87.033,2869.4,2297.5,147628.5,0,0,
