CLASS,C,PMOL_PCT_1,PMOL_PCT_2,PMOL_PCT_3,PMOL_PCT_4
Cer,44,0.00127631305790809,0,0,0
DAG,28,0,0,0,0
DAG,30,0,0,0,0
DAG,32,0,0.00440177897046368,0,0.00197602677996438
DAG,34,0.0165740665690767,0.0226198209207691,0.0141483755788443,0.0141674094342653
DAG,36,0.0661161613165591,0.0637782657773221,0.0692691458779157,0.043219869581986
DAG,38,0.00869086085483122,0.00952191265250312,0.0118228441934693,0.00455667510476079
DAG,40,0,0,0,0
LPCO-,16,0.0117353263168258,0.00733171326809324,0.0164722904704837,0.0143568361408675
LPCO-,18,0.0598628878178244,0.0432081303495898,0.0683417482540928,0.055682233147326
LPCO-,20,0.0013870095522998,0,0,0
LPC,14,0.005276123808395,0.00358407757921909,0.0109329539114479,0.00921329206899997
LPC,16,3.34646186197286,2.27780020606862,4.36840967611075,3.76587526320309
LPC,18,4.75193977551772,2.82680005204821,5.84464726591572,5.05109982264293
LPC,20,0.53917380201282,0.376381582424278,2.027991438907,1.59817708464362
LPC,22,0.149335845572322,0.0944992246851149,0.556016793021056,0.442943222051886
