NAME,ERROR,MASS,SPECIE,MODE,LENGTH,DB,OH,PREC_01,PREC_02,PREC_03,PREC_04,PREC_05,MASSFRAG1,FRAG1_01,FRAG1_02,FRAG1_03,FRAG1_04,FRAG1_05,MASSFRAG2,FRAG2_01,FRAG2_02,FRAG2_03,FRAG2_04,FRAG2_05,FA1INTENS_01,FA1INTENS_02,FA1INTENS_03,FA1INTENS_04,FA1INTENS_05,FA2INTENS_01,FA2INTENS_02,FA2INTENS_03,FA2INTENS_04,FA2INTENS_05,MASSNLS,NLS_01,NLS_02,NLS_03,NLS_04,NLS_05,FAOINTENS_01,FAOINTENS_02,FAOINTENS_03,FAOINTENS_04,FAOINTENS_05,QUAN_SCAN,SPECIE.GLOBAL,SPECIE.ALL,PMOL_SAMPLE_01,PMOL_SAMPLE_02,PMOL_SAMPLE_03,PMOL_SAMPLE_04,PMOL_BLNK_05,SUBT_PMOL_SAMPLE_01,SUBT_PMOL_SAMPLE_02,SUBT_PMOL_SAMPLE_03,SUBT_PMOL_SAMPLE_04,LOQ_SUBT_PMOL_SAMPLE_01,LOQ_SUBT_PMOL_SAMPLE_02,LOQ_SUBT_PMOL_SAMPLE_03,LOQ_SUBT_PMOL_SAMPLE_04,MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_01,MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_02,MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_03,MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_04,FILTERED_MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_01,FILTERED_MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_02,FILTERED_MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_03,FILTERED_MOL_PCT_SPECIES_SUBT_PMOL_SAMPLE_04,CLASS_PMOL_SUBT_PMOL_SAMPLE_01,CLASS_PMOL_SUBT_PMOL_SAMPLE_02,CLASS_PMOL_SUBT_PMOL_SAMPLE_03,CLASS_PMOL_SUBT_PMOL_SAMPLE_04,MOL_PCT_CLASS_SUBT_PMOL_SAMPLE_01,MOL_PCT_CLASS_SUBT_PMOL_SAMPLE_02,MOL_PCT_CLASS_SUBT_PMOL_SAMPLE_03,MOL_PCT_CLASS_SUBT_PMOL_SAMPLE_04
PA 32:0,1.2,647.4665,PA 16:0-16:0,NEG,32,0,0,115138.7,40216,0,0,0,152.995,90957.6,58712.6,25239.8,21044.5,8584.6,0,0,0,0,0,0,174044,111105.7,42806.9,36138.7,29024.6,174044,111105.7,42806.9,36138.7,29024.6,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-16:0|PA 14:0-18:0,0.83139634715818,0.221001708377936,0,0,0,0.83139634715818,0.221001708377936,0,0,1,1,0,0,0.0117270290450558,0.00147234583965862,0,0,0.011728612603804,0.0014725833286034,0,0,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 34:2,0.6,671.4661,PA 16:1-18:1,NEG,34,2,0,25400.9,12913.5,0,7042.7,0,152.9949,53661.6,35044.5,6136.1,9752.7,1407.5,0,0,0,0,0,0,20022,9763.7,53165.8,10399.4,0,18024.6,14100.4,15390.4,11517.5,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:1-18:1|PA 16:0-18:2,0.183415441328851,0.0709644311005193,0,0.0362361791908311,0,0.183415441328851,0.0709644311005193,0,0.0362361791908311,1,1,0,1,0.00258711529720725,0,0,0,0.00258746464818489,0,0,0,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 34:1,0.5,673.4817,PA 16:1-18:0,NEG,34,1,0,871737.6,524983.9,1635.1,0,0,152.995,2221.6,-1.6,480.6,-1.6,0,0,0,0,0,0,0,-1.6,-1.6,36689.3,8191.7,0,2286.6,-1.6,13370.7,11892.1,14751,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:1-18:0|PA 16:0-18:1,6.29466422949398,2.88497957954326,0.00785468829535865,0,0,6.29466422949398,2.88497957954326,0,0,1,1,0,0,0.0887876287891665,0.0192201576748746,0,0,0.0887996182219347,0.0192232578805748,0,0,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 34:0,-3.1,675.4949,PA 16:0-18:0,NEG,34,0,0,21790.6,0,0,0,0,152.995,45543.4,45035.6,9615.9,14904.8,4370.6,0,0,0,0,0,0,108255.3,65158.7,207530.2,67297.7,19133,43856.1,35038.2,21918.1,18383.4,24284.3,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-18:0,0.157346098595737,0,0,0,0,0.157346098595737,0,0,0,1,0,0,0,0.00221940146196884,0,0,0,0.00221970115872814,0,0,0,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 36:4,2.2,695.4673,PA 18:2-18:2,NEG,36,4,0,34371.1,13805.1,8597,393.6,0,152.9948,87547.2,96753.2,58050.2,47752.2,3136,0,0,0,0,0,0,21892.6,14494.9,55977.6,23529.5,0,21892.6,14494.9,55977.6,23529.5,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:2-18:2|PA 16:0-20:4|PA 18:1-18:3,0.248187681360034,0.0758641009630061,0.0412982418660622,0.00202515514355448,0,0.248187681360034,0.0758641009630061,0.0412982418660622,0,1,1,1,0,0.00350074204425198,0,0,0,0.0035012147667692,0,0,0,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 36:3,1.5,697.4824,PA 18:2-18:1,NEG,36,3,0,410470.6,208358.6,231245.1,216845.1,0,152.9949,23556.8,20268.5,5501.4,6455.9,0,0,0,0,0,0,0,277428.2,201011.5,214375,121699.1,0,39749.8,29772.6,88143.4,38547.8,2788.3,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:2-18:1|PA 20:3-16:0|PA 18:0-18:3,2.96393616964432,1.1450071254037,1.11085449228123,1.11571384557822,0,2.96393616964432,1.1450071254037,1.11085449228123,1.11571384557822,1,1,1,1,0.0418069740959509,0.00762820563624167,0.00847911692498224,0.0043622076704948,0.0418126194984918,0.00762943606353554,0.00848076115247903,0.00436303080508259,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 36:2,-0.8,699.4965,PA 18:0-18:2,NEG,36,2,0,345303.8,180921.1,5248.9,55559.8,0,152.995,11684.2,12701.4,11416.3,15171.2,2993.4,0,0,0,0,0,0,143931.3,150302.5,118799.1,79400.4,50565.8,4750,6130.2,58898.4,23016.4,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:0-18:2|PA 18:1-18:1,2.49337814288192,0.994227973483576,0.0252146494975891,0.285866907380229,0,2.49337814288192,0.994227973483576,0.0252146494975891,0.285866907380229,1,1,1,1,0.0351696492314758,0.00662369278126769,0,0.00111767978954174,0.0351743983632039,0.00662476118093767,0,0.00111789069213105,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 38:6,1.6,719.4669,PA 16:0-22:6,NEG,38,6,0,12992,0,0,0,0,152.9951,58019.6,50229.3,14990.9,16002,3626.3,0,0,0,0,0,0,-1.6,-1.6,67903.5,25879.4,16639.7,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-22:6|PA 20:4-18:2,0.0938129520506925,0,0,0,0,0.0938129520506925,0,0,0,1,0,0,0,0.00132325240213208,0,0,0,0.00132343108745037,0,0,0,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 38:5,1.8,721.4827,PA 20:3-18:2,NEG,38,5,0,121566.3,69706.7,136859.8,79897.3,0,152.9949,68351.5,59885,11419.9,13883.6,2701.1,0,0,0,0,0,0,4162.3,0,0,0,0,16964.3,15770.6,41836.5,21906,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 20:3-18:2|PA 20:5-18:0|PA 18:1-20:4,0.877808918786954,0.383063949308442,0.657446681649517,0.411088485902224,0,0.877808918786954,0.383063949308442,0.657446681649517,0.411088485902224,1,1,1,1,0.0123816886155564,0.00255202829076317,0.00501826956129961,0.00160726995865631,0.0123833605762252,0.00255243993216528,0.00501924267876833,0.0016075732453393,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
PA 38:4,1.2,723.4979,PA 20:3-18:1,NEG,38,4,0,118942.4,134492.7,13987.9,23893,0,152.995,98827.3,102137.3,23094.1,19726.6,0,0,0,0,0,0,0,16319,11701.9,9324.5,4612.9,0,39959.4,34136.9,46701.8,24428.5,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 20:3-18:1|PA 16:0-22:4|PA 20:1-18:3|PA 18:0-20:4,0.858862197351777,0.739086842658676,0.0671950305220765,0.12293453212639,0,0.858862197351777,0.739086842658676,0.0671950305220765,0.12293453212639,1,1,1,1,0.0121144409263665,0.00492390509522218,0,0,0.0121160767992578,0.00492469931964539,0,0,15.6517507128248,6.60594206284899,2.42779091039772,2.27372544370758,0.220771399637082,0.044009756235136,0.0185312506198694,0.00888979070256155
