NAME,ERROR,MASS,SPECIE,MODE,LENGTH,DB,OH,PREC_01,PREC_02,PREC_03,PREC_04,PREC_05,MASSFRAG1,FRAG1_01,FRAG1_02,FRAG1_03,FRAG1_04,FRAG1_05,MASSFRAG2,FRAG2_01,FRAG2_02,FRAG2_03,FRAG2_04,FRAG2_05,FA1INTENS_01,FA1INTENS_02,FA1INTENS_03,FA1INTENS_04,FA1INTENS_05,FA2INTENS_01,FA2INTENS_02,FA2INTENS_03,FA2INTENS_04,FA2INTENS_05,MASSNLS,NLS_01,NLS_02,NLS_03,NLS_04,NLS_05,FAOINTENS_01,FAOINTENS_02,FAOINTENS_03,FAOINTENS_04,FAOINTENS_05,QUAN_SCAN,SPECIE.GLOBAL,SPECIE.ALL
PA 32:0,1.2,647.4665,PA 16:0-16:0,NEG,32,0,0,115138.7,40216,0,0,0,152.995,90957.6,58712.6,25239.8,21044.5,8584.6,0,0,0,0,0,0,174044,111105.7,42806.9,36138.7,29024.6,174044,111105.7,42806.9,36138.7,29024.6,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-16:0|PA 14:0-18:0
PA 34:2,0.6,671.4661,PA 16:1-18:1,NEG,34,2,0,25400.9,12913.5,0,7042.7,0,152.9949,53661.6,35044.5,6136.1,9752.7,1407.5,0,0,0,0,0,0,20022,9763.7,53165.8,10399.4,0,18024.6,14100.4,15390.4,11517.5,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:1-18:1|PA 16:0-18:2
PA 34:1,0.5,673.4817,PA 16:1-18:0,NEG,34,1,0,871737.6,524983.9,1635.1,0,0,152.995,2221.6,-1.6,480.6,-1.6,0,0,0,0,0,0,0,-1.6,-1.6,36689.3,8191.7,0,2286.6,-1.6,13370.7,11892.1,14751,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:1-18:0|PA 16:0-18:1
PA 34:0,-3.1,675.4949,PA 16:0-18:0,NEG,34,0,0,21790.6,0,0,0,0,152.995,45543.4,45035.6,9615.9,14904.8,4370.6,0,0,0,0,0,0,108255.3,65158.7,207530.2,67297.7,19133,43856.1,35038.2,21918.1,18383.4,24284.3,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-18:0
PA 36:4,2.2,695.4673,PA 18:2-18:2,NEG,36,4,0,34371.1,13805.1,8597,393.6,0,152.9948,87547.2,96753.2,58050.2,47752.2,3136,0,0,0,0,0,0,21892.6,14494.9,55977.6,23529.5,0,21892.6,14494.9,55977.6,23529.5,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:2-18:2|PA 16:0-20:4|PA 18:1-18:3
PA 36:3,1.5,697.4824,PA 18:2-18:1,NEG,36,3,0,410470.6,208358.6,231245.1,216845.1,0,152.9949,23556.8,20268.5,5501.4,6455.9,0,0,0,0,0,0,0,277428.2,201011.5,214375,121699.1,0,39749.8,29772.6,88143.4,38547.8,2788.3,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:2-18:1|PA 20:3-16:0|PA 18:0-18:3
PA 36:2,-0.8,699.4965,PA 18:0-18:2,NEG,36,2,0,345303.8,180921.1,5248.9,55559.8,0,152.995,11684.2,12701.4,11416.3,15171.2,2993.4,0,0,0,0,0,0,143931.3,150302.5,118799.1,79400.4,50565.8,4750,6130.2,58898.4,23016.4,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:0-18:2|PA 18:1-18:1
PA 36:1,3,701.5148,PA 18:0-18:1,NEG,36,1,0,-1.6,-1.6,0,0,0,152.9949,48873.9,47432,47054.3,54404.1,8453.4,0,0,0,0,0,0,142010.7,83080.9,166415,47759.3,19067.2,-1.6,-1.6,108533.5,26232,8.3,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 18:0-18:1
PA 38:6,1.6,719.4669,PA 16:0-22:6,NEG,38,6,0,12992,0,0,0,0,152.9951,58019.6,50229.3,14990.9,16002,3626.3,0,0,0,0,0,0,-1.6,-1.6,67903.5,25879.4,16639.7,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 16:0-22:6|PA 20:4-18:2
PA 38:5,1.8,721.4827,PA 20:3-18:2,NEG,38,5,0,121566.3,69706.7,136859.8,79897.3,0,152.9949,68351.5,59885,11419.9,13883.6,2701.1,0,0,0,0,0,0,4162.3,0,0,0,0,16964.3,15770.6,41836.5,21906,0,0,0,0,0,0,0,0,0,0,0,0,PREC,none,PA 20:3-18:2|PA 20:5-18:0|PA 18:1-20:4
