molPct,Sample_1,Sample_2,Sample_1,Sample_2
PC 44:4,0,0,0,0
PC 44:2,0,0,0,0
PC 44:1,0,0,0,0
SM 32:2;2,0,0,0,0
SM 32:1;2,0,0,0,0
SM 32:0;2,0,0,0,0
SM 34:2;2,0.349080839961572,0.333322298818855,0.349080839961572,0.333322298818855
SM 34:1;2,5.90748704547942,5.87406204642071,5.90748704547942,5.87406204642071
SM 34:0;2,0.31435197068932,0,0.31435197068932,0
SM 36:2;2,0,0,0,0
SM 36:1;2,0,0,0,0
SM 38:2;2,0,0,0,0
SM 40:2;2,0,0,0,0
SM 40:1;2,0,0.284453852591735,0,0.284453852591735
SM 42:2;2,0.836472508039645,0.863084531721233,0.836472508039645,0.863084531721233
SM 42:1;2,0.382477462333389,0.495884051871603,0.382477462333389,0.495884051871603
SM 44:2;2,0,0,0,0
SM 44:1;2,0,0,0,0
TAG 42:0,0,0,0,0
TAG 44:1,0,0,0,0
TAG 44:0,0,0,0,0
TAG 46:2,0,0,0,0
TAG 46:1,0,0,0,0
TAG 46:0,0,0,0,0
TAG 48:3,0,0,0,0
TAG 48:2,0,0,0,0
TAG 48:1,0,0,0,0
TAG 48:0,0,0,0,0
TAG 50:4,0,0,0,0
TAG 50:3,0,0,0,0
TAG 50:2,0,0,0,0
TAG 50:1,0,0,0,0
TAG 50:0,0,0,0,0
TAG 52:5,0,0,0,0
TAG 52:4,0,0,0,0
TAG 52:3,0,0,0,0
TAG 52:2,0,0,0,0
TAG 52:1,0,0,0,0
TAG 52:0,0,0,0,0
TAG 54:6,0,0,0,0
TAG 54:5,0,0,0,0
TAG 54:4,0,0,0,0
TAG 54:3,0,0,0,0
TAG 54:2,0,0,0,0
TAG 54:1,0,0,0,0
TAG 56:7,0,0,0,0
TAG 56:6,0,0,0,0
TAG 56:5,0,0,0,0
TAG 56:4,0,0,0,0
TAG 56:3,0,0,0,0
TAG 56:2,0,0,0,0
TAG 58:8,0,0,0,0
TAG 58:7,0,0,0,0
TAG 58:6,0,0,0,0
TAG 60:11,0,0,0,0
TAG 60:10,0,0,0,0
TAG 60:9,0,0,0,0
TAG 60:8,0,0,0,0
TAG 62:11,0,0,0,0
TAG 62:10,0,0,0,0
CerP,0,0,0,0
LPA,0,0,0,0
LPEO-,0,0,0,0
LPE,0,0,0,0
LPG,0,0,0,0
HLPIO-,0,0,NA,NA
LPI,0,0,0,0
LPS,0,0,0,0
PA,0,0,0,0
PG,0,0,0,0
PI,0.736353023480634,0.770153806612077,0.736353023480634,0.770153806612077
PS,1.47960134305594,2.17977373636422,1.47960134305594,2.17977373636422
SHexCer,0,0,0,0
Chol,44.2014536589279,40.8145894484336,44.2014536589279,40.8145894484336
Cer,0,0,0,0
DAG,0.656943171899483,0.836019656544034,0.656943171899483,0.836019656544034
diHexCer,0,0,0,0
HexCer,0,0,0,0
LPCO-,0,0,0,0
LPC,0,0,0,0
PCO-,0,0.288231808430977,0,0.288231808430977
LPIO-,NA,NA,0,0
PC,NA,NA,45.1357789761327,47.260424762191
SM,NA,NA,7.78986982650334,7.85080678142413
TAG,NA,NA,0,0
