molPct,Sample_1,Sample_2,Sample_1,Sample_2
CerP 34:1;2,0,0,0,0
CerP 44:1;2,0,0,0,0
LPA 16:1,0,0,0,0
LPA 16:0,0,0,0,0
LPA 18:1,0,0,0,0
LPA 18:0,0,0,0,0
LPEO- 16:1,0,0,0,0
LPEO- 18:2,0,0,0,0
LPEO- 18:1,0,0,0,0
LPEO- 18:0,0,0,0,0
LPE 16:1,0,0,0,0
LPE 16:0,0,0,0,0
LPE 18:1,0,0,0,0
LPE 18:0,0,0,0,0
LPE 20:4,0,0,0,0
LPE 22:6,0,0,0,0
LPE 22:5,0,0,0,0
LPE 22:4,0,0,0,0
LPG 16:1,0,0,0,0
LPG 16:0,0,0,0,0
LPG 18:2,0,0,0,0
LPG 18:1,0,0,0,0
LPG 18:0,0,0,0,0
LPG 20:4,0,0,0,0
LPG 22:5,0,0,0,0
LPIO- 18:0,0,0,0,0
LPI 16:1,0,0,0,0
LPI 16:0,0,0,0,0
LPI 18:2,0,0,0,0
LPI 18:1,0,0,0,0
LPI 18:0,0,0,0,0
LPI 20:4,0,0,0,0
LPI 22:5,0,0,0,0
LPS 18:1,0,0,0,0
LPS 18:0,0,0,0,0
PA 30:0,0,0,0,0
PA 32:1,0,0,0,0
PA 32:0,0,0,0,0
PA 34:2,0,0,0,0
PA 34:1,0,0,0,0
PA 34:0,0,0,0,0
PA 36:4,0,0,0,0
PA 36:3,0,0,0,0
PA 36:2,0,0,0,0
PA 36:1,0,0,0,0
PA 38:5,0,0,0,0
PA 38:4,0,0,0,0
PA 42:8,0,0,0,0
PA 42:6,0,0,0,0
PA 42:5,0,0,0,0
PA 42:4,0,0,0,0
PG 32:0,0,0,0,0
PG 34:2,0,0,0,0
PG 34:1,0,0,0,0
PG 34:0,0,0,0,0
PG 36:5,0,0,0,0
PG 36:4,0,0,0,0
PG 36:3,0,0,0,0
PG 36:2,0,0,0,0
PG 36:1,0,0,0,0
PG 38:7,0,0,0,0
PG 38:6,0,0,0,0
PG 38:5,0,0,0,0
PG 38:4,0,0,0,0
PG 38:3,0,0,0,0
PG 40:7,0,0,0,0
PG 40:6,0,0,0,0
PG 40:5,0,0,0,0
PG 42:9,0,0,0,0
PG 42:8,0,0,0,0
PG 44:10,0,0,0,0
PG 44:8,0,0,0,0
PI 30:0,0,0,0,0
PI 32:1,0,0,0,0
PI 32:0,0,0,0,0
PI 34:2,0,0,0,0
PI 34:1,0,0,0,0
PI 34:0,0,0,0,0
PI 36:5,0,0,0,0
PI 36:4,0,0,0,0
PI 36:3,0,0,0,0
PI 36:2,0,0,0,0
PI 36:1,0,0,0,0
PI 38:7,0,0,0,0
PI 38:6,0,0,0,0
PI 38:5,0,0,0,0
PI 38:4,0.736353023480634,0.770153806612077,0.736353023480634,0.770153806612077
PI 38:1,0,0,0,0
PI 40:8,0,0,0,0
PI 40:7,0,0,0,0
PI 40:6,0,0,0,0
PI 40:5,0,0,0,0
PI 40:4,0,0,0,0
PI 40:3,0,0,0,0
PS 32:1,0,0,0,0
PS 34:3,0,0,0,0
PS 34:2,0,0,0,0
PS 34:1,0,0,0,0
PS 36:4,0,0,0,0
PS 36:3,0,0,0,0
PS 36:2,0,0,0,0
PS 36:1,1.1760274107674,1.1754285093661,1.1760274107674,1.1754285093661
PS 38:6,0,0,0,0
PS 38:5,0,0,0,0
PS 38:4,0,0,0,0
PS 38:3,0,0,0,0
PS 38:1,0,0,0,0
PS 40:7,0,0,0,0
PS 40:6,0,0.385081134743946,0,0.385081134743946
PS 40:5,0,0.325326093899347,0,0.325326093899347
PS 40:4,0,0,0,0
PS 40:2,0,0,0,0
PS 40:1,0.303573932288541,0.293937998354826,0.303573932288541,0.293937998354826
PS 42:5,0,0,0,0
PS 42:4,0,0,0,0
PS 42:3,0,0,0,0
PS 42:2,0,0,0,0
PS 42:1,0,0,0,0
PS 44:6,0,0,0,0
SHexCer 42:1;2,0,0,0,0
Chol :,44.2014536589279,40.8145894484336,44.2014536589279,40.8145894484336
Cer 32:1;2,0,0,0,0
Cer 34:2;2,0,0,0,0
Cer 34:1;2,0,0,0,0
Cer 36:2;2,0,0,0,0
Cer 36:1;2,0,0,0,0
Cer 38:1;2,0,0,0,0
Cer 40:2;2,0,0,0,0
Cer 40:1;2,0,0,0,0
Cer 42:2;2,0,0,0,0
Cer 42:1;2,0,0,0,0
Cer 44:2;2,0,0,0,0
Cer 44:1;2,0,0,0,0
DAG 28:0,0,0,0,0
DAG 30:1,0,0,0,0
DAG 30:0,0,0,0,0
DAG 32:2,0,0,0,0
DAG 32:1,0,0,0,0
DAG 32:0,0,0,0,0
DAG 34:3,0,0,0,0
DAG 34:2,0,0,0,0
DAG 34:1,0.331419089382428,0.430354239965163,0.331419089382428,0.430354239965163
DAG 34:0,0,0,0,0
DAG 36:5,0,0,0,0
DAG 36:4,0,0,0,0
DAG 36:3,0,0,0,0
DAG 36:2,0,0,0,0
DAG 36:1,0,0,0,0
DAG 36:0,0,0,0,0
DAG 38:6,0,0,0,0
DAG 38:5,0,0,0,0
DAG 38:4,0.325524082517055,0.405665416578871,0.325524082517055,0.405665416578871
DAG 38:3,0,0,0,0
DAG 38:2,0,0,0,0
DAG 38:1,0,0,0,0
DAG 40:7,0,0,0,0
DAG 40:6,0,0,0,0
DAG 40:5,0,0,0,0
DAG 40:4,0,0,0,0
DAG 42:6,0,0,0,0
diHexCer 40:1;2,0,0,0,0
diHexCer 42:2;2,0,0,0,0
diHexCer 42:1;2,0,0,0,0
HexCer 32:1;2,0,0,0,0
HexCer 34:2;2,0,0,0,0
HexCer 34:1;2,0,0,0,0
HexCer 36:1;2,0,0,0,0
HexCer 40:1;2,0,0,0,0
HexCer 42:2;2,0,0,0,0
HexCer 42:1;2,0,0,0,0
LPCO- 16:1,0,0,0,0
LPCO- 16:0,0,0,0,0
LPCO- 18:2,0,0,0,0
LPCO- 18:1,0,0,0,0
LPCO- 18:0,0,0,0,0
LPCO- 20:1,0,0,0,0
LPC 14:0,0,0,0,0
LPC 16:1,0,0,0,0
LPC 16:0,0,0,0,0
LPC 18:3,0,0,0,0
LPC 18:2,0,0,0,0
LPC 18:1,0,0,0,0
LPC 18:0,0,0,0,0
LPC 20:4,0,0,0,0
LPC 20:3,0,0,0,0
LPC 20:1,0,0,0,0
LPC 22:6,0,0,0,0
LPC 22:5,0,0,0,0
LPC 22:4,0,0,0,0
PCO- 28:0,0,0,0,0
PCO- 30:2,0,0,0,0
PCO- 30:1,0,0,0,0
PCO- 30:0,0,0,0,0
PCO- 32:3,0,0,0,0
PCO- 32:2,0,0,0,0
PCO- 32:1,0,0.288231808430977,0,0.288231808430977
PCO- 32:0,0,0,0,0
PCO- 34:3,0,0,0,0
PCO- 34:2,0,0,0,0
PCO- 34:1,0,0,0,0
PCO- 34:0,0,0,0,0
PCO- 36:5,0,0,0,0
PCO- 36:4,0,0,0,0
PCO- 36:3,0,0,0,0
PCO- 36:2,0,0,0,0
PCO- 38:6,0,0,0,0
PCO- 38:5,0,0,0,0
PCO- 38:4,0,0,0,0
PCO- 40:7,0,0,0,0
PCO- 40:6,0,0,0,0
PCO- 40:5,0,0,0,0
PCO- 40:4,0,0,0,0
PCO- 42:7,0,0,0,0
PCO- 42:6,0,0,0,0
PCO- 42:5,0,0,0,0
PCO- 42:4,0,0,0,0
PCO- 44:6,0,0,0,0
PCO- 44:5,0,0,0,0
PCO- 44:4,0,0,0,0
PC 28:0,0,0,0,0
PC 30:1,0.39153428519344,0.487925373309536,0.39153428519344,0.487925373309536
PC 30:0,1.9274000806866,1.80334391012174,1.9274000806866,1.80334391012174
PC 32:2,0.474399090661752,0.561609133299319,0.474399090661752,0.561609133299319
PC 32:1,4.15670137440308,4.48657557990215,4.15670137440308,4.48657557990215
PC 32:0,2.37564820424761,1.7849147905185,2.37564820424761,1.7849147905185
PC 34:4,0.296410744932296,0.402237682450674,0.296410744932296,0.402237682450674
PC 34:3,0.497524714098884,0.465210036423169,0.497524714098884,0.465210036423169
PC 34:2,3.23413198706654,2.80988616390611,3.23413198706654,2.80988616390611
PC 34:1,13.6229349509601,13.0162286500348,13.6229349509601,13.0162286500348
PC 36:5,0.60924813979449,0.716829484563727,0.60924813979449,0.716829484563727
PC 36:4,1.71884198338279,2.00629986000828,1.71884198338279,2.00629986000828
PC 36:3,1.21275834958334,1.00919886257548,1.21275834958334,1.00919886257548
PC 36:2,4.89972522219373,4.04130390755942,4.89972522219373,4.04130390755942
PC 36:1,4.04247996981358,6.58819627647897,4.04247996981358,6.58819627647897
PC 38:6,0.631909057612634,0.609687739199132,0.631909057612634,0.609687739199132
PC 38:5,2.0309213435183,2.07473067030735,2.0309213435183,2.07473067030735
PC 38:4,1.53564437075344,2.39343404294731,1.53564437075344,2.39343404294731
PC 38:3,0.521201988835521,0.727694192399398,0.521201988835521,0.727694192399398
PC 38:2,0,0,0,0
PC 40:9,0,0,0,0
PC 40:8,0,0,0,0
PC 40:7,0,0.325783100959731,0,0.325783100959731
PC 40:6,0.496110554476035,0.494564543725745,0.496110554476035,0.494564543725745
PC 40:5,0.460252563918537,0.454770761500418,0.460252563918537,0.454770761500418
PC 40:4,0,0,0,0
PC 40:2,0,0,0,0
PC 40:1,0,0,0,0
PC 42:9,0,0,0,0
PC 42:8,0,0,0,0
PC 42:7,0,0,0,0
PC 42:6,0,0,0,0
PC 42:5,0,0,0,0
PC 42:4,0,0,0,0
PC 42:2,0,0,0,0
PC 42:1,0,0,0,0
PC 44:9,0,0,0,0
PC 44:8,0,0,0,0
PC 44:7,0,0,0,0
PC 44:6,0,0,0,0
PC 44:5,0,0,0,0
